geocod,geodsg,valor,sinal_conv,sinal_conv_desc,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
1111601,Arcos de Valdevez,3.19,,,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601
1111602,Caminha,4.21,,,Caminha,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111602
1111603,Melgaço,,-,Dado nulo ou não aplicável,Melgaço,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111603
1111604,Monção,3.78,,,Monção,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111604
1111605,Paredes de Coura,,-,Dado nulo ou não aplicável,Paredes de Coura,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111605
1111606,Ponte da Barca,3.03,,,Ponte da Barca,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111606
1111607,Ponte de Lima,3.7,,,Ponte de Lima,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111607
1111608,Valença,3.76,,,Valença,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111608
1111609,Viana do Castelo,4.88,,,Viana do Castelo,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111609
1111610,Vila Nova de Cerveira,3.39,,,Vila Nova de Cerveira,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111610
1120301,Amares,3.61,,,Amares,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120301
1120302,Barcelos,4,,,Barcelos,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120302
1120303,Braga,5.34,,,Braga,Norte,Cávado,ACeS Braga,Continente,Norte,1120303
1120306,Esposende,4.75,,,Esposende,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120306
1120310,Terras de Bouro,,-,Dado nulo ou não aplicável,Terras de Bouro,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120310
1120313,Vila Verde,3.82,,,Vila Verde,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120313
1190304,Cabeceiras de Basto,2.69,,,Cabeceiras de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1150304
1190307,Fafe,3.04,,,Fafe,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130307
1190308,Guimarães,4.06,,,Guimarães,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130308
1191705,Mondim de Basto,,-,Dado nulo ou não aplicável,Mondim de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1151705
1190309,Póvoa de Lanhoso,3.14,,,Póvoa de Lanhoso,Norte,Ave,ACeS Gerês/Cabreira,Continente,Norte,1130309
1190311,Vieira do Minho,,-,Dado nulo ou não aplicável,Vieira do Minho,Norte,Ave,ACeS Gerês/Cabreira,Continente,Norte,1130311
1190312,Vila Nova de Famalicão,4.33,,,Vila Nova de Famalicão,Norte,Ave,ACeS Famalicão,Continente,Norte,1130312
1190314,Vizela,3.8,,,Vizela,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130314
11A0104,Arouca,3.64,,,Arouca,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,Continente,Norte,1160104
11A0107,Espinho,5.84,,,Espinho,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,Continente,Norte,1140107
11A1304,Gondomar,5.78,,,Gondomar,Norte,Área Metropolitana do Porto,ACeS Gondomar,Continente,Norte,1141304
11A1306,Maia,6.35,,,Maia,Norte,Área Metropolitana do Porto,ACeS Maia/Valongo,Continente,Norte,1141306
11A1308,Matosinhos,7.83,,,Matosinhos,Norte,Área Metropolitana do Porto,ULS Matosinhos,Continente,Norte,1141308
11A0113,Oliveira de Azeméis,3.59,,,Oliveira de Azeméis,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160113
11A1310,Paredes,3.75,,,Paredes,Norte,Área Metropolitana do Porto,ACeS Vale do Sousa Sul,Continente,Norte,1151310
11A1312,Porto,8.85,,,Porto,Norte,Área Metropolitana do Porto,ACeS Porto Ocidental e Porto Oriental,Continente,Norte,1141312
11A1313,Póvoa de Varzim,5.67,,,Póvoa de Varzim,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,Continente,Norte,1141313
11A0109,Santa Maria da Feira,4.29,,,Santa Maria da Feira,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,Continente,Norte,1160109
11A1314,Santo Tirso,3.91,,,Santo Tirso,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,Continente,Norte,1131314
11A0116,São João da Madeira,4.49,,,São João da Madeira,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160116
11A1318,Trofa,4.65,,,Trofa,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,Continente,Norte,1131318
11A0119,Vale de Cambra,3.44,,,Vale de Cambra,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160119
11A1315,Valongo,5.76,,,Valongo,Norte,Área Metropolitana do Porto,ACeS Maia/Valongo,Continente,Norte,1141315
11A1316,Vila do Conde,5.11,,,Vila do Conde,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,Continente,Norte,1141316
11A1317,Vila Nova de Gaia,6.83,,,Vila Nova de Gaia,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,Continente,Norte,1141317
11B1702,Boticas,,-,Dado nulo ou não aplicável,Boticas,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181702
11B1703,Chaves,3.8,,,Chaves,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181703
11B1706,Montalegre,,-,Dado nulo ou não aplicável,Montalegre,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181706
11B1709,Ribeira de Pena,,-,Dado nulo ou não aplicável,Ribeira de Pena,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1151709
11B1712,Valpaços,2.37,,,Valpaços,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181712
11B1713,Vila Pouca de Aguiar,,-,Dado nulo ou não aplicável,Vila Pouca de Aguiar,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181713
11C1301,Amarante,3.02,,,Amarante,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151301
11C1302,Baião,2.77,,,Baião,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151302
11C0106,Castelo de Paiva,,-,Dado nulo ou não aplicável,Castelo de Paiva,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,Continente,Norte,1150106
11C0305,Celorico de Basto,2.79,,,Celorico de Basto,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1150305
11C1804,Cinfães,3.06,,,Cinfães,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151804
11C1303,Felgueiras,2.79,,,Felgueiras,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151303
11C1305,Lousada,2.7,,,Lousada,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151305
11C1307,Marco de Canaveses,2.88,,,Marco de Canaveses,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151307
11C1309,Paços de Ferreira,3.37,,,Paços de Ferreira,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151309
11C1311,Penafiel,3.45,,,Penafiel,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,Continente,Norte,1151311
11C1813,Resende,,-,Dado nulo ou não aplicável,Resende,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151813
11D1701,Alijó,,-,Dado nulo ou não aplicável,Alijó,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171701
11D1801,Armamar,,-,Dado nulo ou não aplicável,Armamar,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171801
11D0403,Carrazeda de Ansiães,,-,Dado nulo ou não aplicável,Carrazeda de Ansiães,Norte,Douro,ULS Nordeste,Continente,Norte,1170403
11D0404,Freixo de Espada à Cinta,,-,Dado nulo ou não aplicável,Freixo de Espada à Cinta,Norte,Douro,ULS Nordeste,Continente,Norte,1170404
11D1805,Lamego,2.63,,,Lamego,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171805
11D1704,Mesão Frio,,-,Dado nulo ou não aplicável,Mesão Frio,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171704
11D1807,Moimenta da Beira,2.35,,,Moimenta da Beira,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171807
11D1707,Murça,,-,Dado nulo ou não aplicável,Murça,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1181707
11D1812,Penedono,,-,Dado nulo ou não aplicável,Penedono,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171812
11D1708,Peso da Régua,3.53,,,Peso da Régua,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171708
11D1710,Sabrosa,,-,Dado nulo ou não aplicável,Sabrosa,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171710
11D1711,Santa Marta de Penaguião,,-,Dado nulo ou não aplicável,Santa Marta de Penaguião,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171711
11D1815,São João da Pesqueira,,-,Dado nulo ou não aplicável,São João da Pesqueira,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171815
11D1818,Sernancelhe,,-,Dado nulo ou não aplicável,Sernancelhe,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171818
11D1819,Tabuaço,,-,Dado nulo ou não aplicável,Tabuaço,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171819
11D1820,Tarouca,,-,Dado nulo ou não aplicável,Tarouca,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171820
11D0409,Torre de Moncorvo,,-,Dado nulo ou não aplicável,Torre de Moncorvo,Norte,Douro,ULS Nordeste,Continente,Norte,1170409
11D0914,Vila Nova de Foz Côa,2.02,,,Vila Nova de Foz Côa,Centro,Douro,ULS Guarda,Continente,Norte,1170914
11D1714,Vila Real,3.88,,,Vila Real,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171714
11E0401,Alfândega da Fé,,-,Dado nulo ou não aplicável,Alfândega da Fé,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180401
