geocod,geodsg,valor,sinal_conv,sinal_conv_desc,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
16E0605,Figueira da Foz,4.75,,,Figueira da Foz,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620605
16E0606,Góis,,-,Dado nulo ou não aplicável,Góis,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640606
16E0607,Lousã,3.52,,,Lousã,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640607
16E0111,Mealhada,3.57,,,Mealhada,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1610111
16E0608,Mira,3.53,,,Mira,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620608
16E0609,Miranda do Corvo,3.16,,,Miranda do Corvo,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640609
16E0610,Montemor-o-Velho,3.74,,,Montemor-o-Velho,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620610
16E1808,Mortágua,2.58,,,Mortágua,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1651808
16E0611,Oliveira do Hospital,2.86,,,Oliveira do Hospital,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640611
16E0612,Pampilhosa da Serra,,-,Dado nulo ou não aplicável,Pampilhosa da Serra,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640612
16E0613,Penacova,,-,Dado nulo ou não aplicável,Penacova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620613
16E0614,Penela,,-,Dado nulo ou não aplicável,Penela,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640614
16E0615,Soure,3.33,,,Soure,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620615
16E0616,Tábua,2.73,,,Tábua,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640616
16E0617,Vila Nova de Poiares,2.94,,,Vila Nova de Poiares,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640617
16F1002,Alvaiázere,,-,Dado nulo ou não aplicável,Alvaiázere,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641002
16F1003,Ansião,2.93,,,Ansião,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641003
16F1004,Batalha,3.4,,,Batalha,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631004
16F1007,Castanheira de Pêra,,-,Dado nulo ou não aplicável,Castanheira de Pêra,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641007
16F1008,Figueiró dos Vinhos,,-,Dado nulo ou não aplicável,Figueiró dos Vinhos,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641008
16F1009,Leiria,4.65,,,Leiria,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631009
16F1010,Marinha Grande,3.95,,,Marinha Grande,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631010
16F1013,Pedrógão Grande,,-,Dado nulo ou não aplicável,Pedrógão Grande,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641013
16F1015,Pombal,3.62,,,Pombal,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631015
16F1016,Porto de Mós,3.09,,,Porto de Mós,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631016
16G0901,Aguiar da Beira,,-,Dado nulo ou não aplicável,Aguiar da Beira,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1650901
16G1802,Carregal do Sal,2.78,,,Carregal do Sal,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651802
16G1803,Castro Daire,2.51,,,Castro Daire,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651803
16G1806,Mangualde,2.91,,,Mangualde,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651806
16G1809,Nelas,2.87,,,Nelas,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651809
16G1810,Oliveira de Frades,2.53,,,Oliveira de Frades,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651810
16G1811,Penalva do Castelo,,-,Dado nulo ou não aplicável,Penalva do Castelo,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651811
16G1814,Santa Comba Dão,2.97,,,Santa Comba Dão,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651814
16G1816,São Pedro do Sul,3.43,,,São Pedro do Sul,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651816
16G1817,Sátão,2.22,,,Sátão,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651817
16G1821,Tondela,3.64,,,Tondela,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651821
16G1822,Vila Nova de Paiva,,-,Dado nulo ou não aplicável,Vila Nova de Paiva,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651822
16G1823,Viseu,4.17,,,Viseu,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651823
16G1824,Vouzela,,-,Dado nulo ou não aplicável,Vouzela,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651824
16H0502,Castelo Branco,3.23,,,Castelo Branco,Centro,Beira Baixa,ACeS Beira Interior Sul (ULS Castelo Branco),Continente,Centro,1690502
16H0505,Idanha-a-Nova,,-,Dado nulo ou não aplicável,Idanha-a-Nova,Centro,Beira Baixa,ACeS Beira Interior Sul (ULS Castelo Branco),Continente,Centro,1690505
16H0506,Oleiros,,-,Dado nulo ou não aplicável,Oleiros,Centro,Beira Baixa,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660506
16H0507,Penamacor,,-,Dado nulo ou não aplicável,Penamacor,Centro,Beira Baixa,ACeS Beira Interior Sul (ULS Castelo Branco),Continente,Centro,1690507
16H0508,Proença-a-Nova,,-,Dado nulo ou não aplicável,Proença-a-Nova,Centro,Beira Baixa,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660508
16H0511,Vila Velha de Ródão,,-,Dado nulo ou não aplicável,Vila Velha de Ródão,Centro,Beira Baixa,ACeS Beira Interior Sul (ULS Castelo Branco),Continente,Centro,1690511
16I1401,Abrantes,3.29,,,Abrantes,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1401
16I1402,Alcanena,3.05,,,Alcanena,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1402
16I1408,Constância,,-,Dado nulo ou não aplicável,Constância,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1408
16I1410,Entroncamento,3.93,,,Entroncamento,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1410
16I1411,Ferreira do Zêzere,,-,Dado nulo ou não aplicável,Ferreira do Zêzere,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1411
16I1413,Mação,,-,Dado nulo ou não aplicável,Mação,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,1661413
16I1421,Ourém,4.02,,,Ourém,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1421
16I1417,Sardoal,,-,Dado nulo ou não aplicável,Sardoal,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1417
16I0509,Sertã,2.97,,,Sertã,Centro,Médio Tejo,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660509
16I1418,Tomar,4.2,,,Tomar,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1418
16I1419,Torres Novas,3.58,,,Torres Novas,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1419
16I0510,Vila de Rei,,-,Dado nulo ou não aplicável,Vila de Rei,Centro,Médio Tejo,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660510
16I1420,Vila Nova da Barquinha,3.25,,,Vila Nova da Barquinha,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1420
16J0902,Almeida,,-,Dado nulo ou não aplicável,Almeida,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680902
16J0501,Belmonte,2,,,Belmonte,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0501
16J0903,Celorico da Beira,,-,Dado nulo ou não aplicável,Celorico da Beira,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680903
16J0503,Covilhã,3.35,,,Covilhã,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0503
16J0904,Figueira de Castelo Rodrigo,,-,Dado nulo ou não aplicável,Figueira de Castelo Rodrigo,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680904
16J0905,Fornos de Algodres,,-,Dado nulo ou não aplicável,Fornos de Algodres,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1670905
16J0504,Fundão,3.07,,,Fundão,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0504
16J0906,Gouveia,2.63,,,Gouveia,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1670906
16J0907,Guarda,3.22,,,Guarda,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680907
16J0908,Manteigas,,-,Dado nulo ou não aplicável,Manteigas,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680908
