geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
1701511,Sesimbra,1,H,52,45 - 49 anos,1896
1701502,Alcochete,1,H,52,45 - 49 anos,780
1701111,Sintra,1,H,52,45 - 49 anos,15584
1701106,Lisboa,1,H,52,45 - 49 anos,16341
16J0905,Fornos de Algodres,1,H,52,45 - 49 anos,153
16J0503,Covilhã,1,H,52,45 - 49 anos,1667
16I1408,Constância,1,H,52,45 - 49 anos,156
16G1817,Sátão,1,H,52,45 - 49 anos,404
16G1811,Penalva do Castelo,1,H,52,45 - 49 anos,240
16G1806,Mangualde,1,H,52,45 - 49 anos,537
16F1016,Porto de Mós,1,H,52,45 - 49 anos,876
16F1015,Pombal,1,H,52,45 - 49 anos,1776
1840205,Beja,1,H,12,5 - 9 anos,885
1701512,Setúbal,1,H,12,5 - 9 anos,3014
1701115,Amadora,1,H,12,5 - 9 anos,4852
1701114,Vila Franca de Xira,1,H,12,5 - 9 anos,3855
1701107,Loures,1,H,12,5 - 9 anos,5781
16J0905,Fornos de Algodres,1,H,12,5 - 9 anos,64
16J0904,Figueira de Castelo Rodrigo,1,H,12,5 - 9 anos,122
16J0902,Almeida,1,H,12,5 - 9 anos,50
16I1420,Vila Nova da Barquinha,1,H,12,5 - 9 anos,151
16I1417,Sardoal,1,H,12,5 - 9 anos,66
16I1413,Mação,1,H,12,5 - 9 anos,78
16I1410,Entroncamento,1,H,12,5 - 9 anos,499
16H0511,Vila Velha de Ródão,1,H,12,5 - 9 anos,29
16H0507,Penamacor,1,H,12,5 - 9 anos,52
16G1809,Nelas,1,H,12,5 - 9 anos,258
16F1009,Leiria,1,H,12,5 - 9 anos,2851
16B1014,Peniche,1,H,12,5 - 9 anos,642
16B1012,Óbidos,1,H,12,5 - 9 anos,231
16B1011,Nazaré,1,H,12,5 - 9 anos,336
1500816,Vila Real de Santo António,1,H,12,5 - 9 anos,464
1500801,Albufeira,1,H,12,5 - 9 anos,1190
11E0406,Miranda do Douro,1,H,12,5 - 9 anos,90
1861214,Portalegre,1,H,92,85 e mais anos,361
1861213,Ponte de Sor,1,H,92,85 e mais anos,293
1851416,Santarém,1,H,92,85 e mais anos,692
1851403,Almeirim,1,H,92,85 e mais anos,268
1840212,Ourique,1,H,92,85 e mais anos,80
1840204,Barrancos,1,H,92,85 e mais anos,15
1810211,Odemira,1,H,92,85 e mais anos,539
16J0907,Guarda,1,H,92,85 e mais anos,388
16J0904,Figueira de Castelo Rodrigo,1,H,92,85 e mais anos,147
16J0503,Covilhã,1,H,92,85 e mais anos,596
16I1418,Tomar,1,H,92,85 e mais anos,576
16G1822,Vila Nova de Paiva,1,H,92,85 e mais anos,85
16F1007,Castanheira de Pêra,1,H,92,85 e mais anos,61
16F1004,Batalha,1,H,92,85 e mais anos,169
16D0115,Ovar,1,H,92,85 e mais anos,373
16D0105,Aveiro,1,H,92,85 e mais anos,704
16B1112,Sobral de Monte Agraço,1,H,92,85 e mais anos,62
16F1009,Leiria,1,H,52,45 - 49 anos,4493
16E0611,Oliveira do Hospital,1,H,52,45 - 49 anos,640
16D0114,Oliveira do Bairro,1,H,52,45 - 49 anos,913
16D0108,Estarreja,1,H,52,45 - 49 anos,950
16D0105,Aveiro,1,H,52,45 - 49 anos,2761
1500807,Lagos,1,H,52,45 - 49 anos,1079
