geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
2004301,Angra do Heroísmo,2,M,92,85 e mais anos,439
1870711,Reguengos de Monsaraz,2,M,92,85 e mais anos,297
1870708,Mourão,2,M,92,85 e mais anos,69
1861213,Ponte de Sor,2,M,92,85 e mais anos,452
1861206,Crato,2,M,92,85 e mais anos,155
1861203,Avis,2,M,92,85 e mais anos,135
16G1817,Sátão,2,M,62,55 - 59 anos,474
16F1013,Pedrógão Grande,2,M,62,55 - 59 anos,118
16F1004,Batalha,2,M,62,55 - 59 anos,567
16E0617,Vila Nova de Poiares,2,M,62,55 - 59 anos,243
16E0615,Soure,2,M,62,55 - 59 anos,654
16E0613,Penacova,2,M,62,55 - 59 anos,525
16E0612,Pampilhosa da Serra,2,M,62,55 - 59 anos,120
1861214,Portalegre,1,H,81,70 - 74 anos,612
1861202,Arronches,1,H,81,70 - 74 anos,63
11A1318,Trofa,2,M,22,15 - 19 anos,1123
11A1308,Matosinhos,2,M,22,15 - 19 anos,4432
11A0116,São João da Madeira,2,M,22,15 - 19 anos,565
11A0113,Oliveira de Azeméis,2,M,22,15 - 19 anos,1786
11A0107,Espinho,2,M,22,15 - 19 anos,701
1191705,Mondim de Basto,2,M,22,15 - 19 anos,217
1190307,Fafe,2,M,22,15 - 19 anos,1449
1111608,Valença,2,M,22,15 - 19 anos,328
1811513,Sines,T,HM,92,85 e mais anos,214
1701508,Palmela,T,HM,61,50 - 54 anos,4319
1701506,Moita,T,HM,61,50 - 54 anos,4632
1701502,Alcochete,T,HM,61,50 - 54 anos,1215
1701115,Amadora,T,HM,61,50 - 54 anos,11501
16J0501,Belmonte,T,HM,61,50 - 54 anos,496
16I1410,Entroncamento,T,HM,61,50 - 54 anos,1661
16G1822,Vila Nova de Paiva,T,HM,61,50 - 54 anos,375
16G1817,Sátão,T,HM,61,50 - 54 anos,899
16D0105,Aveiro,1,H,31,20 - 24 anos,1932
16B1102,Arruda dos Vinhos,1,H,31,20 - 24 anos,380
16B1014,Peniche,1,H,31,20 - 24 anos,628
1500814,Tavira,1,H,31,20 - 24 anos,576
1500809,Monchique,1,H,31,20 - 24 anos,122
11E0410,Vila Flor,1,H,31,20 - 24 anos,139
11E0401,Alfândega da Fé,1,H,31,20 - 24 anos,98
2004502,Velas,1,H,21,10 - 14 anos,131
2004204,Povoação,1,H,21,10 - 14 anos,193
1870706,Montemor-o-Novo,1,H,21,10 - 14 anos,358
1870701,Alandroal,1,H,21,10 - 14 anos,109
1861201,Alter do Chão,1,H,21,10 - 14 anos,45
11,Norte,T,HM,62,55 - 59 anos,262293
20,Região Autónoma dos Açores,T,HM,61,50 - 54 anos,17372
18,Alentejo,T,HM,61,50 - 54 anos,51557
16,Centro,T,HM,61,50 - 54 anos,165965
200,Região Autónoma dos Açores,T,HM,91,80 - 84 anos,5133
170,Área Metropolitana de Lisboa,T,HM,91,80 - 84 anos,87402
186,Alto Alentejo,T,HM,82,75 - 79 anos,6030
181,Alentejo Litoral,T,HM,82,75 - 79 anos,5048
11D,Douro,T,HM,82,75 - 79 anos,9399
187,Alentejo Central,T,HM,81,70 - 74 anos,8019
184,Baixo Alentejo,T,HM,81,70 - 74 anos,6148
170,Área Metropolitana de Lisboa,T,HM,81,70 - 74 anos,149928
11D,Douro,T,HM,81,70 - 74 anos,10275
186,Alto Alentejo,T,HM,72,65 - 69 anos,6445
185,Lezíria do Tejo,T,HM,72,65 - 69 anos,14703
11A,Área Metropolitana do Porto,T,HM,72,65 - 69 anos,104427
112,Cávado,T,HM,72,65 - 69 anos,20632
18,Alentejo,2,M,71,60 - 64 anos,24068
17,Área Metropolitana de Lisboa,2,M,71,60 - 64 anos,94445
20,Região Autónoma dos Açores,2,M,61,50 - 54 anos,8920
17,Área Metropolitana de Lisboa,2,M,61,50 - 54 anos,100095
11,Norte,2,M,61,50 - 54 anos,149302
16,Centro,2,M,52,45 - 49 anos,84744
16,Centro,2,M,51,40 - 44 anos,87650
18,Alentejo,2,M,42,35 - 39 anos,24326
16,Centro,2,M,42,35 - 39 anos,78663
11A1308,Matosinhos,2,M,12,5 - 9 anos,3995
11A1304,Gondomar,2,M,12,5 - 9 anos,3641
11A0113,Oliveira de Azeméis,2,M,12,5 - 9 anos,1281
1190307,Fafe,2,M,12,5 - 9 anos,1018
1120301,Amares,2,M,12,5 - 9 anos,392
1111606,Ponte da Barca,2,M,12,5 - 9 anos,204
1111601,Arcos de Valdevez,2,M,12,5 - 9 anos,354
2004101,Vila do Porto,2,M,11,0 - 4 anos,118
1811505,Grândola,1,H,71,60 - 64 anos,458
16J0504,Fundão,1,H,71,60 - 64 anos,988
16I1420,Vila Nova da Barquinha,1,H,71,60 - 64 anos,197
16I1402,Alcanena,1,H,71,60 - 64 anos,439
16H0506,Oleiros,1,H,71,60 - 64 anos,181
16H0505,Idanha-a-Nova,1,H,71,60 - 64 anos,240
16H0502,Castelo Branco,1,H,71,60 - 64 anos,1734
16G1816,São Pedro do Sul,1,H,71,60 - 64 anos,514
1840214,Vidigueira,1,H,81,70 - 74 anos,106
1840213,Serpa,1,H,81,70 - 74 anos,342
1840207,Cuba,1,H,81,70 - 74 anos,109
1810211,Odemira,1,H,81,70 - 74 anos,547
1701511,Sesimbra,1,H,81,70 - 74 anos,1067
1701110,Oeiras,1,H,81,70 - 74 anos,4544
16J0909,Mêda,1,H,81,70 - 74 anos,149
16J0904,Figueira de Castelo Rodrigo,1,H,81,70 - 74 anos,138
