geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
2004801,Lajes das Flores,1,H,12,5 - 9 anos,25
2004602,Madalena,1,H,12,5 - 9 anos,134
2004302,Vila da Praia da Vitória,1,H,12,5 - 9 anos,516
2004301,Angra do Heroísmo,1,H,12,5 - 9 anos,794
2004206,Vila Franca do Campo,1,H,12,5 - 9 anos,300
16F1015,Pombal,1,H,11,0 - 4 anos,851
16E1808,Mortágua,1,H,11,0 - 4 anos,149
16E0611,Oliveira do Hospital,1,H,11,0 - 4 anos,352
16E0609,Miranda do Corvo,1,H,11,0 - 4 anos,196
16D0118,Vagos,1,H,11,0 - 4 anos,471
11E,Terras de Trás-os-Montes,2,M,21,10 - 14 anos,1904
11D,Douro,2,M,21,10 - 14 anos,3786
20,Região Autónoma dos Açores,2,M,31,20 - 24 anos,7887
30,Região Autónoma da Madeira,2,M,12,5 - 9 anos,5112
1870708,Mourão,1,H,12,5 - 9 anos,59
1870704,Estremoz,1,H,12,5 - 9 anos,239
1870701,Alandroal,1,H,12,5 - 9 anos,79
16F1004,Batalha,1,H,52,45 - 49 anos,595
16E0617,Vila Nova de Poiares,1,H,52,45 - 49 anos,266
16E0611,Oliveira do Hospital,1,H,52,45 - 49 anos,615
16E0604,Condeixa-a-Nova,1,H,52,45 - 49 anos,714
1500807,Lagos,1,H,42,35 - 39 anos,902
11B1703,Chaves,2,M,62,55 - 59 anos,1596
1120303,Braga,2,M,52,45 - 49 anos,8076
1111610,Vila Nova de Cerveira,2,M,52,45 - 49 anos,372
1111609,Viana do Castelo,2,M,52,45 - 49 anos,3391
1111608,Valença,2,M,52,45 - 49 anos,516
3003201,Porto Santo,2,M,51,40 - 44 anos,238
3003110,São Vicente,2,M,51,40 - 44 anos,153
3003108,Santa Cruz,2,M,51,40 - 44 anos,2416
3003107,Ribeira Brava,2,M,51,40 - 44 anos,517
2004901,Corvo,2,M,51,40 - 44 anos,21
2004802,Santa Cruz das Flores,2,M,51,40 - 44 anos,90
2004801,Lajes das Flores,2,M,51,40 - 44 anos,53
2004601,Lajes do Pico,2,M,51,40 - 44 anos,198
2004204,Povoação,2,M,51,40 - 44 anos,244
16E0612,Pampilhosa da Serra,2,M,82,75 - 79 anos,167
16E0611,Oliveira do Hospital,2,M,82,75 - 79 anos,554
16E0601,Arganil,2,M,82,75 - 79 anos,355
16B1112,Sobral de Monte Agraço,2,M,82,75 - 79 anos,212
16B1104,Cadaval,2,M,82,75 - 79 anos,440
1500802,Alcoutim,2,M,72,65 - 69 anos,94
11E0411,Vimioso,2,M,72,65 - 69 anos,133
11D1801,Armamar,2,M,72,65 - 69 anos,187
11D1704,Mesão Frio,2,M,72,65 - 69 anos,144
11D0404,Freixo de Espada à Cinta,2,M,72,65 - 69 anos,116
11C1804,Cinfães,2,M,72,65 - 69 anos,551
11C1309,Paços de Ferreira,2,M,72,65 - 69 anos,1492
11C1307,Marco de Canaveses,2,M,72,65 - 69 anos,1451
11C1303,Felgueiras,2,M,72,65 - 69 anos,1608
11A0104,Arouca,2,M,62,55 - 59 anos,864
1191705,Mondim de Basto,2,M,62,55 - 59 anos,261
1190309,Póvoa de Lanhoso,2,M,62,55 - 59 anos,910
1861215,Sousel,1,H,12,5 - 9 anos,67
1861207,Elvas,1,H,12,5 - 9 anos,454
3003107,Ribeira Brava,1,H,81,70 - 74 anos,152
3003104,Machico,1,H,81,70 - 74 anos,338
2004801,Lajes das Flores,1,H,81,70 - 74 anos,24
2004302,Vila da Praia da Vitória,1,H,81,70 - 74 anos,363
2004204,Povoação,1,H,81,70 - 74 anos,86
2004202,Nordeste,1,H,81,70 - 74 anos,79
1870712,Vendas Novas,1,H,81,70 - 74 anos,326
1870704,Estremoz,1,H,81,70 - 74 anos,270
1870702,Arraiolos,1,H,81,70 - 74 anos,166
11D0409,Torre de Moncorvo,1,H,72,65 - 69 anos,262
11D0403,Carrazeda de Ansiães,1,H,72,65 - 69 anos,190
11C1813,Resende,1,H,72,65 - 69 anos,264
11C0305,Celorico de Basto,1,H,72,65 - 69 anos,460
11B1706,Montalegre,1,H,72,65 - 69 anos,319
1111606,Ponte da Barca,1,H,62,55 - 59 anos,408
1111604,Monção,1,H,62,55 - 59 anos,590
1111603,Melgaço,1,H,62,55 - 59 anos,261
3003103,Funchal,1,H,61,50 - 54 anos,3726
3003101,Calheta,1,H,61,50 - 54 anos,387
2004204,Povoação,1,H,61,50 - 54 anos,219
2004202,Nordeste,1,H,61,50 - 54 anos,194
1851416,Santarém,1,H,51,40 - 44 anos,1952
1851409,Coruche,1,H,51,40 - 44 anos,537
1840214,Vidigueira,1,H,51,40 - 44 anos,190
1840210,Moura,1,H,51,40 - 44 anos,436
1840206,Castro Verde,1,H,51,40 - 44 anos,242
1840204,Barrancos,1,H,51,40 - 44 anos,72
1810211,Odemira,1,H,51,40 - 44 anos,941
1701508,Palmela,1,H,51,40 - 44 anos,2753
1111605,Paredes de Coura,2,M,62,55 - 59 anos,285
1111602,Caminha,2,M,62,55 - 59 anos,656
1870707,Mora,2,M,51,40 - 44 anos,123
1861214,Portalegre,2,M,51,40 - 44 anos,830
1861208,Fronteira,2,M,51,40 - 44 anos,125
1861207,Elvas,2,M,51,40 - 44 anos,719
1861206,Crato,2,M,51,40 - 44 anos,101
1861205,Castelo de Vide,2,M,51,40 - 44 anos,95
1861203,Avis,2,M,51,40 - 44 anos,143
1861202,Arronches,2,M,51,40 - 44 anos,97
1861201,Alter do Chão,2,M,51,40 - 44 anos,106
1851416,Santarém,2,M,51,40 - 44 anos,2161
1851412,Golegã,2,M,51,40 - 44 anos,201
1851403,Almeirim,2,M,51,40 - 44 anos,999
1500816,Vila Real de Santo António,2,M,82,75 - 79 anos,445
1500808,Loulé,2,M,82,75 - 79 anos,1586
16D0114,Oliveira do Bairro,T,HM,51,40 - 44 anos,2120
16D0112,Murtosa,T,HM,51,40 - 44 anos,838
1861211,Monforte,1,H,21,10 - 14 anos,75
1851412,Golegã,1,H,21,10 - 14 anos,110
1851406,Cartaxo,1,H,21,10 - 14 anos,590
1851103,Azambuja,1,H,21,10 - 14 anos,592
1840206,Castro Verde,1,H,21,10 - 14 anos,145
111,Alto Minho,2,M,81,70 - 74 anos,7464
186,Alto Alentejo,2,M,72,65 - 69 anos,3477
16J,Beiras e Serra da Estrela,2,M,72,65 - 69 anos,7822
16B,Oeste,2,M,72,65 - 69 anos,11198
150,Algarve,2,M,72,65 - 69 anos,13477
11A,Área Metropolitana do Porto,2,M,72,65 - 69 anos,59313
112,Cávado,2,M,72,65 - 69 anos,11995
300,Região Autónoma da Madeira,2,M,71,60 - 64 anos,8911
16J,Beiras e Serra da Estrela,2,M,71,60 - 64 anos,8668
16H,Beira Baixa,2,M,71,60 - 64 anos,2953
11D,Douro,1,H,42,35 - 39 anos,5630
11C,Tâmega e Sousa,1,H,42,35 - 39 anos,13116
181,Alentejo Litoral,1,H,41,30 - 34 anos,2722
16E,Região de Coimbra,1,H,41,30 - 34 anos,10738
11A,Área Metropolitana do Porto,1,H,41,30 - 34 anos,46413
181,Alentejo Litoral,1,H,32,25 - 29 anos,2228
16I,Médio Tejo,1,H,32,25 - 29 anos,6330
16H,Beira Baixa,1,H,32,25 - 29 anos,1973
1811509,Santiago do Cacém,1,H,21,10 - 14 anos,603
1701511,Sesimbra,1,H,21,10 - 14 anos,1614
16J0902,Almeida,1,H,21,10 - 14 anos,53
16J0504,Fundão,1,H,21,10 - 14 anos,529
11D1701,Alijó,1,H,12,5 - 9 anos,139
11D0914,Vila Nova de Foz Côa,1,H,12,5 - 9 anos,86
11C1804,Cinfães,1,H,12,5 - 9 anos,384
11A1318,Trofa,1,H,12,5 - 9 anos,793
11A1315,Valongo,1,H,12,5 - 9 anos,2275
300,Região Autónoma da Madeira,T,HM,12,5 - 9 anos,10426
200,Região Autónoma dos Açores,T,HM,12,5 - 9 anos,12487
187,Alentejo Central,T,HM,12,5 - 9 anos,6094
186,Alto Alentejo,T,HM,12,5 - 9 anos,3940
150,Algarve,T,HM,12,5 - 9 anos,20768
11A,Área Metropolitana do Porto,T,HM,12,5 - 9 anos,74194
200,Região Autónoma dos Açores,T,HM,11,0 - 4 anos,11060
16G,Viseu Dão Lafões,T,HM,11,0 - 4 anos,8655
16D,Região de Aveiro,T,HM,11,0 - 4 anos,14678
16B,Oeste,T,HM,11,0 - 4 anos,14373
30,Região Autónoma da Madeira,T,HM,92,85 e mais anos,4893
16,Centro,T,HM,92,85 e mais anos,86655
16,Centro,T,HM,91,80 - 84 anos,90543
20,Região Autónoma dos Açores,T,HM,72,65 - 69 anos,11820
18,Alentejo,T,HM,72,65 - 69 anos,44220
17,Área Metropolitana de Lisboa,T,HM,72,65 - 69 anos,170356
30,Região Autónoma da Madeira,T,HM,71,60 - 64 anos,15725
17,Área Metropolitana de Lisboa,T,HM,71,60 - 64 anos,172990
16,Centro,T,HM,62,55 - 59 anos,164410
1500812,São Brás de Alportel,T,HM,62,55 - 59 anos,731
1500809,Monchique,T,HM,62,55 - 59 anos,376
