geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
11D1801,Armamar,2,M,51,40 - 44 anos,161
11D0914,Vila Nova de Foz Côa,2,M,52,45 - 49 anos,203
11D1707,Murça,2,M,52,45 - 49 anos,170
11D1708,Peso da Régua,2,M,52,45 - 49 anos,626
11D1714,Vila Real,2,M,52,45 - 49 anos,2180
16B1112,Sobral de Monte Agraço,1,H,42,35 - 39 anos,362
16D0114,Oliveira do Bairro,1,H,42,35 - 39 anos,732
16F1015,Pombal,1,H,51,40 - 44 anos,1702
16F1016,Porto de Mós,1,H,51,40 - 44 anos,797
16G1803,Castro Daire,1,H,52,45 - 49 anos,475
16G1806,Mangualde,1,H,52,45 - 49 anos,600
1840207,Cuba,1,H,61,50 - 54 anos,145
1840208,Ferreira do Alentejo,1,H,61,50 - 54 anos,257
1851406,Cartaxo,1,H,61,50 - 54 anos,807
16E0613,Penacova,1,H,42,35 - 39 anos,326
16E0613,Penacova,1,H,71,60 - 64 anos,504
16E0616,Tábua,1,H,71,60 - 64 anos,386
1840209,Mértola,1,H,71,60 - 64 anos,214
1851409,Coruche,1,H,71,60 - 64 anos,675
1861203,Avis,1,H,71,60 - 64 anos,149
16J0907,Guarda,1,H,81,70 - 74 anos,897
16J0910,Pinhel,1,H,81,70 - 74 anos,230
1701105,Cascais,1,H,81,70 - 74 anos,4913
1701109,Mafra,1,H,81,70 - 74 anos,1501
16B1101,Alenquer,1,H,62,55 - 59 anos,1451
16G1817,Sátão,1,H,71,60 - 64 anos,428
1861207,Elvas,1,H,71,60 - 64 anos,736
1861209,Gavião,1,H,71,60 - 64 anos,107
16D0114,Oliveira do Bairro,T,HM,32,25 - 29 anos,1456
11B1713,Vila Pouca de Aguiar,T,HM,21,10 - 14 anos,388
11C1303,Felgueiras,T,HM,21,10 - 14 anos,2625
11C1309,Paços de Ferreira,T,HM,21,10 - 14 anos,3033
11D0409,Torre de Moncorvo,T,HM,21,10 - 14 anos,222
11D1701,Alijó,T,HM,21,10 - 14 anos,410
1701110,Oeiras,T,HM,22,15 - 19 anos,9397
1701506,Moita,T,HM,22,15 - 19 anos,3383
1811501,Alcácer do Sal,T,HM,22,15 - 19 anos,568
1840201,Aljustrel,T,HM,22,15 - 19 anos,295
16E0610,Montemor-o-Velho,T,HM,31,20 - 24 anos,1163
16F1009,Leiria,T,HM,31,20 - 24 anos,7059
16F1015,Pombal,T,HM,31,20 - 24 anos,2884
16F1009,Leiria,T,HM,32,25 - 29 anos,6979
11D1801,Armamar,T,HM,21,10 - 14 anos,194
11D1805,Lamego,T,HM,21,10 - 14 anos,950
11E0401,Alfândega da Fé,T,HM,21,10 - 14 anos,122
11E0411,Vimioso,T,HM,21,10 - 14 anos,145
1840207,Cuba,T,HM,22,15 - 19 anos,229
11A1318,Trofa,1,H,T,Total,18190
11B1702,Boticas,1,H,T,Total,2300
11B1703,Chaves,1,H,T,Total,18554
11B1709,Ribeira de Pena,1,H,T,Total,2908
11C1305,Lousada,1,H,T,Total,22363
11C1307,Marco de Canaveses,1,H,T,Total,24686
16B1108,Lourinhã,T,HM,82,75 - 79 anos,993
16D0114,Oliveira do Bairro,T,HM,82,75 - 79 anos,1025
16E0111,Mealhada,T,HM,82,75 - 79 anos,818
16E1808,Mortágua,T,HM,91,80 - 84 anos,465
16F1016,Porto de Mós,T,HM,91,80 - 84 anos,891
16G0901,Aguiar da Beira,T,HM,91,80 - 84 anos,232
1120306,Esposende,2,M,82,75 - 79 anos,639
1120313,Vila Verde,2,M,82,75 - 79 anos,1006
11B1706,Montalegre,2,M,91,80 - 84 anos,359
11C1301,Amarante,2,M,91,80 - 84 anos,954
11C1307,Marco de Canaveses,2,M,91,80 - 84 anos,715
11C1804,Cinfães,2,M,91,80 - 84 anos,407
11E0402,Bragança,2,M,92,85 e mais anos,739
11E0405,Macedo de Cavaleiros,2,M,92,85 e mais anos,669
11E0407,Mirandela,2,M,92,85 e mais anos,622
11E0408,Mogadouro,2,M,92,85 e mais anos,423
11E0410,Vila Flor,2,M,92,85 e mais anos,207
11E0412,Vinhais,2,M,92,85 e mais anos,486
1500805,Faro,T,HM,11,0 - 4 anos,3323
1500811,Portimão,T,HM,11,0 - 4 anos,2901
11A0113,Oliveira de Azeméis,2,M,82,75 - 79 anos,1659
11D0409,Torre de Moncorvo,2,M,91,80 - 84 anos,291
11D1711,Santa Marta de Penaguião,2,M,91,80 - 84 anos,188
11E0401,Alfândega da Fé,2,M,91,80 - 84 anos,147
2004201,Lagoa,2,M,62,55 - 59 anos,507
11E0406,Miranda do Douro,2,M,71,60 - 64 anos,248
11E0412,Vinhais,2,M,71,60 - 64 anos,293
1500801,Albufeira,2,M,71,60 - 64 anos,1425
1500803,Aljezur,2,M,71,60 - 64 anos,173
1500806,Lagoa,2,M,71,60 - 64 anos,699
11B1713,Vila Pouca de Aguiar,2,M,81,70 - 74 anos,433
1701508,Palmela,2,M,91,80 - 84 anos,1092
1840204,Barrancos,2,M,92,85 e mais anos,47
1851404,Alpiarça,2,M,92,85 e mais anos,195
1111602,Caminha,T,HM,12,5 - 9 anos,599
1701106,Lisboa,2,M,82,75 - 79 anos,17031
1701510,Seixal,2,M,82,75 - 79 anos,3847
1840212,Ourique,2,M,91,80 - 84 anos,146
1851404,Alpiarça,2,M,91,80 - 84 anos,194
1851409,Coruche,2,M,91,80 - 84 anos,628
1851415,Salvaterra de Magos,2,M,91,80 - 84 anos,517
1861201,Alter do Chão,2,M,91,80 - 84 anos,99
11C1804,Cinfães,T,HM,12,5 - 9 anos,679
11D1701,Alijó,T,HM,12,5 - 9 anos,295
1840202,Almodôvar,2,M,82,75 - 79 anos,206
1840204,Barrancos,2,M,82,75 - 79 anos,36
1840210,Moura,2,M,82,75 - 79 anos,417
1870706,Montemor-o-Novo,2,M,91,80 - 84 anos,517
1870709,Portel,2,M,91,80 - 84 anos,192
1870713,Viana do Alentejo,2,M,92,85 e mais anos,118
2004203,Ponta Delgada,2,M,92,85 e mais anos,724
1870706,Montemor-o-Novo,1,H,71,60 - 64 anos,561
1811501,Alcácer do Sal,1,H,81,70 - 74 anos,381
1840205,Beja,1,H,81,70 - 74 anos,808
1840207,Cuba,1,H,81,70 - 74 anos,107
1840208,Ferreira do Alentejo,1,H,81,70 - 74 anos,184
16D0110,Ílhavo,1,H,62,55 - 59 anos,1411
16E0601,Arganil,1,H,62,55 - 59 anos,485
16E0603,Coimbra,1,H,62,55 - 59 anos,4739
16E0606,Góis,1,H,62,55 - 59 anos,139
1870713,Viana do Alentejo,1,H,71,60 - 64 anos,179
2004204,Povoação,1,H,71,60 - 64 anos,182
2004205,Ribeira Grande,1,H,71,60 - 64 anos,778
2004401,Santa Cruz da Graciosa,1,H,71,60 - 64 anos,128
2004603,São Roque do Pico,1,H,71,60 - 64 anos,122
1851404,Alpiarça,1,H,81,70 - 74 anos,221
1861204,Campo Maior,1,H,81,70 - 74 anos,166
16E1808,Mortágua,1,H,62,55 - 59 anos,282
16F1002,Alvaiázere,1,H,62,55 - 59 anos,258
16F1004,Batalha,1,H,62,55 - 59 anos,570
16F1008,Figueiró dos Vinhos,1,H,62,55 - 59 anos,205
2004901,Corvo,1,H,71,60 - 64 anos,14
3003106,Porto Moniz,1,H,71,60 - 64 anos,51
3003201,Porto Santo,1,H,71,60 - 64 anos,167
1811509,Santiago do Cacém,1,H,72,65 - 69 anos,1108
1840204,Barrancos,1,H,72,65 - 69 anos,51
1840208,Ferreira do Alentejo,1,H,72,65 - 69 anos,251
1861210,Marvão,1,H,81,70 - 74 anos,81
1870702,Arraiolos,1,H,81,70 - 74 anos,173
1870707,Mora,1,H,81,70 - 74 anos,137
16G1809,Nelas,T,HM,92,85 e mais anos,600
16G1816,São Pedro do Sul,T,HM,92,85 e mais anos,942
16B1005,Bombarral,1,H,T,Total,6101
16B1011,Nazaré,1,H,T,Total,6671
16B1112,Sobral de Monte Agraço,1,H,T,Total,5311
16D0115,Ovar,1,H,T,Total,25975
16E0606,Góis,T,HM,82,75 - 79 anos,238
16E0607,Lousã,T,HM,82,75 - 79 anos,703
16E0614,Penela,T,HM,82,75 - 79 anos,277
16F1004,Batalha,T,HM,82,75 - 79 anos,637
16G1817,Sátão,T,HM,91,80 - 84 anos,453
16I1413,Mação,T,HM,91,80 - 84 anos,434
16J0905,Fornos de Algodres,T,HM,92,85 e mais anos,243
16D0108,Estarreja,T,HM,81,70 - 74 anos,1413
16D0112,Murtosa,T,HM,81,70 - 74 anos,450
16D0117,Sever do Vouga,T,HM,81,70 - 74 anos,623
16E0111,Mealhada,T,HM,81,70 - 74 anos,1046
16E0604,Condeixa-a-Nova,T,HM,81,70 - 74 anos,809
16G0901,Aguiar da Beira,T,HM,82,75 - 79 anos,205
16G1814,Santa Comba Dão,T,HM,82,75 - 79 anos,577
16J0905,Fornos de Algodres,T,HM,91,80 - 84 anos,257
16J0913,Trancoso,T,HM,91,80 - 84 anos,559
1701506,Moita,T,HM,92,85 e mais anos,1474
16I1417,Sardoal,1,H,11,0 - 4 anos,41
16J0503,Covilhã,1,H,11,0 - 4 anos,695
11D1807,Moimenta da Beira,1,H,11,0 - 4 anos,171
11E0412,Vinhais,1,H,11,0 - 4 anos,83
16B1001,Alcobaça,1,H,11,0 - 4 anos,944
16B1005,Bombarral,1,H,11,0 - 4 anos,247
16B1011,Nazaré,1,H,11,0 - 4 anos,302
16B1102,Arruda dos Vinhos,1,H,11,0 - 4 anos,320
16B1113,Torres Vedras,1,H,11,0 - 4 anos,1707
16D0102,Albergaria-a-Velha,1,H,11,0 - 4 anos,516
16E0610,Montemor-o-Velho,1,H,11,0 - 4 anos,467
16E0613,Penacova,1,H,11,0 - 4 anos,151
16E0615,Soure,1,H,11,0 - 4 anos,281
16F1003,Ansião,1,H,11,0 - 4 anos,172
16F1008,Figueiró dos Vinhos,1,H,11,0 - 4 anos,85
16G1803,Castro Daire,1,H,11,0 - 4 anos,205
16G1811,Penalva do Castelo,1,H,11,0 - 4 anos,110
11A1314,Santo Tirso,1,H,12,5 - 9 anos,1168
11C0106,Castelo de Paiva,1,H,12,5 - 9 anos,292
11C1307,Marco de Canaveses,1,H,12,5 - 9 anos,1022
11D1805,Lamego,1,H,12,5 - 9 anos,441
1701503,Almada,1,H,11,0 - 4 anos,4175
2004301,Angra do Heroísmo,2,M,92,85 e mais anos,478
1861211,Monforte,T,HM,11,0 - 4 anos,124
1861215,Sousel,T,HM,11,0 - 4 anos,145
1851407,Chamusca,2,M,82,75 - 79 anos,312
1861203,Avis,2,M,82,75 - 79 anos,118
1870714,Vila Viçosa,2,M,91,80 - 84 anos,202
2004101,Vila do Porto,2,M,91,80 - 84 anos,65
2004204,Povoação,2,M,91,80 - 84 anos,91
1861214,Portalegre,T,HM,31,20 - 24 anos,1100
1870702,Arraiolos,T,HM,31,20 - 24 anos,346
1870703,Borba,T,HM,31,20 - 24 anos,305
1870714,Vila Viçosa,T,HM,31,20 - 24 anos,393
2004101,Vila do Porto,T,HM,31,20 - 24 anos,370
16G1821,Tondela,T,HM,12,5 - 9 anos,803
16I1411,Ferreira do Zêzere,T,HM,12,5 - 9 anos,239
1701512,Setúbal,T,HM,21,10 - 14 anos,6611
1840210,Moura,T,HM,21,10 - 14 anos,696
1120310,Terras de Bouro,T,HM,22,15 - 19 anos,314
2004502,Velas,T,HM,31,20 - 24 anos,286
