geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
3003106,Porto Moniz,1,H,12,5 - 9 anos,53
2004901,Corvo,1,H,12,5 - 9 anos,13
2004801,Lajes das Flores,1,H,12,5 - 9 anos,48
1870701,Alandroal,1,H,12,5 - 9 anos,110
1861215,Sousel,1,H,12,5 - 9 anos,82
1861210,Marvão,1,H,12,5 - 9 anos,47
1851416,Santarém,1,H,12,5 - 9 anos,1397
1851404,Alpiarça,1,H,12,5 - 9 anos,223
1701511,Sesimbra,1,H,12,5 - 9 anos,1590
1701507,Montijo,1,H,12,5 - 9 anos,1709
16J0902,Almeida,1,H,12,5 - 9 anos,56
16I1413,Mação,1,H,12,5 - 9 anos,94
16E1808,Mortágua,1,H,12,5 - 9 anos,158
16B1104,Cadaval,1,H,32,25 - 29 anos,340
16B1014,Peniche,1,H,32,25 - 29 anos,653
1500812,São Brás de Alportel,1,H,32,25 - 29 anos,275
1500807,Lagos,1,H,32,25 - 29 anos,828
1500805,Faro,1,H,32,25 - 29 anos,1430
1500804,Castro Marim,1,H,32,25 - 29 anos,170
1500801,Albufeira,1,H,32,25 - 29 anos,1074
11E0412,Vinhais,1,H,32,25 - 29 anos,177
11E0405,Macedo de Cavaleiros,1,H,32,25 - 29 anos,384
11D1812,Penedono,1,H,32,25 - 29 anos,77
11D1707,Murça,1,H,32,25 - 29 anos,117
11D0403,Carrazeda de Ansiães,1,H,32,25 - 29 anos,151
11B1713,Vila Pouca de Aguiar,1,H,32,25 - 29 anos,301
11B1703,Chaves,1,H,32,25 - 29 anos,1101
11A1317,Vila Nova de Gaia,1,H,32,25 - 29 anos,8347
11A1310,Paredes,1,H,32,25 - 29 anos,2646
1701105,Cascais,1,H,T,Total,97689
16J0913,Trancoso,1,H,T,Total,4452
16J0903,Celorico da Beira,1,H,T,Total,3422
16E0602,Cantanhede,T,HM,32,25 - 29 anos,1811
16E0601,Arganil,T,HM,32,25 - 29 anos,562
16B1108,Lourinhã,T,HM,32,25 - 29 anos,1449
16B1005,Bombarral,T,HM,32,25 - 29 anos,662
1500809,Monchique,T,HM,32,25 - 29 anos,263
11E0412,Vinhais,T,HM,32,25 - 29 anos,366
11E0401,Alfândega da Fé,T,HM,32,25 - 29 anos,231
11D1819,Tabuaço,T,HM,32,25 - 29 anos,383
11D1801,Armamar,T,HM,32,25 - 29 anos,301
1500806,Lagoa,T,HM,72,65 - 69 anos,1263
1500804,Castro Marim,T,HM,72,65 - 69 anos,384
11D1714,Vila Real,T,HM,72,65 - 69 anos,2680
11D1710,Sabrosa,T,HM,72,65 - 69 anos,339
11D1708,Peso da Régua,T,HM,72,65 - 69 anos,891
11C1303,Felgueiras,T,HM,72,65 - 69 anos,2465
11A1318,Trofa,T,HM,72,65 - 69 anos,2005
11A1316,Vila do Conde,T,HM,72,65 - 69 anos,4143
16J0910,Pinhel,2,M,11,0 - 4 anos,103
16J0904,Figueira de Castelo Rodrigo,2,M,11,0 - 4 anos,110
16J0503,Covilhã,2,M,11,0 - 4 anos,767
16J0501,Belmonte,2,M,11,0 - 4 anos,98
16I1402,Alcanena,2,M,11,0 - 4 anos,260
16I1401,Abrantes,2,M,11,0 - 4 anos,560
16G1809,Nelas,2,M,11,0 - 4 anos,226
16G1806,Mangualde,2,M,11,0 - 4 anos,347
16F1004,Batalha,2,M,11,0 - 4 anos,309
16F1002,Alvaiázere,2,M,11,0 - 4 anos,100
16E0111,Mealhada,2,M,11,0 - 4 anos,345
11D1815,São João da Pesqueira,1,H,82,75 - 79 anos,172
11C1303,Felgueiras,1,H,82,75 - 79 anos,688
11B1713,Vila Pouca de Aguiar,1,H,82,75 - 79 anos,328
11A1318,Trofa,1,H,82,75 - 79 anos,501
11A0119,Vale de Cambra,1,H,82,75 - 79 anos,421
1190312,Vila Nova de Famalicão,1,H,82,75 - 79 anos,1702
1190311,Vieira do Minho,1,H,82,75 - 79 anos,297
16I1402,Alcanena,2,M,12,5 - 9 anos,292
16I1401,Abrantes,2,M,12,5 - 9 anos,745
16H0505,Idanha-a-Nova,2,M,12,5 - 9 anos,145
16G0901,Aguiar da Beira,2,M,12,5 - 9 anos,72
16F1016,Porto de Mós,2,M,12,5 - 9 anos,499
16E1808,Mortágua,2,M,12,5 - 9 anos,152
16D0117,Sever do Vouga,1,H,12,5 - 9 anos,234
16D0115,Ovar,1,H,12,5 - 9 anos,1248
16D0102,Albergaria-a-Velha,1,H,12,5 - 9 anos,565
1861207,Elvas,2,M,81,70 - 74 anos,595
1861201,Alter do Chão,2,M,81,70 - 74 anos,89
1851414,Rio Maior,2,M,81,70 - 74 anos,596
1840212,Ourique,2,M,81,70 - 74 anos,198
1840210,Moura,2,M,81,70 - 74 anos,456
1840203,Alvito,2,M,81,70 - 74 anos,72
1701111,Sintra,2,M,81,70 - 74 anos,8052
16J0504,Fundão,2,M,81,70 - 74 anos,909
16I1417,Sardoal,2,M,81,70 - 74 anos,106
16G1817,Sátão,2,M,81,70 - 74 anos,341
11D1710,Sabrosa,2,M,61,50 - 54 anos,212
11D0404,Freixo de Espada à Cinta,2,M,61,50 - 54 anos,100
11B1703,Chaves,2,M,61,50 - 54 anos,1594
11A1310,Paredes,2,M,61,50 - 54 anos,3441
11A1308,Matosinhos,2,M,61,50 - 54 anos,7354
11A0116,São João da Madeira,2,M,61,50 - 54 anos,971
1120301,Amares,2,M,61,50 - 54 anos,704
1111607,Ponte de Lima,2,M,61,50 - 54 anos,1613
3003104,Machico,2,M,52,45 - 49 anos,953
3003103,Funchal,2,M,52,45 - 49 anos,4560
2004701,Horta,2,M,52,45 - 49 anos,560
16G1803,Castro Daire,T,HM,11,0 - 4 anos,435
16F1002,Alvaiázere,T,HM,11,0 - 4 anos,194
16E0617,Vila Nova de Poiares,T,HM,11,0 - 4 anos,274
16E0611,Oliveira do Hospital,T,HM,11,0 - 4 anos,678
16D0108,Estarreja,T,HM,11,0 - 4 anos,1019
16D0105,Aveiro,T,HM,11,0 - 4 anos,3575
16D0102,Albergaria-a-Velha,T,HM,11,0 - 4 anos,1044
1500816,Vila Real de Santo António,T,HM,11,0 - 4 anos,893
11E0408,Mogadouro,T,HM,11,0 - 4 anos,221
1870712,Vendas Novas,2,M,72,65 - 69 anos,462
1870710,Redondo,2,M,72,65 - 69 anos,184
1861211,Monforte,2,M,72,65 - 69 anos,73
1861210,Marvão,2,M,72,65 - 69 anos,109
1861204,Campo Maior,2,M,72,65 - 69 anos,211
1851416,Santarém,2,M,72,65 - 69 anos,2054
1851407,Chamusca,2,M,72,65 - 69 anos,346
1840209,Mértola,2,M,72,65 - 69 anos,223
1840206,Castro Verde,2,M,72,65 - 69 anos,195
16J0913,Trancoso,2,M,72,65 - 69 anos,331
16J0504,Fundão,2,M,72,65 - 69 anos,859
11E0411,Vimioso,2,M,52,45 - 49 anos,114
11E0408,Mogadouro,2,M,52,45 - 49 anos,265
11E0407,Mirandela,2,M,52,45 - 49 anos,804
11E,Terras de Trás-os-Montes,1,H,51,40 - 44 anos,3527
112,Cávado,1,H,51,40 - 44 anos,15824
185,Lezíria do Tejo,1,H,42,35 - 39 anos,9039
16E,Região de Coimbra,1,H,42,35 - 39 anos,15453
150,Algarve,1,H,42,35 - 39 anos,17004
170,Área Metropolitana de Lisboa,1,H,41,30 - 34 anos,89202
16E,Região de Coimbra,1,H,41,30 - 34 anos,13037
16B,Oeste,1,H,41,30 - 34 anos,11367
11E,Terras de Trás-os-Montes,1,H,41,30 - 34 anos,3022
16J,Beiras e Serra da Estrela,1,H,32,25 - 29 anos,5559
16D,Região de Aveiro,1,H,32,25 - 29 anos,9772
119,Ave,1,H,32,25 - 29 anos,12331
16I1401,Abrantes,T,HM,21,10 - 14 anos,1754
16G1821,Tondela,T,HM,21,10 - 14 anos,1245
16F1010,Marinha Grande,T,HM,21,10 - 14 anos,2055
16F1008,Figueiró dos Vinhos,T,HM,21,10 - 14 anos,234
16F1004,Batalha,T,HM,21,10 - 14 anos,839
16D0110,Ílhavo,T,HM,21,10 - 14 anos,2065
16D0102,Albergaria-a-Velha,T,HM,21,10 - 14 anos,1283
1190308,Guimarães,2,M,91,80 - 84 anos,2086
1120313,Vila Verde,2,M,91,80 - 84 anos,882
1111608,Valença,2,M,91,80 - 84 anos,347
1111606,Ponte da Barca,2,M,91,80 - 84 anos,322
1111601,Arcos de Valdevez,2,M,91,80 - 84 anos,778
16E0612,Pampilhosa da Serra,2,M,12,5 - 9 anos,55
16E0603,Coimbra,2,M,12,5 - 9 anos,2717
16E0602,Cantanhede,2,M,12,5 - 9 anos,716
16D0101,Águeda,2,M,12,5 - 9 anos,970
16B1112,Sobral de Monte Agraço,2,M,12,5 - 9 anos,257
1500812,São Brás de Alportel,2,M,12,5 - 9 anos,249
1500809,Monchique,2,M,12,5 - 9 anos,81
1500802,Alcoutim,2,M,12,5 - 9 anos,27
11E0401,Alfândega da Fé,1,H,62,55 - 59 anos,196
11D1815,São João da Pesqueira,1,H,62,55 - 59 anos,260
11D1812,Penedono,1,H,62,55 - 59 anos,103
