geocod,geodsg,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
1111601,Arcos de Valdevez,68.44,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601
1111601,Arcos de Valdevez,68.44,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601
1111602,Caminha,82.21,Caminha,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111602
1111603,Melgaço,67.54,Melgaço,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111603
1111604,Monção,73.56,Monção,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111604
1111605,Paredes de Coura,65.86,Paredes de Coura,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111605
1111606,Ponte da Barca,64.87,Ponte da Barca,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111606
1111607,Ponte de Lima,70.73,Ponte de Lima,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111607
1111608,Valença,85.67,Valença,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111608
1111609,Viana do Castelo,93.91,Viana do Castelo,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111609
1111610,Vila Nova de Cerveira,84.41,Vila Nova de Cerveira,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111610
1120301,Amares,71.13,Amares,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120301
1120302,Barcelos,77.22,Barcelos,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120302
1120303,Braga,104,Braga,Norte,Cávado,ACeS Braga,Continente,Norte,1120303
1120306,Esposende,82.54,Esposende,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120306
1120310,Terras de Bouro,65.15,Terras de Bouro,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120310
1120313,Vila Verde,68.23,Vila Verde,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120313
