geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
16B1012,Óbidos,2,M,92,85 e mais anos,198
16B1014,Peniche,2,M,92,85 e mais anos,413
16B1108,Lourinhã,2,M,92,85 e mais anos,420
1701110,Oeiras,2,M,21,10 - 14 anos,4459
1811501,Alcácer do Sal,2,M,21,10 - 14 anos,277
11D1818,Sernancelhe,T,HM,11,0 - 4 anos,131
11E0408,Mogadouro,T,HM,11,0 - 4 anos,220
1500801,Albufeira,T,HM,11,0 - 4 anos,2037
16B1001,Alcobaça,T,HM,11,0 - 4 anos,1902
16E0601,Arganil,T,HM,11,0 - 4 anos,337
16E0602,Cantanhede,T,HM,11,0 - 4 anos,1229
16E0605,Figueira da Foz,T,HM,11,0 - 4 anos,2106
16E0607,Lousã,T,HM,11,0 - 4 anos,715
16E0609,Miranda do Corvo,T,HM,11,0 - 4 anos,397
16E0617,Vila Nova de Poiares,T,HM,11,0 - 4 anos,254
16G1803,Castro Daire,T,HM,11,0 - 4 anos,436
16G1816,São Pedro do Sul,T,HM,11,0 - 4 anos,467
16G1817,Sátão,T,HM,11,0 - 4 anos,363
16I0510,Vila de Rei,T,HM,11,0 - 4 anos,86
16I1419,Torres Novas,T,HM,11,0 - 4 anos,1316
16J0902,Almeida,T,HM,11,0 - 4 anos,123
16J0905,Fornos de Algodres,T,HM,11,0 - 4 anos,131
16J0910,Pinhel,T,HM,11,0 - 4 anos,207
16J0911,Sabugal,T,HM,11,0 - 4 anos,271
16J0912,Seia,T,HM,11,0 - 4 anos,730
1701105,Cascais,T,HM,11,0 - 4 anos,10827
1840208,Ferreira do Alentejo,T,HM,11,0 - 4 anos,312
11D1801,Armamar,T,HM,T,Total,5939
11D1819,Tabuaço,T,HM,T,Total,6138
11E0401,Alfândega da Fé,T,HM,T,Total,4688
11E0402,Bragança,T,HM,T,Total,34033
11E0406,Miranda do Douro,T,HM,T,Total,7138
1500811,Portimão,T,HM,T,Total,55439
16D0101,Águeda,T,HM,T,Total,46825
16D0103,Anadia,T,HM,T,Total,27993
16D0115,Ovar,T,HM,T,Total,54607
16E0606,Góis,T,HM,T,Total,3985
16E0611,Oliveira do Hospital,T,HM,T,Total,19984
16E0613,Penacova,T,HM,T,Total,14399
16F1003,Ansião,T,HM,T,Total,12574
16G0901,Aguiar da Beira,T,HM,T,Total,5040
16G1802,Carregal do Sal,T,HM,T,Total,9580
16G1811,Penalva do Castelo,T,HM,T,Total,7493
16H0505,Idanha-a-Nova,T,HM,T,Total,8712
16H0508,Proença-a-Nova,T,HM,T,Total,7741
16H0511,Vila Velha de Ródão,T,HM,T,Total,3282
16I1413,Mação,T,HM,T,Total,6698
16J0501,Belmonte,T,HM,T,Total,6531
16J0503,Covilhã,T,HM,T,Total,48741
1701107,Loures,T,HM,T,Total,205870
1701109,Mafra,T,HM,T,Total,81961
1840204,Barrancos,T,HM,T,Total,1717
1851403,Almeirim,T,HM,T,Total,23092
1851404,Alpiarça,T,HM,T,Total,7289
1861206,Crato,T,HM,T,Total,3378
16G,Viseu Dão Lafões,1,H,12,5 - 9 anos,5495
