geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor
16J0904,Figueira de Castelo Rodrigo,1,H,12,5 - 9 anos,119
16J0902,Almeida,1,H,12,5 - 9 anos,57
16H0508,Proença-a-Nova,1,H,12,5 - 9 anos,104
11D1805,Lamego,1,H,22,15 - 19 anos,726
11D1801,Armamar,1,H,22,15 - 19 anos,141
11D1711,Santa Marta de Penaguião,1,H,22,15 - 19 anos,174
11D0914,Vila Nova de Foz Côa,1,H,22,15 - 19 anos,143
11C1804,Cinfães,1,H,22,15 - 19 anos,538
11A1316,Vila do Conde,1,H,22,15 - 19 anos,2304
11A1306,Maia,1,H,22,15 - 19 anos,3964
1851405,Benavente,1,H,11,0 - 4 anos,656
1851103,Azambuja,1,H,11,0 - 4 anos,419
1840209,Mértola,1,H,11,0 - 4 anos,89
1840203,Alvito,1,H,11,0 - 4 anos,54
1811509,Santiago do Cacém,1,H,11,0 - 4 anos,542
1811505,Grândola,1,H,11,0 - 4 anos,271
1701110,Oeiras,1,H,11,0 - 4 anos,4236
16J0911,Sabugal,1,H,11,0 - 4 anos,146
16J0909,Mêda,1,H,11,0 - 4 anos,63
16J0908,Manteigas,1,H,11,0 - 4 anos,31
16J0904,Figueira de Castelo Rodrigo,1,H,11,0 - 4 anos,95
16H,Beira Baixa,1,H,31,20 - 24 anos,1887
119,Ave,1,H,31,20 - 24 anos,12669
300,Região Autónoma da Madeira,1,H,22,15 - 19 anos,8296
187,Alentejo Central,1,H,22,15 - 19 anos,3923
18,Alentejo,1,H,41,30 - 34 anos,19576
15,Algarve,1,H,32,25 - 29 anos,11046
18,Alentejo,1,H,31,20 - 24 anos,17330
30,Região Autónoma da Madeira,1,H,22,15 - 19 anos,8296
11D1714,Vila Real,1,H,31,20 - 24 anos,1419
11D1711,Santa Marta de Penaguião,1,H,31,20 - 24 anos,186
11D1701,Alijó,1,H,31,20 - 24 anos,262
11C1309,Paços de Ferreira,1,H,31,20 - 24 anos,1910
11A1312,Porto,1,H,31,20 - 24 anos,4916
11A1306,Maia,1,H,31,20 - 24 anos,3542
11A0104,Arouca,1,H,31,20 - 24 anos,600
1190309,Póvoa de Lanhoso,1,H,31,20 - 24 anos,693
16G1822,Vila Nova de Paiva,1,H,21,10 - 14 anos,126
16G1814,Santa Comba Dão,1,H,21,10 - 14 anos,243
16G1809,Nelas,1,H,21,10 - 14 anos,331
16G1806,Mangualde,1,H,21,10 - 14 anos,451
16G0901,Aguiar da Beira,1,H,21,10 - 14 anos,95
11A,Área Metropolitana do Porto,2,M,62,55 - 59 anos,68492
112,Cávado,2,M,62,55 - 59 anos,15307
186,Alto Alentejo,2,M,61,50 - 54 anos,3904
181,Alentejo Litoral,2,M,61,50 - 54 anos,3220
16G,Viseu Dão Lafões,2,M,61,50 - 54 anos,9462
16F,Região de Leiria,2,M,61,50 - 54 anos,11086
150,Algarve,2,M,61,50 - 54 anos,16148
200,Região Autónoma dos Açores,2,M,52,45 - 49 anos,8853
16H0507,Penamacor,1,H,12,5 - 9 anos,59
16H0502,Castelo Branco,1,H,12,5 - 9 anos,1090
16G1803,Castro Daire,1,H,12,5 - 9 anos,241
16G1802,Carregal do Sal,1,H,12,5 - 9 anos,192
150,Algarve,1,H,91,80 - 84 anos,5963
300,Região Autónoma da Madeira,1,H,82,75 - 79 anos,2642
186,Alto Alentejo,1,H,82,75 - 79 anos,2275
1701110,Oeiras,T,HM,81,70 - 74 anos,10929
16J0912,Seia,T,HM,81,70 - 74 anos,1526
16J0911,Sabugal,T,HM,81,70 - 74 anos,741
16J0902,Almeida,T,HM,81,70 - 74 anos,437
1851103,Azambuja,T,HM,92,85 e mais anos,551
1701511,Sesimbra,T,HM,92,85 e mais anos,985
1701115,Amadora,T,HM,92,85 e mais anos,5183
1701107,Loures,T,HM,92,85 e mais anos,4351
16J0909,Mêda,T,HM,92,85 e mais anos,415
16J0906,Gouveia,T,HM,92,85 e mais anos,744
16I1420,Vila Nova da Barquinha,T,HM,81,70 - 74 anos,407
16G1824,Vouzela,T,HM,81,70 - 74 anos,621
16E0613,Penacova,T,HM,81,70 - 74 anos,852
