geocod,geodsg,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
11C1302,Baião,46.31,Baião,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151302
11C0106,Castelo de Paiva,54.71,Castelo de Paiva,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,Continente,Norte,1150106
11C0305,Celorico de Basto,41.77,Celorico de Basto,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1150305
11C1804,Cinfães,42.71,Cinfães,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151804
11C1303,Felgueiras,63.65,Felgueiras,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151303
11C1305,Lousada,53.62,Lousada,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151305
11C1307,Marco de Canaveses,57.71,Marco de Canaveses,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151307
11C1309,Paços de Ferreira,64.3,Paços de Ferreira,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151309
11C1311,Penafiel,59.81,Penafiel,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,Continente,Norte,1151311
11C1813,Resende,44.78,Resende,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151813
11D1701,Alijó,51.69,Alijó,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171701
11D1801,Armamar,44.55,Armamar,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171801
11D0403,Carrazeda de Ansiães,49.42,Carrazeda de Ansiães,Norte,Douro,ULS Nordeste,Continente,Norte,1170403
11D0404,Freixo de Espada à Cinta,53.63,Freixo de Espada à Cinta,Norte,Douro,ULS Nordeste,Continente,Norte,1170404
11D1805,Lamego,71.19,Lamego,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171805
11D1704,Mesão Frio,53.66,Mesão Frio,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171704
11D1807,Moimenta da Beira,56.48,Moimenta da Beira,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171807
11D1707,Murça,57.87,Murça,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1181707
11D1812,Penedono,50.78,Penedono,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171812
11D1708,Peso da Régua,70.87,Peso da Régua,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171708
11D1710,Sabrosa,50.35,Sabrosa,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171710
11D1711,Santa Marta de Penaguião,50.54,Santa Marta de Penaguião,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171711
11D1815,São João da Pesqueira,50.13,São João da Pesqueira,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171815
11D1818,Sernancelhe,42.07,Sernancelhe,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171818
11D1819,Tabuaço,49.1,Tabuaço,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171819
11D1820,Tarouca,53.25,Tarouca,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171820
11D0409,Torre de Moncorvo,57.13,Torre de Moncorvo,Norte,Douro,ULS Nordeste,Continente,Norte,1170409
11D0914,Vila Nova de Foz Côa,59.77,Vila Nova de Foz Côa,Centro,Douro,ULS Guarda,Continente,Norte,1170914
11D1714,Vila Real,90.3,Vila Real,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171714
11E0401,Alfândega da Fé,52.29,Alfândega da Fé,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180401
11E0402,Bragança,92.54,Bragança,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180402
11E0405,Macedo de Cavaleiros,62.4,Macedo de Cavaleiros,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180405
11E0406,Miranda do Douro,62.63,Miranda do Douro,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180406
11E0407,Mirandela,65.75,Mirandela,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180407
11E0408,Mogadouro,53.78,Mogadouro,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180408
11E0410,Vila Flor,52.77,Vila Flor,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1170410
11E0411,Vimioso,53.75,Vimioso,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180411
11E0412,Vinhais,46.51,Vinhais,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180412
16B1001,Alcobaça,76.65,Alcobaça,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1001
16B1101,Alenquer,78.53,Alenquer,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,Continente,Centro,16B1101
16B1102,Arruda dos Vinhos,77.23,Arruda dos Vinhos,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,Continente,Centro,16B1102
16B1005,Bombarral,68.65,Bombarral,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1005
16B1104,Cadaval,59.78,Cadaval,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1104
16B1006,Caldas da Rainha,96.06,Caldas da Rainha,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1006
16B1108,Lourinhã,70.79,Lourinhã,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1108
16B1011,Nazaré,80.99,Nazaré,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1011
16B1012,Óbidos,67.23,Óbidos,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1012
16B1014,Peniche,74.44,Peniche,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1014
16B1112,Sobral de Monte Agraço,72,Sobral de Monte Agraço,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1112
16B1113,Torres Vedras,82.63,Torres Vedras,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1113
16D0101,Águeda,76.62,Águeda,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610101
16D0102,Albergaria-a-Velha,70.13,Albergaria-a-Velha,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610102
