geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;valor;obs;sinal_conv;sinal_conv_desc
PT;Portugal;2;Acidentes de viação com vítimas mortais;2;Estradas nacionais;207;2017;;
PT;Portugal;T;Total de acidentes;2;Estradas nacionais;7087;2017;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;3;Restantes vias;;2017;x;Dado não disponível
PT;Portugal;2;Acidentes de viação com vítimas mortais;3;Restantes vias;;2017;x;Dado não disponível
PT;Portugal;T;Total de acidentes;3;Restantes vias;29622;2017;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;T;Total;;2017;x;Dado não disponível
PT;Portugal;2;Acidentes de viação com vítimas mortais;T;Total;;2017;x;Dado não disponível
PT;Portugal;T;Total de acidentes;T;Total;38630;2017;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;1;Autoestradas;2105;2018;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;1;Autoestradas;51;2018;;
PT;Portugal;T;Total de acidentes;1;Autoestradas;2156;2018;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;2;Estradas nacionais;6368;2018;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;2;Estradas nacionais;206;2018;;
PT;Portugal;T;Total de acidentes;2;Estradas nacionais;6574;2018;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;3;Restantes vias;;2018;x;Dado não disponível
PT;Portugal;2;Acidentes de viação com vítimas mortais;3;Restantes vias;;2018;x;Dado não disponível
PT;Portugal;T;Total de acidentes;3;Restantes vias;27072;2018;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;T;Total;;2018;x;Dado não disponível
PT;Portugal;2;Acidentes de viação com vítimas mortais;T;Total;;2018;x;Dado não disponível
PT;Portugal;T;Total de acidentes;T;Total;35802;2018;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;1;Autoestradas;2086;2019;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;1;Autoestradas;60;2019;;
PT;Portugal;T;Total de acidentes;1;Autoestradas;2146;2019;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;2;Estradas nacionais;6213;2019;;
PT;Portugal;2;Acidentes de viação com vítimas mortais;2;Estradas nacionais;159;2019;;
PT;Portugal;T;Total de acidentes;2;Estradas nacionais;6372;2019;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;3;Restantes vias;;2019;x;Dado não disponível
PT;Portugal;2;Acidentes de viação com vítimas mortais;3;Restantes vias;;2019;x;Dado não disponível
PT;Portugal;T;Total de acidentes;3;Restantes vias;28738;2019;;
PT;Portugal;1;Acidentes de viação com vítimas não mortais;T;Total;;2019;x;Dado não disponível
PT;Portugal;2;Acidentes de viação com vítimas mortais;T;Total;;2019;x;Dado não disponível
PT;Portugal;T;Total de acidentes;T;Total;37256;2019;;
