"","geocod","geodsg","valor","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"36","11A1314","Santo Tirso",71.24,"Santo Tirso","Norte","Área Metropolitana do Porto","ACeS Santo Tirso/Trofa","Continente","Norte","1131314","2004","NUTSIII"
"37","11A0116","São João da Madeira",120.12,"São João da Madeira","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160116","2004","NUTSIII"
"38","11A1318","Trofa",71.88,"Trofa","Norte","Área Metropolitana do Porto","ACeS Santo Tirso/Trofa","Continente","Norte","1131318","2004","NUTSIII"
"39","11A0119","Vale de Cambra",68.01,"Vale de Cambra","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160119","2004","NUTSIII"
"40","11A1315","Valongo",93.69,"Valongo","Norte","Área Metropolitana do Porto","ACeS Maia/Valongo","Continente","Norte","1141315","2004","NUTSIII"
"41","11A1316","Vila do Conde",75.59,"Vila do Conde","Norte","Área Metropolitana do Porto","ACeS Póvoa de Varzim/Vila do Conde","Continente","Norte","1141316","2004","NUTSIII"
"42","11A1317","Vila Nova de Gaia",95.11,"Vila Nova de Gaia","Norte","Área Metropolitana do Porto","ACeS Gaia e Espinho/Gaia","Continente","Norte","1141317","2004","NUTSIII"
"43","11B1702","Boticas",46.56,"Boticas","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181702","2004","NUTSIII"
"44","11B1703","Chaves",73.45,"Chaves","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181703","2004","NUTSIII"
"45","11B1706","Montalegre",49.61,"Montalegre","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181706","2004","NUTSIII"
"46","11B1709","Ribeira de Pena",43.78,"Ribeira de Pena","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1151709","2004","NUTSIII"
"47","11B1712","Valpaços",49.76,"Valpaços","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181712","2004","NUTSIII"
"48","11B1713","Vila Pouca de Aguiar",52.61,"Vila Pouca de Aguiar","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181713","2004","NUTSIII"
"49","11C1301","Amarante",58.44,"Amarante","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151301","2004","NUTSIII"
"50","11C1302","Baião",46.31,"Baião","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151302","2004","NUTSIII"
"51","11C0106","Castelo de Paiva",54.71,"Castelo de Paiva","Norte","Tâmega e Sousa","ACeS Vale do Sousa Sul","Continente","Norte","1150106","2004","NUTSIII"
"52","11C0305","Celorico de Basto",41.77,"Celorico de Basto","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1150305","2004","NUTSIII"
"53","11C1804","Cinfães",42.71,"Cinfães","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151804","2004","NUTSIII"
"54","11C1303","Felgueiras",63.65,"Felgueiras","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151303","2004","NUTSIII"
"55","11C1305","Lousada",53.62,"Lousada","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151305","2004","NUTSIII"
"56","11C1307","Marco de Canaveses",57.71,"Marco de Canaveses","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151307","2004","NUTSIII"
"57","11C1309","Paços de Ferreira",64.3,"Paços de Ferreira","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151309","2004","NUTSIII"
"58","11C1311","Penafiel",59.81,"Penafiel","Norte","Tâmega e Sousa","ACeS Vale do Sousa Sul","Continente","Norte","1151311","2004","NUTSIII"
"59","11C1813","Resende",44.78,"Resende","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151813","2004","NUTSIII"
"60","11D1701","Alijó",51.69,"Alijó","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171701","2004","NUTSIII"
"61","11D1801","Armamar",44.55,"Armamar","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171801","2004","NUTSIII"
"62","11D0403","Carrazeda de Ansiães",49.42,"Carrazeda de Ansiães","Norte","Douro","ULS Nordeste","Continente","Norte","1170403","2004","NUTSIII"
"63","11D0404","Freixo de Espada à Cinta",53.63,"Freixo de Espada à Cinta","Norte","Douro","ULS Nordeste","Continente","Norte","1170404","2004","NUTSIII"
"64","11D1805","Lamego",71.19,"Lamego","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171805","2004","NUTSIII"
"65","11D1704","Mesão Frio",53.66,"Mesão Frio","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171704","2004","NUTSIII"
"66","11D1807","Moimenta da Beira",56.48,"Moimenta da Beira","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171807","2004","NUTSIII"
"67","11D1707","Murça",57.87,"Murça","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1181707","2004","NUTSIII"
"68","11D1812","Penedono",50.78,"Penedono","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171812","2004","NUTSIII"
"69","11D1708","Peso da Régua",70.87,"Peso da Régua","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171708","2004","NUTSIII"
"70","11D1710","Sabrosa",50.35,"Sabrosa","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171710","2004","NUTSIII"
"71","11D1711","Santa Marta de Penaguião",50.54,"Santa Marta de Penaguião","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171711","2004","NUTSIII"
"72","11D1815","São João da Pesqueira",50.13,"São João da Pesqueira","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171815","2004","NUTSIII"
"73","11D1818","Sernancelhe",42.07,"Sernancelhe","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171818","2004","NUTSIII"
"74","11D1819","Tabuaço",49.1,"Tabuaço","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171819","2004","NUTSIII"
"75","11D1820","Tarouca",53.25,"Tarouca","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171820","2004","NUTSIII"
"76","11D0409","Torre de Moncorvo",57.13,"Torre de Moncorvo","Norte","Douro","ULS Nordeste","Continente","Norte","1170409","2004","NUTSIII"
"77","11D0914","Vila Nova de Foz Côa",59.77,"Vila Nova de Foz Côa","Centro","Douro","ULS Guarda","Continente","Norte","1170914","2004","NUTSIII"
"78","11D1714","Vila Real",90.3,"Vila Real","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171714","2004","NUTSIII"
"79","11E0401","Alfândega da Fé",52.29,"Alfândega da Fé","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180401","2004","NUTSIII"
"80","11E0402","Bragança",92.54,"Bragança","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180402","2004","NUTSIII"
"81","11E0405","Macedo de Cavaleiros",62.4,"Macedo de Cavaleiros","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180405","2004","NUTSIII"
"82","11E0406","Miranda do Douro",62.63,"Miranda do Douro","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180406","2004","NUTSIII"
"83","11E0407","Mirandela",65.75,"Mirandela","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180407","2004","NUTSIII"
"84","11E0408","Mogadouro",53.78,"Mogadouro","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180408","2004","NUTSIII"
"85","11E0410","Vila Flor",52.77,"Vila Flor","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1170410","2004","NUTSIII"
"86","11E0411","Vimioso",53.75,"Vimioso","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180411","2004","NUTSIII"
"87","11E0412","Vinhais",46.51,"Vinhais","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180412","2004","NUTSIII"
"88","16B1001","Alcobaça",76.65,"Alcobaça","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1001","2004","NUTSIII"
"89","16B1101","Alenquer",78.53,"Alenquer","Lisboa e Vale do Tejo","Oeste","ACeS Estuário do Tejo","Continente","Centro","16B1101","2004","NUTSIII"
"90","16B1102","Arruda dos Vinhos",77.23,"Arruda dos Vinhos","Lisboa e Vale do Tejo","Oeste","ACeS Estuário do Tejo","Continente","Centro","16B1102","2004","NUTSIII"
"91","16B1005","Bombarral",68.65,"Bombarral","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1005","2004","NUTSIII"
"92","16B1104","Cadaval",59.78,"Cadaval","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1104","2004","NUTSIII"
"93","16B1006","Caldas da Rainha",96.06,"Caldas da Rainha","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1006","2004","NUTSIII"
"94","16B1108","Lourinhã",70.79,"Lourinhã","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1108","2004","NUTSIII"
"95","16B1011","Nazaré",80.99,"Nazaré","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1011","2004","NUTSIII"
"96","16B1012","Óbidos",67.23,"Óbidos","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1012","2004","NUTSIII"
"97","16B1014","Peniche",74.44,"Peniche","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1014","2004","NUTSIII"
"98","16B1112","Sobral de Monte Agraço",72,"Sobral de Monte Agraço","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1112","2004","NUTSIII"
"99","16B1113","Torres Vedras",82.63,"Torres Vedras","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1113","2004","NUTSIII"
"100","16D0101","Águeda",76.62,"Águeda","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610101","2004","NUTSIII"
"101","16D0102","Albergaria-a-Velha",70.13,"Albergaria-a-Velha","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610102","2004","NUTSIII"
"102","16D0103","Anadia",73.54,"Anadia","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610103","2004","NUTSIII"
"103","16D0105","Aveiro",121.53,"Aveiro","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610105","2004","NUTSIII"
