"","geocod","geodsg","valor","sinal_conv","sinal_conv_desc","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"633","1190304","Cabeceiras de Basto",2.67,"","","Cabeceiras de Basto","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1150304","1.º Semestre de 2020","NUTSIII"
"634","1190307","Fafe",2.78,"","","Fafe","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130307","1.º Semestre de 2020","NUTSIII"
"635","1190308","Guimarães",3.75,"","","Guimarães","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130308","1.º Semestre de 2020","NUTSIII"
"636","1191705","Mondim de Basto",NA,"-","Dado nulo ou não aplicável","Mondim de Basto","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1151705","1.º Semestre de 2020","NUTSIII"
"637","1190309","Póvoa de Lanhoso",2.56,"","","Póvoa de Lanhoso","Norte","Ave","ACeS Gerês/Cabreira","Continente","Norte","1130309","1.º Semestre de 2020","NUTSIII"
"638","1190311","Vieira do Minho",NA,"-","Dado nulo ou não aplicável","Vieira do Minho","Norte","Ave","ACeS Gerês/Cabreira","Continente","Norte","1130311","1.º Semestre de 2020","NUTSIII"
"639","1190312","Vila Nova de Famalicão",3.93,"","","Vila Nova de Famalicão","Norte","Ave","ACeS Famalicão","Continente","Norte","1130312","1.º Semestre de 2020","NUTSIII"
"640","1190314","Vizela",3.01,"","","Vizela","Norte","Ave","ACeS Guimarães/Vizela/Terras de Basto","Continente","Norte","1130314","1.º Semestre de 2020","NUTSIII"
"641","11A0104","Arouca",3.48,"","","Arouca","Norte","Área Metropolitana do Porto","ACeS Feira/Arouca","Continente","Norte","1160104","1.º Semestre de 2020","NUTSIII"
"642","11A0107","Espinho",5.75,"","","Espinho","Norte","Área Metropolitana do Porto","ACeS Gaia e Espinho/Gaia","Continente","Norte","1140107","1.º Semestre de 2020","NUTSIII"
"643","11A1304","Gondomar",5.36,"","","Gondomar","Norte","Área Metropolitana do Porto","ACeS Gondomar","Continente","Norte","1141304","1.º Semestre de 2020","NUTSIII"
"644","11A1306","Maia",6,"","","Maia","Norte","Área Metropolitana do Porto","ACeS Maia/Valongo","Continente","Norte","1141306","1.º Semestre de 2020","NUTSIII"
"645","11A1308","Matosinhos",7.76,"","","Matosinhos","Norte","Área Metropolitana do Porto","ULS Matosinhos","Continente","Norte","1141308","1.º Semestre de 2020","NUTSIII"
"646","11A0113","Oliveira de Azeméis",3.38,"","","Oliveira de Azeméis","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160113","1.º Semestre de 2020","NUTSIII"
"647","11A1310","Paredes",3.43,"","","Paredes","Norte","Área Metropolitana do Porto","ACeS Vale do Sousa Sul","Continente","Norte","1151310","1.º Semestre de 2020","NUTSIII"
"648","11A1312","Porto",8.93,"","","Porto","Norte","Área Metropolitana do Porto","ACeS Porto Ocidental e Porto Oriental","Continente","Norte","1141312","1.º Semestre de 2020","NUTSIII"
"649","11A1313","Póvoa de Varzim",5.21,"","","Póvoa de Varzim","Norte","Área Metropolitana do Porto","ACeS Póvoa de Varzim/Vila do Conde","Continente","Norte","1141313","1.º Semestre de 2020","NUTSIII"
"650","11A0109","Santa Maria da Feira",3.9,"","","Santa Maria da Feira","Norte","Área Metropolitana do Porto","ACeS Feira/Arouca","Continente","Norte","1160109","1.º Semestre de 2020","NUTSIII"
"651","11A1314","Santo Tirso",3.27,"","","Santo Tirso","Norte","Área Metropolitana do Porto","ACeS Santo Tirso/Trofa","Continente","Norte","1131314","1.º Semestre de 2020","NUTSIII"
"652","11A0116","São João da Madeira",4.22,"","","São João da Madeira","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160116","1.º Semestre de 2020","NUTSIII"
"653","11A1318","Trofa",4.21,"","","Trofa","Norte","Área Metropolitana do Porto","ACeS Santo Tirso/Trofa","Continente","Norte","1131318","1.º Semestre de 2020","NUTSIII"
"654","11A0119","Vale de Cambra",3.38,"","","Vale de Cambra","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160119","1.º Semestre de 2020","NUTSIII"
"655","11A1315","Valongo",5.46,"","","Valongo","Norte","Área Metropolitana do Porto","ACeS Maia/Valongo","Continente","Norte","1141315","1.º Semestre de 2020","NUTSIII"
"656","11A1316","Vila do Conde",4.86,"","","Vila do Conde","Norte","Área Metropolitana do Porto","ACeS Póvoa de Varzim/Vila do Conde","Continente","Norte","1141316","1.º Semestre de 2020","NUTSIII"
"657","11A1317","Vila Nova de Gaia",6.47,"","","Vila Nova de Gaia","Norte","Área Metropolitana do Porto","ACeS Gaia e Espinho/Gaia","Continente","Norte","1141317","1.º Semestre de 2020","NUTSIII"
"658","11B1702","Boticas",NA,"-","Dado nulo ou não aplicável","Boticas","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181702","1.º Semestre de 2020","NUTSIII"
"659","11B1703","Chaves",3.61,"","","Chaves","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181703","1.º Semestre de 2020","NUTSIII"
"660","11B1706","Montalegre",NA,"-","Dado nulo ou não aplicável","Montalegre","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181706","1.º Semestre de 2020","NUTSIII"
"661","11B1709","Ribeira de Pena",NA,"-","Dado nulo ou não aplicável","Ribeira de Pena","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1151709","1.º Semestre de 2020","NUTSIII"
"662","11B1712","Valpaços",2.33,"","","Valpaços","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181712","1.º Semestre de 2020","NUTSIII"
"663","11B1713","Vila Pouca de Aguiar",3.25,"","","Vila Pouca de Aguiar","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181713","1.º Semestre de 2020","NUTSIII"
"664","11C1301","Amarante",2.77,"","","Amarante","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151301","1.º Semestre de 2020","NUTSIII"
"665","11C1302","Baião",2.66,"","","Baião","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151302","1.º Semestre de 2020","NUTSIII"
"666","11C0106","Castelo de Paiva",2.94,"","","Castelo de Paiva","Norte","Tâmega e Sousa","ACeS Vale do Sousa Sul","Continente","Norte","1150106","1.º Semestre de 2020","NUTSIII"
"667","11C0305","Celorico de Basto",NA,"-","Dado nulo ou não aplicável","Celorico de Basto","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1150305","1.º Semestre de 2020","NUTSIII"
"668","11C1804","Cinfães",2.21,"","","Cinfães","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151804","1.º Semestre de 2020","NUTSIII"
"669","11C1303","Felgueiras",2.75,"","","Felgueiras","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151303","1.º Semestre de 2020","NUTSIII"
"670","11C1305","Lousada",2.41,"","","Lousada","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151305","1.º Semestre de 2020","NUTSIII"
"671","11C1307","Marco de Canaveses",2.46,"","","Marco de Canaveses","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151307","1.º Semestre de 2020","NUTSIII"
"672","11C1309","Paços de Ferreira",3.15,"","","Paços de Ferreira","Norte","Tâmega e Sousa","ACeS Vale do Sousa Norte","Continente","Norte","1151309","1.º Semestre de 2020","NUTSIII"
"673","11C1311","Penafiel",3.16,"","","Penafiel","Norte","Tâmega e Sousa","ACeS Vale do Sousa Sul","Continente","Norte","1151311","1.º Semestre de 2020","NUTSIII"
"674","11C1813","Resende",NA,"-","Dado nulo ou não aplicável","Resende","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151813","1.º Semestre de 2020","NUTSIII"
"675","11D1701","Alijó",NA,"-","Dado nulo ou não aplicável","Alijó","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171701","1.º Semestre de 2020","NUTSIII"
"676","11D1801","Armamar",NA,"-","Dado nulo ou não aplicável","Armamar","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171801","1.º Semestre de 2020","NUTSIII"
"677","11D0403","Carrazeda de Ansiães",NA,"-","Dado nulo ou não aplicável","Carrazeda de Ansiães","Norte","Douro","ULS Nordeste","Continente","Norte","1170403","1.º Semestre de 2020","NUTSIII"
"678","11D0404","Freixo de Espada à Cinta",NA,"-","Dado nulo ou não aplicável","Freixo de Espada à Cinta","Norte","Douro","ULS Nordeste","Continente","Norte","1170404","1.º Semestre de 2020","NUTSIII"
"679","11D1805","Lamego",2.42,"","","Lamego","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171805","1.º Semestre de 2020","NUTSIII"
"680","11D1704","Mesão Frio",NA,"-","Dado nulo ou não aplicável","Mesão Frio","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171704","1.º Semestre de 2020","NUTSIII"
"681","11D1807","Moimenta da Beira",NA,"-","Dado nulo ou não aplicável","Moimenta da Beira","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171807","1.º Semestre de 2020","NUTSIII"
"682","11D1707","Murça",NA,"-","Dado nulo ou não aplicável","Murça","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1181707","1.º Semestre de 2020","NUTSIII"
"683","11D1812","Penedono",NA,"-","Dado nulo ou não aplicável","Penedono","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171812","1.º Semestre de 2020","NUTSIII"
"684","11D1708","Peso da Régua",3.53,"","","Peso da Régua","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171708","1.º Semestre de 2020","NUTSIII"
"685","11D1710","Sabrosa",NA,"-","Dado nulo ou não aplicável","Sabrosa","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171710","1.º Semestre de 2020","NUTSIII"
"686","11D1711","Santa Marta de Penaguião",NA,"-","Dado nulo ou não aplicável","Santa Marta de Penaguião","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171711","1.º Semestre de 2020","NUTSIII"
"687","11D1815","São João da Pesqueira",NA,"-","Dado nulo ou não aplicável","São João da Pesqueira","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171815","1.º Semestre de 2020","NUTSIII"
"688","11D1818","Sernancelhe",NA,"-","Dado nulo ou não aplicável","Sernancelhe","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171818","1.º Semestre de 2020","NUTSIII"
"689","11D1819","Tabuaço",NA,"-","Dado nulo ou não aplicável","Tabuaço","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171819","1.º Semestre de 2020","NUTSIII"
"690","11D1820","Tarouca",NA,"-","Dado nulo ou não aplicável","Tarouca","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171820","1.º Semestre de 2020","NUTSIII"
"691","11D0409","Torre de Moncorvo",NA,"-","Dado nulo ou não aplicável","Torre de Moncorvo","Norte","Douro","ULS Nordeste","Continente","Norte","1170409","1.º Semestre de 2020","NUTSIII"
"692","11D0914","Vila Nova de Foz Côa",2.19,"","","Vila Nova de Foz Côa","Centro","Douro","ULS Guarda","Continente","Norte","1170914","1.º Semestre de 2020","NUTSIII"
"693","11D1714","Vila Real",3.83,"","","Vila Real","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171714","1.º Semestre de 2020","NUTSIII"
"694","11E0401","Alfândega da Fé",NA,"-","Dado nulo ou não aplicável","Alfândega da Fé","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180401","1.º Semestre de 2020","NUTSIII"
"695","11E0402","Bragança",2.6,"","","Bragança","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180402","1.º Semestre de 2020","NUTSIII"
"696","11E0405","Macedo de Cavaleiros",2.25,"","","Macedo de Cavaleiros","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180405","1.º Semestre de 2020","NUTSIII"
"697","11E0406","Miranda do Douro",NA,"-","Dado nulo ou não aplicável","Miranda do Douro","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180406","1.º Semestre de 2020","NUTSIII"
"698","11E0407","Mirandela",2.57,"","","Mirandela","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180407","1.º Semestre de 2020","NUTSIII"
"699","11E0408","Mogadouro",NA,"-","Dado nulo ou não aplicável","Mogadouro","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180408","1.º Semestre de 2020","NUTSIII"
"700","11E0410","Vila Flor",NA,"-","Dado nulo ou não aplicável","Vila Flor","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1170410","1.º Semestre de 2020","NUTSIII"
"701","11E0411","Vimioso",NA,"-","Dado nulo ou não aplicável","Vimioso","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180411","1.º Semestre de 2020","NUTSIII"
"702","11E0412","Vinhais",NA,"-","Dado nulo ou não aplicável","Vinhais","Norte","Terras de Trás-os-Montes","ULS Nordeste","Continente","Norte","1180412","1.º Semestre de 2020","NUTSIII"
"703","16B1001","Alcobaça",3.91,"","","Alcobaça","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1001","1.º Semestre de 2020","NUTSIII"
"704","16B1101","Alenquer",4.66,"","","Alenquer","Lisboa e Vale do Tejo","Oeste","ACeS Estuário do Tejo","Continente","Centro","16B1101","1.º Semestre de 2020","NUTSIII"
"705","16B1102","Arruda dos Vinhos",5,"","","Arruda dos Vinhos","Lisboa e Vale do Tejo","Oeste","ACeS Estuário do Tejo","Continente","Centro","16B1102","1.º Semestre de 2020","NUTSIII"
"706","16B1005","Bombarral",3.35,"","","Bombarral","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1005","1.º Semestre de 2020","NUTSIII"
"707","16B1104","Cadaval",2.89,"","","Cadaval","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1104","1.º Semestre de 2020","NUTSIII"
"708","16B1006","Caldas da Rainha",4.42,"","","Caldas da Rainha","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1006","1.º Semestre de 2020","NUTSIII"
"709","16B1108","Lourinhã",4.17,"","","Lourinhã","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1108","1.º Semestre de 2020","NUTSIII"
"710","16B1011","Nazaré",4.17,"","","Nazaré","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1011","1.º Semestre de 2020","NUTSIII"
"711","16B1012","Óbidos",4.47,"","","Óbidos","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1012","1.º Semestre de 2020","NUTSIII"
"712","16B1014","Peniche",4.5,"","","Peniche","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Norte","Continente","Centro","16B1014","1.º Semestre de 2020","NUTSIII"
"713","16B1112","Sobral de Monte Agraço",3.89,"","","Sobral de Monte Agraço","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1112","1.º Semestre de 2020","NUTSIII"
"714","16B1113","Torres Vedras",5.32,"","","Torres Vedras","Lisboa e Vale do Tejo","Oeste","ACeS Oeste Sul","Continente","Centro","16B1113","1.º Semestre de 2020","NUTSIII"
"715","16D0101","Águeda",3.71,"","","Águeda","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610101","1.º Semestre de 2020","NUTSIII"
"716","16D0102","Albergaria-a-Velha",3.82,"","","Albergaria-a-Velha","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610102","1.º Semestre de 2020","NUTSIII"
"717","16D0103","Anadia",3.35,"","","Anadia","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610103","1.º Semestre de 2020","NUTSIII"
"718","16D0105","Aveiro",5.69,"","","Aveiro","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610105","1.º Semestre de 2020","NUTSIII"
"719","16D0108","Estarreja",3.62,"","","Estarreja","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610108","1.º Semestre de 2020","NUTSIII"
"720","16D0110","Ílhavo",4.95,"","","Ílhavo","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610110","1.º Semestre de 2020","NUTSIII"
"721","16D0112","Murtosa",3.79,"","","Murtosa","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610112","1.º Semestre de 2020","NUTSIII"
"722","16D0114","Oliveira do Bairro",3.61,"","","Oliveira do Bairro","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610114","1.º Semestre de 2020","NUTSIII"
"723","16D0115","Ovar",4.33,"","","Ovar","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610115","1.º Semestre de 2020","NUTSIII"
"724","16D0117","Sever do Vouga",2.96,"","","Sever do Vouga","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610117","1.º Semestre de 2020","NUTSIII"
"725","16D0118","Vagos",3.48,"","","Vagos","Centro","Região de Aveiro","ACeS Baixo Vouga","Continente","Centro","1610118","1.º Semestre de 2020","NUTSIII"
"726","16E0601","Arganil",2.94,"","","Arganil","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640601","1.º Semestre de 2020","NUTSIII"
"727","16E0602","Cantanhede",3.48,"","","Cantanhede","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620602","1.º Semestre de 2020","NUTSIII"
"728","16E0603","Coimbra",5.75,"","","Coimbra","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620603","1.º Semestre de 2020","NUTSIII"
"729","16E0604","Condeixa-a-Nova",3.79,"","","Condeixa-a-Nova","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620604","1.º Semestre de 2020","NUTSIII"
"730","16E0605","Figueira da Foz",4.55,"","","Figueira da Foz","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620605","1.º Semestre de 2020","NUTSIII"
"731","16E0606","Góis",NA,"-","Dado nulo ou não aplicável","Góis","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640606","1.º Semestre de 2020","NUTSIII"
"732","16E0607","Lousã",2.92,"","","Lousã","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640607","1.º Semestre de 2020","NUTSIII"
"733","16E0111","Mealhada",3.21,"","","Mealhada","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1610111","1.º Semestre de 2020","NUTSIII"
"734","16E0608","Mira",3.09,"","","Mira","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620608","1.º Semestre de 2020","NUTSIII"
"735","16E0609","Miranda do Corvo",2.89,"","","Miranda do Corvo","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640609","1.º Semestre de 2020","NUTSIII"
"736","16E0610","Montemor-o-Velho",3.49,"","","Montemor-o-Velho","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620610","1.º Semestre de 2020","NUTSIII"
"737","16E1808","Mortágua",2.7,"","","Mortágua","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1651808","1.º Semestre de 2020","NUTSIII"
"738","16E0611","Oliveira do Hospital",2.59,"","","Oliveira do Hospital","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640611","1.º Semestre de 2020","NUTSIII"
"739","16E0612","Pampilhosa da Serra",NA,"-","Dado nulo ou não aplicável","Pampilhosa da Serra","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640612","1.º Semestre de 2020","NUTSIII"
"740","16E0613","Penacova",NA,"-","Dado nulo ou não aplicável","Penacova","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620613","1.º Semestre de 2020","NUTSIII"
"741","16E0614","Penela",NA,"-","Dado nulo ou não aplicável","Penela","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640614","1.º Semestre de 2020","NUTSIII"
"742","16E0615","Soure",2.79,"","","Soure","Centro","Região de Coimbra","ACeS Baixo Mondego","Continente","Centro","1620615","1.º Semestre de 2020","NUTSIII"
"743","16E0616","Tábua",3.13,"","","Tábua","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640616","1.º Semestre de 2020","NUTSIII"
"744","16E0617","Vila Nova de Poiares",2.6,"","","Vila Nova de Poiares","Centro","Região de Coimbra","ACeS Pinhal Interior Norte","Continente","Centro","1640617","1.º Semestre de 2020","NUTSIII"
"745","16F1002","Alvaiázere",NA,"-","Dado nulo ou não aplicável","Alvaiázere","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641002","1.º Semestre de 2020","NUTSIII"
"746","16F1003","Ansião",3,"","","Ansião","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641003","1.º Semestre de 2020","NUTSIII"
"747","16F1004","Batalha",3.29,"","","Batalha","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631004","1.º Semestre de 2020","NUTSIII"
"748","16F1007","Castanheira de Pêra",NA,"-","Dado nulo ou não aplicável","Castanheira de Pêra","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641007","1.º Semestre de 2020","NUTSIII"
"749","16F1008","Figueiró dos Vinhos",NA,"-","Dado nulo ou não aplicável","Figueiró dos Vinhos","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641008","1.º Semestre de 2020","NUTSIII"
"750","16F1009","Leiria",4.72,"","","Leiria","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631009","1.º Semestre de 2020","NUTSIII"
"751","16F1010","Marinha Grande",3.86,"","","Marinha Grande","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631010","1.º Semestre de 2020","NUTSIII"
"752","16F1013","Pedrógão Grande",NA,"-","Dado nulo ou não aplicável","Pedrógão Grande","Centro","Região de Leiria","ACeS Pinhal Interior Norte","Continente","Centro","1641013","1.º Semestre de 2020","NUTSIII"
"753","16F1015","Pombal",3.44,"","","Pombal","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631015","1.º Semestre de 2020","NUTSIII"
"754","16F1016","Porto de Mós",3.21,"","","Porto de Mós","Centro","Região de Leiria","ACeS Pinhal Litoral","Continente","Centro","1631016","1.º Semestre de 2020","NUTSIII"
"755","16G0901","Aguiar da Beira",NA,"-","Dado nulo ou não aplicável","Aguiar da Beira","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1650901","1.º Semestre de 2020","NUTSIII"
"756","16G1802","Carregal do Sal",2.74,"","","Carregal do Sal","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651802","1.º Semestre de 2020","NUTSIII"
"757","16G1803","Castro Daire",NA,"-","Dado nulo ou não aplicável","Castro Daire","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651803","1.º Semestre de 2020","NUTSIII"
"758","16G1806","Mangualde",2.67,"","","Mangualde","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651806","1.º Semestre de 2020","NUTSIII"
"759","16G1809","Nelas",2.75,"","","Nelas","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651809","1.º Semestre de 2020","NUTSIII"
"760","16G1810","Oliveira de Frades",3.06,"","","Oliveira de Frades","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651810","1.º Semestre de 2020","NUTSIII"
"761","16G1811","Penalva do Castelo",NA,"-","Dado nulo ou não aplicável","Penalva do Castelo","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651811","1.º Semestre de 2020","NUTSIII"
"762","16G1814","Santa Comba Dão",2.54,"","","Santa Comba Dão","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651814","1.º Semestre de 2020","NUTSIII"
"763","16G1816","São Pedro do Sul",3.28,"","","São Pedro do Sul","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651816","1.º Semestre de 2020","NUTSIII"
"764","16G1817","Sátão",2.22,"","","Sátão","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651817","1.º Semestre de 2020","NUTSIII"
"765","16G1821","Tondela",3.27,"","","Tondela","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651821","1.º Semestre de 2020","NUTSIII"
"766","16G1822","Vila Nova de Paiva",NA,"-","Dado nulo ou não aplicável","Vila Nova de Paiva","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651822","1.º Semestre de 2020","NUTSIII"
"767","16G1823","Viseu",4.05,"","","Viseu","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651823","1.º Semestre de 2020","NUTSIII"
"768","16G1824","Vouzela",NA,"-","Dado nulo ou não aplicável","Vouzela","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651824","1.º Semestre de 2020","NUTSIII"
"769","16H0502","Castelo Branco",3.21,"","","Castelo Branco","Centro","Beira Baixa","ACeS Beira Interior Sul (ULS Castelo Branco)","Continente","Centro","1690502","1.º Semestre de 2020","NUTSIII"
"770","16H0505","Idanha-a-Nova",NA,"-","Dado nulo ou não aplicável","Idanha-a-Nova","Centro","Beira Baixa","ACeS Beira Interior Sul (ULS Castelo Branco)","Continente","Centro","1690505","1.º Semestre de 2020","NUTSIII"
"771","16H0506","Oleiros",NA,"-","Dado nulo ou não aplicável","Oleiros","Centro","Beira Baixa","ACeS Pinhal Interior Sul (ULS Castelo Branco)","Continente","Centro","1660506","1.º Semestre de 2020","NUTSIII"
"772","16H0507","Penamacor",NA,"-","Dado nulo ou não aplicável","Penamacor","Centro","Beira Baixa","ACeS Beira Interior Sul (ULS Castelo Branco)","Continente","Centro","1690507","1.º Semestre de 2020","NUTSIII"
"773","16H0508","Proença-a-Nova",NA,"-","Dado nulo ou não aplicável","Proença-a-Nova","Centro","Beira Baixa","ACeS Pinhal Interior Sul (ULS Castelo Branco)","Continente","Centro","1660508","1.º Semestre de 2020","NUTSIII"
"774","16H0511","Vila Velha de Ródão",NA,"-","Dado nulo ou não aplicável","Vila Velha de Ródão","Centro","Beira Baixa","ACeS Beira Interior Sul (ULS Castelo Branco)","Continente","Centro","1690511","1.º Semestre de 2020","NUTSIII"
"775","16I1401","Abrantes",3.04,"","","Abrantes","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1401","1.º Semestre de 2020","NUTSIII"
"776","16I1402","Alcanena",2.87,"","","Alcanena","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1402","1.º Semestre de 2020","NUTSIII"
"777","16I1408","Constância",NA,"-","Dado nulo ou não aplicável","Constância","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1408","1.º Semestre de 2020","NUTSIII"
"778","16I1410","Entroncamento",3.6,"","","Entroncamento","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1410","1.º Semestre de 2020","NUTSIII"
