"","geocod","geodsg","valor","sinal_conv","sinal_conv_desc","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"36","11A0116","São João da Madeira",3.57,"","","São João da Madeira","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160116","1.º Semestre de 2018","NUTSIII"
"37","11A1318","Trofa",3.59,"","","Trofa","Norte","Área Metropolitana do Porto","ACeS Santo Tirso/Trofa","Continente","Norte","1131318","1.º Semestre de 2018","NUTSIII"
"38","11A0119","Vale de Cambra",3,"","","Vale de Cambra","Norte","Área Metropolitana do Porto","ACeS Aveiro Norte","Continente","Norte","1160119","1.º Semestre de 2018","NUTSIII"
"39","11A1315","Valongo",4.22,"","","Valongo","Norte","Área Metropolitana do Porto","ACeS Maia/Valongo","Continente","Norte","1141315","1.º Semestre de 2018","NUTSIII"
"40","11A1316","Vila do Conde",4.13,"","","Vila do Conde","Norte","Área Metropolitana do Porto","ACeS Póvoa de Varzim/Vila do Conde","Continente","Norte","1141316","1.º Semestre de 2018","NUTSIII"
"41","11A1317","Vila Nova de Gaia",5.14,"","","Vila Nova de Gaia","Norte","Área Metropolitana do Porto","ACeS Gaia e Espinho/Gaia","Continente","Norte","1141317","1.º Semestre de 2018","NUTSIII"
"42","11B1702","Boticas",NA,"-","Dado nulo ou não aplicável","Boticas","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181702","1.º Semestre de 2018","NUTSIII"
"43","11B1703","Chaves",3.07,"","","Chaves","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181703","1.º Semestre de 2018","NUTSIII"
"44","11B1706","Montalegre",NA,"-","Dado nulo ou não aplicável","Montalegre","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181706","1.º Semestre de 2018","NUTSIII"
"45","11B1709","Ribeira de Pena",NA,"-","Dado nulo ou não aplicável","Ribeira de Pena","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1151709","1.º Semestre de 2018","NUTSIII"
"46","11B1712","Valpaços",2.22,"","","Valpaços","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181712","1.º Semestre de 2018","NUTSIII"
"47","11B1713","Vila Pouca de Aguiar",3.27,"","","Vila Pouca de Aguiar","Norte","Alto Tâmega","ACeS Alto Tâmega e Barroso","Continente","Norte","1181713","1.º Semestre de 2018","NUTSIII"
"48","11C1301","Amarante",2.69,"","","Amarante","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151301","1.º Semestre de 2018","NUTSIII"
"49","11C1302","Baião",2.52,"","","Baião","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1151302","1.º Semestre de 2018","NUTSIII"
"50","11C0106","Castelo de Paiva",3.09,"","","Castelo de Paiva","Norte","Tâmega e Sousa","ACeS Vale do Sousa Sul","Continente","Norte","1150106","1.º Semestre de 2018","NUTSIII"
"51","11C0305","Celorico de Basto",2.09,"","","Celorico de Basto","Norte","Tâmega e Sousa","ACeS Baixo Tâmega","Continente","Norte","1150305","1.º Semestre de 2018","NUTSIII"
