geocod,geodsg,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
1111601,Arcos de Valdevez,52.41,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601
1111601,Arcos de Valdevez,52.41,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601
1111602,Caminha,77.41,Caminha,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111602
1111603,Melgaço,55.25,Melgaço,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111603
1111604,Monção,60.89,Monção,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111604
1111605,Paredes de Coura,54.92,Paredes de Coura,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111605
1111606,Ponte da Barca,50.95,Ponte da Barca,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111606
1111607,Ponte de Lima,58.48,Ponte de Lima,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111607
1111608,Valença,76.16,Valença,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111608
1111609,Viana do Castelo,88.35,Viana do Castelo,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111609
1111610,Vila Nova de Cerveira,77.76,Vila Nova de Cerveira,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111610
1120301,Amares,57.72,Amares,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120301
1120302,Barcelos,67.25,Barcelos,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120302
1120303,Braga,105.44,Braga,Norte,Cávado,ACeS Braga,Continente,Norte,1120303
1120306,Esposende,78.15,Esposende,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120306
1120310,Terras de Bouro,51.13,Terras de Bouro,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120310
1120313,Vila Verde,55.55,Vila Verde,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120313
1190304,Cabeceiras de Basto,51.83,Cabeceiras de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1150304
1190307,Fafe,63.73,Fafe,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130307
1190308,Guimarães,78.92,Guimarães,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130308
1191705,Mondim de Basto,49.26,Mondim de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1151705
1190309,Póvoa de Lanhoso,56.44,Póvoa de Lanhoso,Norte,Ave,ACeS Gerês/Cabreira,Continente,Norte,1130309
