geocod.x,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002,geocod.y
3003106,Porto Moniz,1,H,12,5 - 9 anos,53,Porto Moniz,Madeira,Região Autónoma da Madeira,ACeS Madeira Oeste,Região Autónoma da Madeira,Região Autónoma da Madeira,3003106,3003106
2004901,Corvo,1,H,12,5 - 9 anos,13,Corvo,Açores,Região Autónoma dos Açores,USI Corvo,Região Autónoma dos Açores,Região Autónoma dos Açores,2004901,2004901
2004801,Lajes das Flores,1,H,12,5 - 9 anos,48,Lajes das Flores,Açores,Região Autónoma dos Açores,USI Flores,Região Autónoma dos Açores,Região Autónoma dos Açores,2004801,2004801
1870701,Alandroal,1,H,12,5 - 9 anos,110,Alandroal,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830701,1870701
1861215,Sousel,1,H,12,5 - 9 anos,82,Sousel,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1831215,1861215
1861210,Marvão,1,H,12,5 - 9 anos,47,Marvão,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821210,1861210
1851416,Santarém,1,H,12,5 - 9 anos,1397,Santarém,Lisboa e Vale do Tejo,Lezíria do Tejo,ACeS Lezíria,Continente,Alentejo,1851416,1851416
1851404,Alpiarça,1,H,12,5 - 9 anos,223,Alpiarça,Lisboa e Vale do Tejo,Lezíria do Tejo,ACeS Lezíria,Continente,Alentejo,1851404,1851404
1701511,Sesimbra,1,H,12,5 - 9 anos,1590,Sesimbra,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arrábida,Continente,Área Metropolitana de Lisboa,1721511,1701511
1701507,Montijo,1,H,12,5 - 9 anos,1709,Montijo,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arco Ribeirinho,Continente,Área Metropolitana de Lisboa,1721507,1701507
16J0902,Almeida,1,H,12,5 - 9 anos,56,Almeida,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680902,16J0902
16I1413,Mação,1,H,12,5 - 9 anos,94,Mação,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,1661413,16I1413
16E1808,Mortágua,1,H,12,5 - 9 anos,158,Mortágua,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1651808,16E1808
16B1104,Cadaval,1,H,32,25 - 29 anos,340,Cadaval,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1104,16B1104
16B1014,Peniche,1,H,32,25 - 29 anos,653,Peniche,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1014,16B1014
1500812,São Brás de Alportel,1,H,32,25 - 29 anos,275,São Brás de Alportel,Algarve,Algarve,ACeS Central,Continente,Algarve,1500812,1500812
1500807,Lagos,1,H,32,25 - 29 anos,828,Lagos,Algarve,Algarve,ACeS Barlavento,Continente,Algarve,1500807,1500807
1500805,Faro,1,H,32,25 - 29 anos,1430,Faro,Algarve,Algarve,ACeS Central,Continente,Algarve,1500805,1500805
1500804,Castro Marim,1,H,32,25 - 29 anos,170,Castro Marim,Algarve,Algarve,ACeS Sotavento,Continente,Algarve,1500804,1500804
1500801,Albufeira,1,H,32,25 - 29 anos,1074,Albufeira,Algarve,Algarve,ACeS Central,Continente,Algarve,1500801,1500801
11E0412,Vinhais,1,H,32,25 - 29 anos,177,Vinhais,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180412,11E0412
11E0405,Macedo de Cavaleiros,1,H,32,25 - 29 anos,384,Macedo de Cavaleiros,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180405,11E0405
11D1812,Penedono,1,H,32,25 - 29 anos,77,Penedono,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171812,11D1812
11D1707,Murça,1,H,32,25 - 29 anos,117,Murça,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1181707,11D1707
11D0403,Carrazeda de Ansiães,1,H,32,25 - 29 anos,151,Carrazeda de Ansiães,Norte,Douro,ULS Nordeste,Continente,Norte,1170403,11D0403
11B1713,Vila Pouca de Aguiar,1,H,32,25 - 29 anos,301,Vila Pouca de Aguiar,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181713,11B1713
11B1703,Chaves,1,H,32,25 - 29 anos,1101,Chaves,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181703,11B1703
11A1317,Vila Nova de Gaia,1,H,32,25 - 29 anos,8347,Vila Nova de Gaia,Norte,Área Metropolitana do Porto,ACeS Gaia e Espinho/Gaia,Continente,Norte,1141317,11A1317
11A1310,Paredes,1,H,32,25 - 29 anos,2646,Paredes,Norte,Área Metropolitana do Porto,ACeS Vale do Sousa Sul,Continente,Norte,1151310,11A1310
1701105,Cascais,1,H,,Total,97689,Cascais,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Cascais,Continente,Área Metropolitana de Lisboa,1711105,1701105
16J0913,Trancoso,1,H,,Total,4452,Trancoso,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680913,16J0913
16J0903,Celorico da Beira,1,H,,Total,3422,Celorico da Beira,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680903,16J0903
16J0910,Pinhel,2,M,11,0 - 4 anos,103,Pinhel,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680910,16J0910
16J0904,Figueira de Castelo Rodrigo,2,M,11,0 - 4 anos,110,Figueira de Castelo Rodrigo,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680904,16J0904
16J0503,Covilhã,2,M,11,0 - 4 anos,767,Covilhã,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0503,16J0503
16J0501,Belmonte,2,M,11,0 - 4 anos,98,Belmonte,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0501,16J0501
