geocod.x,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002,geocod.y
2004801,Lajes das Flores,1,H,12,5 - 9 anos,25,Lajes das Flores,Açores,Região Autónoma dos Açores,USI Flores,Região Autónoma dos Açores,Região Autónoma dos Açores,2004801,2004801
2004602,Madalena,1,H,12,5 - 9 anos,134,Madalena,Açores,Região Autónoma dos Açores,USI Pico,Região Autónoma dos Açores,Região Autónoma dos Açores,2004602,2004602
2004302,Vila da Praia da Vitória,1,H,12,5 - 9 anos,516,Vila da Praia da Vitória,Açores,Região Autónoma dos Açores,USI Terceira,Região Autónoma dos Açores,Região Autónoma dos Açores,2004302,2004302
2004301,Angra do Heroísmo,1,H,12,5 - 9 anos,794,Angra do Heroísmo,Açores,Região Autónoma dos Açores,USI Terceira,Região Autónoma dos Açores,Região Autónoma dos Açores,2004301,2004301
2004206,Vila Franca do Campo,1,H,12,5 - 9 anos,300,Vila Franca do Campo,Açores,Região Autónoma dos Açores,USI São Miguel,Região Autónoma dos Açores,Região Autónoma dos Açores,2004206,2004206
16F1015,Pombal,1,H,11,0 - 4 anos,851,Pombal,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631015,16F1015
16E1808,Mortágua,1,H,11,0 - 4 anos,149,Mortágua,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1651808,16E1808
16E0611,Oliveira do Hospital,1,H,11,0 - 4 anos,352,Oliveira do Hospital,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640611,16E0611
16E0609,Miranda do Corvo,1,H,11,0 - 4 anos,196,Miranda do Corvo,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640609,16E0609
16D0118,Vagos,1,H,11,0 - 4 anos,471,Vagos,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610118,16D0118
11E,Terras de Trás-os-Montes,2,M,21,10 - 14 anos,1904,Terras de Trás-os-Montes,,,,,,,
11D,Douro,2,M,21,10 - 14 anos,3786,Douro,,,,,,,
20,Região Autónoma dos Açores,2,M,31,20 - 24 anos,7887,Região Autónoma dos Açores,,,,,,,
30,Região Autónoma da Madeira,2,M,12,5 - 9 anos,5112,Região Autónoma da Madeira,,,,,,,
1870708,Mourão,1,H,12,5 - 9 anos,59,Mourão,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830708,1870708
1870704,Estremoz,1,H,12,5 - 9 anos,239,Estremoz,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830704,1870704
1870701,Alandroal,1,H,12,5 - 9 anos,79,Alandroal,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830701,1870701
16F1004,Batalha,1,H,52,45 - 49 anos,595,Batalha,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631004,16F1004
16E0617,Vila Nova de Poiares,1,H,52,45 - 49 anos,266,Vila Nova de Poiares,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640617,16E0617
16E0611,Oliveira do Hospital,1,H,52,45 - 49 anos,615,Oliveira do Hospital,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640611,16E0611
16E0604,Condeixa-a-Nova,1,H,52,45 - 49 anos,714,Condeixa-a-Nova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620604,16E0604
1500807,Lagos,1,H,42,35 - 39 anos,902,Lagos,Algarve,Algarve,ACeS Barlavento,Continente,Algarve,1500807,1500807
11B1703,Chaves,2,M,62,55 - 59 anos,1596,Chaves,Norte,Alto Tâmega,ACeS Alto Tâmega e Barroso,Continente,Norte,1181703,11B1703
1120303,Braga,2,M,52,45 - 49 anos,8076,Braga,Norte,Cávado,ACeS Braga,Continente,Norte,1120303,1120303
1111610,Vila Nova de Cerveira,2,M,52,45 - 49 anos,372,Vila Nova de Cerveira,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111610,1111610
1111609,Viana do Castelo,2,M,52,45 - 49 anos,3391,Viana do Castelo,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111609,1111609
1111608,Valença,2,M,52,45 - 49 anos,516,Valença,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111608,1111608
3003201,Porto Santo,2,M,51,40 - 44 anos,238,Porto Santo,Madeira,Região Autónoma da Madeira,ACeS Porto Santo,Região Autónoma da Madeira,Região Autónoma da Madeira,3003201,3003201
3003110,São Vicente,2,M,51,40 - 44 anos,153,São Vicente,Madeira,Região Autónoma da Madeira,ACeS Madeira Oeste,Região Autónoma da Madeira,Região Autónoma da Madeira,3003110,3003110
3003108,Santa Cruz,2,M,51,40 - 44 anos,2416,Santa Cruz,Madeira,Região Autónoma da Madeira,ACeS Madeira Este,Região Autónoma da Madeira,Região Autónoma da Madeira,3003108,3003108
3003107,Ribeira Brava,2,M,51,40 - 44 anos,517,Ribeira Brava,Madeira,Região Autónoma da Madeira,ACeS Madeira Oeste,Região Autónoma da Madeira,Região Autónoma da Madeira,3003107,3003107
2004901,Corvo,2,M,51,40 - 44 anos,21,Corvo,Açores,Região Autónoma dos Açores,USI Corvo,Região Autónoma dos Açores,Região Autónoma dos Açores,2004901,2004901
2004802,Santa Cruz das Flores,2,M,51,40 - 44 anos,90,Santa Cruz das Flores,Açores,Região Autónoma dos Açores,USI Flores,Região Autónoma dos Açores,Região Autónoma dos Açores,2004802,2004802
2004801,Lajes das Flores,2,M,51,40 - 44 anos,53,Lajes das Flores,Açores,Região Autónoma dos Açores,USI Flores,Região Autónoma dos Açores,Região Autónoma dos Açores,2004801,2004801
2004601,Lajes do Pico,2,M,51,40 - 44 anos,198,Lajes do Pico,Açores,Região Autónoma dos Açores,USI Pico,Região Autónoma dos Açores,Região Autónoma dos Açores,2004601,2004601
2004204,Povoação,2,M,51,40 - 44 anos,244,Povoação,Açores,Região Autónoma dos Açores,USI São Miguel,Região Autónoma dos Açores,Região Autónoma dos Açores,2004204,2004204
16E0612,Pampilhosa da Serra,2,M,82,75 - 79 anos,167,Pampilhosa da Serra,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640612,16E0612
16E0611,Oliveira do Hospital,2,M,82,75 - 79 anos,554,Oliveira do Hospital,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640611,16E0611
