geocod,geodsg,dim_3_t,85 e mais anos,0 - 4 anos,20 - 24 anos,25 - 29 anos,15 - 19 anos,40 - 44 anos,5 - 9 anos,70 - 74 anos,45 - 49 anos,56 - 59 anos,10 - 14 anos,35 - 39 anos,60 - 65 anos,50 - 55 anos,65 - 69 anos,Total,30 - 34 anos,81 - 85 anos,75 - 80 anos,<1 ano,cod_geo,nivel_geo,cod_dicofre11,dicofre11_2,cod_nuts3,nuts3,cod_nuts2,nuts2,cod_nuts1,nuts1,cod_pais,pais,cod_tot,tot,cod_geo_nuts2002,cod_aces,aces1,aces2,cod_ars,ars
0304,Cabeceiras de Basto,HM,650,422,930,851,896,1079,641,714,1162,1180,756,936,1184,1105,967,15558,794,568,625,98,1190304,4,'0304,304,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1150304,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0307,Fafe,HM,1436,1410,2778,2539,2514,3558,1816,2730,3807,3615,2142,2914,3615,3692,3456,48497,2596,1528,2036,315,1190307,4,'0307,307,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130307,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0307,Fafe,M,974,650,1375,1310,1237,1816,856,1485,1981,1904,1014,1521,1915,1946,1821,25410,1308,968,1173,156,1190307,4,'0307,307,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130307,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0307,Fafe,H,462,760,1403,1229,1277,1742,960,1245,1826,1711,1128,1393,1700,1746,1635,23087,1288,560,863,159,1190307,4,'0307,307,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130307,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0308,Guimarães,H,1211,2605,4826,4585,4141,5610,3225,3658,6116,5897,3667,5015,5339,6002,4801,75821,4479,1662,2348,634,1190308,4,'0308,308,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130308,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0308,Guimarães,M,2381,2500,4549,4342,3850,6024,2994,4219,6612,6511,3419,5170,5837,6541,5458,81009,4472,2439,3150,541,1190308,4,'0308,308,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130308,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0308,Guimarães,HM,3592,5105,9375,8927,7991,11634,6219,7877,12728,12408,7086,10185,11176,12543,10259,156830,8951,4101,5498,1175,1190308,4,'0308,308,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130308,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
1705,Mondim de Basto,H,94,74,183,139,177,186,128,173,215,248,144,137,272,252,236,3099,140,132,156,13,1191705,4,'1705,1705,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1151705,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
1705,Mondim de Basto,M,180,75,161,144,182,206,84,197,228,302,123,175,242,248,254,3311,128,170,201,11,1191705,4,'1705,1705,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1151705,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
1705,Mondim de Basto,HM,274,149,344,283,359,392,212,370,443,550,267,312,514,500,490,6410,268,302,357,24,1191705,4,'1705,1705,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1151705,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0309,Póvoa de Lanhoso,H,246,313,661,544,632,686,451,550,835,799,553,626,820,748,709,10450,532,273,390,82,1190309,4,'0309,309,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130309,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0309,Póvoa de Lanhoso,M,490,296,597,546,621,803,412,576,846,925,487,687,862,883,743,11325,587,412,487,65,1190309,4,'0309,309,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130309,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0309,Póvoa de Lanhoso,HM,736,609,1258,1090,1253,1489,863,1126,1681,1724,1040,1313,1682,1631,1452,21775,1119,685,877,147,1190309,4,'0309,309,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130309,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0311,Vieira do Minho,H,200,138,349,274,269,355,181,385,411,462,245,275,505,401,454,5713,242,220,312,35,1190311,4,'0311,311,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130311,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0311,Vieira do Minho,M,385,129,295,264,272,365,183,425,422,481,211,344,553,464,468,6242,271,332,349,29,1190311,4,'0311,311,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130311,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0311,Vieira do Minho,HM,585,267,644,538,541,720,364,810,833,943,456,619,1058,865,922,11955,513,552,661,64,1190311,4,'0311,311,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130311,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0312,Vila Nova de Famalicão,H,1050,2217,4035,3989,3651,4905,2773,3146,5249,5023,3254,4202,4334,5061,3826,64449,3814,1396,2016,508,1190312,4,'0312,312,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130312,105,AVE,ACeS Famalicão,11,Norte
0312,Vila Nova de Famalicão,M,2072,2157,3909,3714,3446,5382,2653,3643,5698,5316,3058,4475,4702,5558,4498,69085,3677,2058,2580,489,1190312,4,'0312,312,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130312,105,AVE,ACeS Famalicão,11,Norte
0312,Vila Nova de Famalicão,HM,3122,4374,7944,7703,7097,10287,5426,6789,10947,10339,6312,8677,9036,10619,8324,133534,7491,3454,4596,997,1190312,4,'0312,312,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130312,105,AVE,ACeS Famalicão,11,Norte
0314,Vizela,H,152,431,805,757,645,837,506,486,963,922,548,783,762,993,720,11645,737,212,302,84,1190314,4,'0314,314,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130314,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0314,Vizela,M,275,427,749,718,629,938,425,586,1012,979,547,813,883,974,717,12251,748,322,411,98,1190314,4,'0314,314,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130314,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0314,Vizela,HM,427,858,1554,1475,1274,1775,931,1072,1975,1901,1095,1596,1645,1967,1437,23896,1485,534,713,182,1190314,4,'0314,314,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1130314,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0104,Arouca,H,255,295,593,564,519,739,432,556,823,809,547,636,746,742,678,10170,498,282,381,75,11A0104,4,'0104,104,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1160104,120,ENTRE DOURO E VOUGA I,ACeS Feira/Arouca,11,Norte
0104,Arouca,M,502,318,596,496,578,732,425,653,781,821,520,649,770,808,751,10976,541,436,537,62,11A0104,4,'0104,104,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1160104,120,ENTRE DOURO E VOUGA I,ACeS Feira/Arouca,11,Norte
0104,Arouca,HM,757,613,1189,1060,1097,1471,857,1209,1604,1630,1067,1285,1516,1550,1429,21146,1039,718,918,137,11A0104,4,'0104,104,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1160104,120,ENTRE DOURO E VOUGA I,ACeS Feira/Arouca,11,Norte
0107,Espinho,H,404,399,830,733,773,951,530,981,1044,1098,626,847,1103,1077,1050,14461,669,563,702,81,11A0107,4,'0107,107,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1140107,118,GRANDE PORTO VII+VIII,ACeS Gaia e Espinho/Gaia,11,Norte
0107,Espinho,HM,1218,796,1603,1454,1523,1932,1085,2170,2203,2458,1237,1727,2429,2290,2373,31043,1350,1347,1666,182,11A0107,4,'0107,107,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1140107,118,GRANDE PORTO VII+VIII,ACeS Gaia e Espinho/Gaia,11,Norte
0107,Espinho,M,814,397,773,721,750,981,555,1189,1159,1360,611,880,1326,1213,1323,16582,681,784,964,101,11A0107,4,'0107,107,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1140107,118,GRANDE PORTO VII+VIII,ACeS Gaia e Espinho/Gaia,11,Norte
1304,Gondomar,HM,4006,5068,9223,8801,8536,11707,6529,9322,13138,12803,7712,10392,11976,13033,10482,164257,9089,4596,6689,1155,11A1304,4,'1304,1304,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1141304,113,GRANDE PORTO II,ACeS Gondomar,11,Norte
1304,Gondomar,H,1366,2545,4724,4340,4389,5559,3348,4214,6246,6042,3973,5010,5513,6012,4844,77991,4413,1896,3007,550,11A1304,4,'1304,1304,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1141304,113,GRANDE PORTO II,ACeS Gondomar,11,Norte
1304,Gondomar,M,2640,2523,4499,4461,4147,6148,3181,5108,6892,6761,3739,5382,6463,7021,5638,86266,4676,2700,3682,605,11A1304,4,'1304,1304,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1141304,113,GRANDE PORTO II,ACeS Gondomar,11,Norte
1306,Maia,HM,3081,4470,7377,6838,7415,10836,6095,7006,11846,9905,6973,9207,8652,10771,7653,134977,7513,3400,4996,943,11A1306,4,'1306,1306,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1141306,114,GRANDE PORTO III,ACeS Maia/Valongo,11,Norte
1306,Maia,H,1029,2236,3739,3426,3789,5114,3153,3168,5538,4606,3576,4451,3976,5020,3449,64127,3667,1452,2273,465,11A1306,4,'1306,1306,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1141306,114,GRANDE PORTO III,ACeS Maia/Valongo,11,Norte
1306,Maia,M,2052,2234,3638,3412,3626,5722,2942,3838,6308,5299,3397,4756,4676,5751,4204,70850,3846,1948,2723,478,11A1306,4,'1306,1306,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1141306,114,GRANDE PORTO III,ACeS Maia/Valongo,11,Norte
1308,Matosinhos,HM,4727,5490,8791,9009,8163,12606,6945,10366,13579,13050,7973,11152,12720,12761,11744,172557,9590,5110,7555,1226,11A1308,4,'1308,1308,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1141308,122,MATOSINHOS,ULS Matosinhos,11,Norte
1308,Matosinhos,H,1598,2808,4445,4578,4174,5946,3556,4715,6337,5925,4042,5431,5774,5927,5271,81225,4661,2102,3297,638,11A1308,4,'1308,1308,'11A,Área Metropolitana do Porto,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1141308,122,MATOSINHOS,ULS Matosinhos,11,Norte
