geocod.x,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002,geocod.y
1120306,Esposende,2,M,31,20 - 24 anos,1081,Esposende,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120306,1120306
1120303,Braga,2,M,31,20 - 24 anos,5447,Braga,Norte,Cávado,ACeS Braga,Continente,Norte,1120303,1120303
1111607,Ponte de Lima,2,M,31,20 - 24 anos,1315,Ponte de Lima,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111607,1111607
3003104,Machico,1,H,31,20 - 24 anos,720,Machico,Madeira,Região Autónoma da Madeira,ACeS Madeira Este,Região Autónoma da Madeira,Região Autónoma da Madeira,3003104,3003104
2004302,Vila da Praia da Vitória,1,H,31,20 - 24 anos,894,Vila da Praia da Vitória,Açores,Região Autónoma dos Açores,USI Terceira,Região Autónoma dos Açores,Região Autónoma dos Açores,2004302,2004302
1500816,Vila Real de Santo António,1,H,31,20 - 24 anos,483,Vila Real de Santo António,Algarve,Algarve,ACeS Sotavento,Continente,Algarve,1500816,1500816
1500811,Portimão,1,H,31,20 - 24 anos,1465,Portimão,Algarve,Algarve,ACeS Barlavento,Continente,Algarve,1500811,1500811
1500807,Lagos,1,H,31,20 - 24 anos,860,Lagos,Algarve,Algarve,ACeS Barlavento,Continente,Algarve,1500807,1500807
1500804,Castro Marim,1,H,31,20 - 24 anos,195,Castro Marim,Algarve,Algarve,ACeS Sotavento,Continente,Algarve,1500804,1500804
11A1316,Vila do Conde,2,M,92,85 e mais anos,925,Vila do Conde,Norte,Área Metropolitana do Porto,ACeS Póvoa de Varzim/Vila do Conde,Continente,Norte,1141316,11A1316
11A0119,Vale de Cambra,2,M,92,85 e mais anos,406,Vale de Cambra,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160119,11A0119
11A0113,Oliveira de Azeméis,2,M,92,85 e mais anos,812,Oliveira de Azeméis,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160113,11A0113
1190314,Vizela,2,M,92,85 e mais anos,163,Vizela,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130314,1190314
1120302,Barcelos,2,M,92,85 e mais anos,1321,Barcelos,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120302,1120302
1120301,Amares,2,M,92,85 e mais anos,271,Amares,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120301,1120301
2004302,Vila da Praia da Vitória,1,H,92,85 e mais anos,76,Vila da Praia da Vitória,Açores,Região Autónoma dos Açores,USI Terceira,Região Autónoma dos Açores,Região Autónoma dos Açores,2004302,2004302
2004203,Ponta Delgada,1,H,92,85 e mais anos,176,Ponta Delgada,Açores,Região Autónoma dos Açores,USI São Miguel,Região Autónoma dos Açores,Região Autónoma dos Açores,2004203,2004203
11E0410,Vila Flor,1,H,71,60 - 64 anos,206,Vila Flor,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1170410,11E0410
11E0402,Bragança,1,H,71,60 - 64 anos,1172,Bragança,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180402,11E0402
11D0914,Vila Nova de Foz Côa,1,H,71,60 - 64 anos,208,Vila Nova de Foz Côa,Centro,Douro,ULS Guarda,Continente,Norte,1170914,11D0914
11D1812,Penedono,1,H,71,60 - 64 anos,90,Penedono,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171812,11D1812
11D1801,Armamar,1,H,71,60 - 64 anos,166,Armamar,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171801,11D1801
11D,Douro,1,H,71,60 - 64 anos,6115,Douro,,,,,,,
11C1309,Paços de Ferreira,1,H,71,60 - 64 anos,1418,Paços de Ferreira,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151309,11C1309
11C1305,Lousada,1,H,71,60 - 64 anos,1101,Lousada,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151305,11C1305
