geocod.x,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002,geocod.y
16,Centro,2,M,52,45 - 49 anos,84744,Centro,,,,,,,
16,Centro,2,M,51,40 - 44 anos,87650,Centro,,,,,,,
18,Alentejo,2,M,42,35 - 39 anos,24326,Alentejo,,,,,,,
16,Centro,2,M,42,35 - 39 anos,78663,Centro,,,,,,,
11A1308,Matosinhos,2,M,12,5 - 9 anos,3995,Matosinhos,Norte,Área Metropolitana do Porto,ULS Matosinhos,Continente,Norte,1141308,11A1308
11A1304,Gondomar,2,M,12,5 - 9 anos,3641,Gondomar,Norte,Área Metropolitana do Porto,ACeS Gondomar,Continente,Norte,1141304,11A1304
11A0113,Oliveira de Azeméis,2,M,12,5 - 9 anos,1281,Oliveira de Azeméis,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160113,11A0113
1190307,Fafe,2,M,12,5 - 9 anos,1018,Fafe,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1130307,1190307
1120301,Amares,2,M,12,5 - 9 anos,392,Amares,Norte,Cávado,ACeS Gerês/Cabreira,Continente,Norte,1120301,1120301
1111606,Ponte da Barca,2,M,12,5 - 9 anos,204,Ponte da Barca,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111606,1111606
1111601,Arcos de Valdevez,2,M,12,5 - 9 anos,354,Arcos de Valdevez,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111601,1111601
2004101,Vila do Porto,2,M,11,0 - 4 anos,118,Vila do Porto,Açores,Região Autónoma dos Açores,USI Santa Maria,Região Autónoma dos Açores,Região Autónoma dos Açores,2004101,2004101
1811505,Grândola,1,H,71,60 - 64 anos,458,Grândola,Alentejo,Alentejo Litoral,ULS Litoral Alentejano,Continente,Alentejo,1811505,1811505
16J0504,Fundão,1,H,71,60 - 64 anos,988,Fundão,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0504,16J0504
16I1420,Vila Nova da Barquinha,1,H,71,60 - 64 anos,197,Vila Nova da Barquinha,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1420,16I1420
16I1402,Alcanena,1,H,71,60 - 64 anos,439,Alcanena,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1402,16I1402
16H0506,Oleiros,1,H,71,60 - 64 anos,181,Oleiros,Centro,Beira Baixa,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660506,16H0506
16H0505,Idanha-a-Nova,1,H,71,60 - 64 anos,240,Idanha-a-Nova,Centro,Beira Baixa,ACeS Beira Interior Sul (ULS Castelo Branco),Continente,Centro,1690505,16H0505
16H0502,Castelo Branco,1,H,71,60 - 64 anos,1734,Castelo Branco,Centro,Beira Baixa,ACeS Beira Interior Sul (ULS Castelo Branco),Continente,Centro,1690502,16H0502
16G1816,São Pedro do Sul,1,H,71,60 - 64 anos,514,São Pedro do Sul,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651816,16G1816
1840214,Vidigueira,1,H,81,70 - 74 anos,106,Vidigueira,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840214,1840214
1840213,Serpa,1,H,81,70 - 74 anos,342,Serpa,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840213,1840213
1840207,Cuba,1,H,81,70 - 74 anos,109,Cuba,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840207,1840207
1810211,Odemira,1,H,81,70 - 74 anos,547,Odemira,Alentejo,Alentejo Litoral,ULS Litoral Alentejano,Continente,Alentejo,1810211,1810211
1701511,Sesimbra,1,H,81,70 - 74 anos,1067,Sesimbra,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arrábida,Continente,Área Metropolitana de Lisboa,1721511,1701511
1701110,Oeiras,1,H,81,70 - 74 anos,4544,Oeiras,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,Lisboa Ocidental/Oeiras,Continente,Área Metropolitana de Lisboa,1711110,1701110
16J0909,Mêda,1,H,81,70 - 74 anos,149,Mêda,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680909,16J0909
16J0904,Figueira de Castelo Rodrigo,1,H,81,70 - 74 anos,138,Figueira de Castelo Rodrigo,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680904,16J0904
16I1413,Mação,1,H,81,70 - 74 anos,164,Mação,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,1661413,16I1413
16I1408,Constância,1,H,81,70 - 74 anos,96,Constância,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1408,16I1408
2004802,Santa Cruz das Flores,2,M,21,10 - 14 anos,55,Santa Cruz das Flores,Açores,Região Autónoma dos Açores,USI Flores,Região Autónoma dos Açores,Região Autónoma dos Açores,2004802,2004802
2004603,São Roque do Pico,2,M,21,10 - 14 anos,73,São Roque do Pico,Açores,Região Autónoma dos Açores,USI Pico,Região Autónoma dos Açores,Região Autónoma dos Açores,2004603,2004603
1840213,Serpa,1,H,21,10 - 14 anos,327,Serpa,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840213,1840213
1840210,Moura,1,H,21,10 - 14 anos,363,Moura,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840210,1840210
1840209,Mértola,1,H,21,10 - 14 anos,99,Mértola,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840209,1840209
16G,Viseu Dão Lafões,1,H,12,5 - 9 anos,5376,Viseu Dão Lafões,,,,,,,
11B,Alto Tâmega,1,H,12,5 - 9 anos,1432,Alto Tâmega,,,,,,,
181,Alentejo Litoral,1,H,11,0 - 4 anos,1740,Alentejo Litoral,,,,,,,
16D,Região de Aveiro,1,H,11,0 - 4 anos,7384,Região de Aveiro,,,,,,,
11C,Tâmega e Sousa,1,H,11,0 - 4 anos,8153,Tâmega e Sousa,,,,,,,
119,Ave,1,H,11,0 - 4 anos,8041,Ave,,,,,,,
15,Algarve,2,M,,Total,230130,Algarve,,,,,,,
20,Região Autónoma dos Açores,1,H,,Total,119679,Região Autónoma dos Açores,,,,,,,
18,Alentejo,1,H,,Total,345681,Alentejo,,,,,,,
30,Região Autónoma da Madeira,2,M,92,85 e mais anos,3046,Região Autónoma da Madeira,,,,,,,
11,Norte,2,M,92,85 e mais anos,58954,Norte,,,,,,,
11C1303,Felgueiras,1,H,31,20 - 24 anos,1956,Felgueiras,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,Continente,Norte,1151303,11C1303
11C1301,Amarante,1,H,31,20 - 24 anos,1659,Amarante,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151301,11C1301
11A1318,Trofa,1,H,31,20 - 24 anos,1129,Trofa,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,Continente,Norte,1131318,11A1318
11A1314,Santo Tirso,1,H,31,20 - 24 anos,1854,Santo Tirso,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,Continente,Norte,1131314,11A1314
11A1310,Paredes,1,H,31,20 - 24 anos,2687,Paredes,Norte,Área Metropolitana do Porto,ACeS Vale do Sousa Sul,Continente,Norte,1151310,11A1310
1120306,Esposende,1,H,31,20 - 24 anos,1069,Esposende,Norte,Cávado,ACeS Barcelos/Esposende,Continente,Norte,1120306,1120306
1111606,Ponte da Barca,1,H,31,20 - 24 anos,332,Ponte da Barca,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111606,1111606
3003201,Porto Santo,1,H,22,15 - 19 anos,143,Porto Santo,Madeira,Região Autónoma da Madeira,ACeS Porto Santo,Região Autónoma da Madeira,Região Autónoma da Madeira,3003201,3003201
1811513,Sines,1,H,21,10 - 14 anos,298,Sines,Alentejo,Alentejo Litoral,ULS Litoral Alentejano,Continente,Alentejo,1811513,1811513
1810211,Odemira,1,H,21,10 - 14 anos,545,Odemira,Alentejo,Alentejo Litoral,ULS Litoral Alentejano,Continente,Alentejo,1810211,1810211
1701503,Almada,1,H,21,10 - 14 anos,4510,Almada,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Almada/Seixal,Continente,Área Metropolitana de Lisboa,1721503,1701503
16J0504,Fundão,1,H,21,10 - 14 anos,623,Fundão,Centro,Beiras e Serra da Estrela,ACeS Cova Da Beira,Continente,Centro,16A0504,16J0504
11C1813,Resende,2,M,82,75 - 79 anos,300,Resende,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,Continente,Norte,1151813,11C1813
16,Centro,2,M,41,30 - 34 anos,64477,Centro,,,,,,,
20,Região Autónoma dos Açores,2,M,32,25 - 29 anos,8783,Região Autónoma dos Açores,,,,,,,
20,Região Autónoma dos Açores,2,M,31,20 - 24 anos,8267,Região Autónoma dos Açores,,,,,,,
15,Algarve,2,M,12,5 - 9 anos,11439,Algarve,,,,,,,
11,Norte,2,M,12,5 - 9 anos,78478,Norte,,,,,,,
17,Área Metropolitana de Lisboa,1,H,92,85 e mais anos,22048,Área Metropolitana de Lisboa,,,,,,,
16I1413,Mação,2,M,,Total,3464,Mação,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,1661413,16I1413
16I1408,Constância,2,M,,Total,2147,Constância,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1408,16I1408
16I1401,Abrantes,2,M,,Total,18970,Abrantes,Lisboa e Vale do Tejo,Médio Tejo,ACeS Médio Tejo,Continente,Centro,16C1401,16I1401
16H0508,Proença-a-Nova,2,M,,Total,4019,Proença-a-Nova,Centro,Beira Baixa,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660508,16H0508
11D1710,Sabrosa,1,H,82,75 - 79 anos,135,Sabrosa,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171710,11D1710
11D1707,Murça,1,H,82,75 - 79 anos,131,Murça,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1181707,11D1707
11D1704,Mesão Frio,1,H,82,75 - 79 anos,76,Mesão Frio,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171704,11D1704
16G1824,Vouzela,2,M,22,15 - 19 anos,255,Vouzela,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651824,16G1824
16G1823,Viseu,2,M,22,15 - 19 anos,2832,Viseu,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651823,16G1823
16G1810,Oliveira de Frades,2,M,22,15 - 19 anos,291,Oliveira de Frades,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651810,16G1810
16G1802,Carregal do Sal,2,M,22,15 - 19 anos,296,Carregal do Sal,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651802,16G1802
16F1016,Porto de Mós,2,M,22,15 - 19 anos,648,Porto de Mós,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631016,16F1016
16F1015,Pombal,2,M,22,15 - 19 anos,1412,Pombal,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631015,16F1015
16E0617,Vila Nova de Poiares,2,M,22,15 - 19 anos,225,Vila Nova de Poiares,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640617,16E0617
16E0615,Soure,2,M,22,15 - 19 anos,391,Soure,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620615,16E0615
16E0613,Penacova,2,M,22,15 - 19 anos,371,Penacova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620613,16E0613
16E0612,Pampilhosa da Serra,2,M,22,15 - 19 anos,61,Pampilhosa da Serra,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640612,16E0612
16F1015,Pombal,2,M,12,5 - 9 anos,1033,Pombal,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631015,16F1015
16E0614,Penela,2,M,12,5 - 9 anos,113,Penela,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640614,16E0614
16E0111,Mealhada,2,M,12,5 - 9 anos,411,Mealhada,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1610111,16E0111
16D0115,Ovar,2,M,12,5 - 9 anos,1162,Ovar,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610115,16D0115
16D0102,Albergaria-a-Velha,2,M,12,5 - 9 anos,538,Albergaria-a-Velha,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610102,16D0102
16B1005,Bombarral,2,M,12,5 - 9 anos,247,Bombarral,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1005,16B1005
11A1314,Santo Tirso,1,H,72,65 - 69 anos,2097,Santo Tirso,Norte,Área Metropolitana do Porto,ACeS Santo Tirso/Trofa,Continente,Norte,1131314,11A1314
11A0109,Santa Maria da Feira,1,H,72,65 - 69 anos,3537,Santa Maria da Feira,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,Continente,Norte,1160109,11A0109
11A0104,Arouca,1,H,72,65 - 69 anos,535,Arouca,Norte,Área Metropolitana do Porto,ACeS Feira/Arouca,Continente,Norte,1160104,11A0104
1191705,Mondim de Basto,1,H,72,65 - 69 anos,149,Mondim de Basto,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,Continente,Norte,1151705,1191705
18,Alentejo,1,H,91,80 - 84 anos,13233,Alentejo,,,,,,,
16,Centro,1,H,82,75 - 79 anos,45177,Centro,,,,,,,
17,Área Metropolitana de Lisboa,1,H,81,70 - 74 anos,66395,Área Metropolitana de Lisboa,,,,,,,
20,Região Autónoma dos Açores,1,H,72,65 - 69 anos,4995,Região Autónoma dos Açores,,,,,,,
17,Área Metropolitana de Lisboa,1,H,72,65 - 69 anos,77976,Área Metropolitana de Lisboa,,,,,,,
16,Centro,1,H,72,65 - 69 anos,62930,Centro,,,,,,,
16I0510,Vila de Rei,2,M,92,85 e mais anos,239,Vila de Rei,Centro,Médio Tejo,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660510,16I0510
16H0511,Vila Velha de Ródão,2,M,92,85 e mais anos,132,Vila Velha de Ródão,Centro,Beira Baixa,ACeS Beira Interior Sul (ULS Castelo Branco),Continente,Centro,1690511,16H0511
16G1822,Vila Nova de Paiva,2,M,92,85 e mais anos,149,Vila Nova de Paiva,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651822,16G1822
1500816,Vila Real de Santo António,2,M,62,55 - 59 anos,723,Vila Real de Santo António,Algarve,Algarve,ACeS Sotavento,Continente,Algarve,1500816,1500816
1500811,Portimão,2,M,62,55 - 59 anos,1868,Portimão,Algarve,Algarve,ACeS Barlavento,Continente,Algarve,1500811,1500811
1500806,Lagoa,2,M,62,55 - 59 anos,736,Lagoa,Algarve,Algarve,ACeS Barlavento,Continente,Algarve,1500806,1500806
11E0402,Bragança,2,M,62,55 - 59 anos,1310,Bragança,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180402,11E0402
11D1807,Moimenta da Beira,2,M,62,55 - 59 anos,380,Moimenta da Beira,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171807,11D1807
16D0105,Aveiro,2,M,72,65 - 69 anos,2365,Aveiro,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610105,16D0105
16B1101,Alenquer,2,M,72,65 - 69 anos,1199,Alenquer,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,Continente,Centro,16B1101,16B1101
