geocod.x,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002,geocod.y
11D1801,Armamar,2,M,51,40 - 44 anos,161,Armamar,Norte,Douro,ACeS Douro Sul,Continente,Norte,1171801,11D1801
11D0914,Vila Nova de Foz Côa,2,M,52,45 - 49 anos,203,Vila Nova de Foz Côa,Centro,Douro,ULS Guarda,Continente,Norte,1170914,11D0914
11D1707,Murça,2,M,52,45 - 49 anos,170,Murça,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1181707,11D1707
11D1708,Peso da Régua,2,M,52,45 - 49 anos,626,Peso da Régua,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171708,11D1708
11D1714,Vila Real,2,M,52,45 - 49 anos,2180,Vila Real,Norte,Douro,ACeS Marão e Douro Norte,Continente,Norte,1171714,11D1714
16B1112,Sobral de Monte Agraço,1,H,42,35 - 39 anos,362,Sobral de Monte Agraço,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1112,16B1112
16D0114,Oliveira do Bairro,1,H,42,35 - 39 anos,732,Oliveira do Bairro,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610114,16D0114
16F1015,Pombal,1,H,51,40 - 44 anos,1702,Pombal,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631015,16F1015
16F1016,Porto de Mós,1,H,51,40 - 44 anos,797,Porto de Mós,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631016,16F1016
16G1803,Castro Daire,1,H,52,45 - 49 anos,475,Castro Daire,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651803,16G1803
16G1806,Mangualde,1,H,52,45 - 49 anos,600,Mangualde,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651806,16G1806
1840207,Cuba,1,H,61,50 - 54 anos,145,Cuba,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840207,1840207
1840208,Ferreira do Alentejo,1,H,61,50 - 54 anos,257,Ferreira do Alentejo,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840208,1840208
1851406,Cartaxo,1,H,61,50 - 54 anos,807,Cartaxo,Lisboa e Vale do Tejo,Lezíria do Tejo,ACeS Lezíria,Continente,Alentejo,1851406,1851406
16E0613,Penacova,1,H,42,35 - 39 anos,326,Penacova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620613,16E0613
16E0613,Penacova,1,H,71,60 - 64 anos,504,Penacova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620613,16E0613
16E0616,Tábua,1,H,71,60 - 64 anos,386,Tábua,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640616,16E0616
1840209,Mértola,1,H,71,60 - 64 anos,214,Mértola,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840209,1840209
1851409,Coruche,1,H,71,60 - 64 anos,675,Coruche,Lisboa e Vale do Tejo,Lezíria do Tejo,ACeS Lezíria,Continente,Alentejo,1851409,1851409
1861203,Avis,1,H,71,60 - 64 anos,149,Avis,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821203,1861203
16J0907,Guarda,1,H,81,70 - 74 anos,897,Guarda,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680907,16J0907
