geocod.x,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002,geocod.y
16B1012,Óbidos,2,M,92,85 e mais anos,198,Óbidos,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1012,16B1012
16B1014,Peniche,2,M,92,85 e mais anos,413,Peniche,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1014,16B1014
16B1108,Lourinhã,2,M,92,85 e mais anos,420,Lourinhã,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1108,16B1108
1701110,Oeiras,2,M,21,10 - 14 anos,4459,Oeiras,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,Lisboa Ocidental/Oeiras,Continente,Área Metropolitana de Lisboa,1711110,1701110
1811501,Alcácer do Sal,2,M,21,10 - 14 anos,277,Alcácer do Sal,Alentejo,Alentejo Litoral,ULS Litoral Alentejano,Continente,Alentejo,1811501,1811501
16G,Viseu Dão Lafões,1,H,12,5 - 9 anos,5495,Viseu Dão Lafões,,,,,,,
16H,Beira Baixa,1,H,12,5 - 9 anos,1482,Beira Baixa,,,,,,,
11B,Alto Tâmega,1,H,21,10 - 14 anos,1832,Alto Tâmega,,,,,,,
16G,Viseu Dão Lafões,1,H,21,10 - 14 anos,6651,Viseu Dão Lafões,,,,,,,
16H,Beira Baixa,1,H,21,10 - 14 anos,1763,Beira Baixa,,,,,,,
16I,Médio Tejo,1,H,21,10 - 14 anos,5924,Médio Tejo,,,,,,,
185,Lezíria do Tejo,1,H,21,10 - 14 anos,6423,Lezíria do Tejo,,,,,,,
119,Ave,1,H,22,15 - 19 anos,13362,Ave,,,,,,,
11E,Terras de Trás-os-Montes,1,H,22,15 - 19 anos,2670,Terras de Trás-os-Montes,,,,,,,
11D,Douro,1,H,32,25 - 29 anos,5411,Douro,,,,,,,
16D,Região de Aveiro,1,H,32,25 - 29 anos,9744,Região de Aveiro,,,,,,,
16J,Beiras e Serra da Estrela,1,H,41,30 - 34 anos,5787,Beiras e Serra da Estrela,,,,,,,
181,Alentejo Litoral,1,H,41,30 - 34 anos,3024,Alentejo Litoral,,,,,,,
184,Baixo Alentejo,1,H,41,30 - 34 anos,3442,Baixo Alentejo,,,,,,,
187,Alentejo Central,1,H,41,30 - 34 anos,4536,Alentejo Central,,,,,,,
11B,Alto Tâmega,1,H,42,35 - 39 anos,2520,Alto Tâmega,,,,,,,
16F,Região de Leiria,1,H,42,35 - 39 anos,10020,Região de Leiria,,,,,,,
186,Alto Alentejo,1,H,51,40 - 44 anos,3718,Alto Alentejo,,,,,,,
187,Alentejo Central,1,H,51,40 - 44 anos,5484,Alentejo Central,,,,,,,
185,Lezíria do Tejo,1,H,52,45 - 49 anos,8377,Lezíria do Tejo,,,,,,,
187,Alentejo Central,1,H,52,45 - 49 anos,5522,Alentejo Central,,,,,,,
16E0609,Miranda do Corvo,2,M,92,85 e mais anos,273,Miranda do Corvo,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640609,16E0609
16E0617,Vila Nova de Poiares,2,M,92,85 e mais anos,117,Vila Nova de Poiares,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640617,16E0617
16F1015,Pombal,2,M,92,85 e mais anos,1110,Pombal,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631015,16F1015
16F1016,Porto de Mós,2,M,92,85 e mais anos,465,Porto de Mós,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631016,16F1016
16G1809,Nelas,2,M,92,85 e mais anos,372,Nelas,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651809,16G1809
16G1811,Penalva do Castelo,2,M,92,85 e mais anos,230,Penalva do Castelo,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651811,16G1811
16G1814,Santa Comba Dão,2,M,92,85 e mais anos,250,Santa Comba Dão,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651814,16G1814
16G1821,Tondela,2,M,92,85 e mais anos,746,Tondela,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651821,16G1821
16I0509,Sertã,2,M,92,85 e mais anos,590,Sertã,Centro,Médio Tejo,ACeS Pinhal Interior Sul (ULS Castelo Branco),Continente,Centro,1660509,16I0509
16J0909,Mêda,2,M,92,85 e mais anos,264,Mêda,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680909,16J0909
16J0910,Pinhel,2,M,92,85 e mais anos,338,Pinhel,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680910,16J0910
1701107,Loures,2,M,92,85 e mais anos,2645,Loures,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Loures/Odivelas,Continente,Área Metropolitana de Lisboa,1711107,1701107
1840213,Serpa,2,M,92,85 e mais anos,347,Serpa,Alentejo,Baixo Alentejo,ULS Baixo Alentejo,Continente,Alentejo,1840213,1840213
1851407,Chamusca,2,M,92,85 e mais anos,298,Chamusca,Lisboa e Vale do Tejo,Lezíria do Tejo,ACeS Lezíria,Continente,Alentejo,1851407,1851407
1851416,Santarém,2,M,92,85 e mais anos,1369,Santarém,Lisboa e Vale do Tejo,Lezíria do Tejo,ACeS Lezíria,Continente,Alentejo,1851416,1851416
1861205,Castelo de Vide,2,M,92,85 e mais anos,109,Castelo de Vide,Alentejo,Alto Alentejo,ULS Norte Alentejano,Continente,Alentejo,1821205,1861205
1870701,Alandroal,2,M,92,85 e mais anos,186,Alandroal,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830701,1870701
1870702,Arraiolos,2,M,92,85 e mais anos,249,Arraiolos,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830702,1870702
1870708,Mourão,2,M,92,85 e mais anos,63,Mourão,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830708,1870708
1870711,Reguengos de Monsaraz,2,M,92,85 e mais anos,278,Reguengos de Monsaraz,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830711,1870711
1870712,Vendas Novas,2,M,92,85 e mais anos,308,Vendas Novas,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830712,1870712
2004101,Vila do Porto,2,M,92,85 e mais anos,50,Vila do Porto,Açores,Região Autónoma dos Açores,USI Santa Maria,Região Autónoma dos Açores,Região Autónoma dos Açores,2004101,2004101
3003105,Ponta do Sol,2,M,92,85 e mais anos,134,Ponta do Sol,Madeira,Região Autónoma da Madeira,ACeS Madeira Oeste,Região Autónoma da Madeira,Região Autónoma da Madeira,3003105,3003105
3003201,Porto Santo,2,M,92,85 e mais anos,25,Porto Santo,Madeira,Região Autónoma da Madeira,ACeS Porto Santo,Região Autónoma da Madeira,Região Autónoma da Madeira,3003201,3003201
1870713,Viana do Alentejo,2,M,32,25 - 29 anos,164,Viana do Alentejo,Alentejo,Alentejo Central,ACeS Alentejo Central,Continente,Alentejo,1830713,1870713
2004201,Lagoa,2,M,32,25 - 29 anos,533,Lagoa [R.A. Açores],Açores,Região Autónoma dos Açores,USI São Miguel,Região Autónoma dos Açores,Região Autónoma dos Açores,2004201,2004201
3003104,Machico,2,M,32,25 - 29 anos,566,Machico,Madeira,Região Autónoma da Madeira,ACeS Madeira Este,Região Autónoma da Madeira,Região Autónoma da Madeira,3003104,3003104
3003105,Ponta do Sol,2,M,32,25 - 29 anos,256,Ponta do Sol,Madeira,Região Autónoma da Madeira,ACeS Madeira Oeste,Região Autónoma da Madeira,Região Autónoma da Madeira,3003105,3003105
3003110,São Vicente,2,M,32,25 - 29 anos,147,São Vicente,Madeira,Região Autónoma da Madeira,ACeS Madeira Oeste,Região Autónoma da Madeira,Região Autónoma da Madeira,3003110,3003110
3003201,Porto Santo,2,M,32,25 - 29 anos,163,Porto Santo,Madeira,Região Autónoma da Madeira,ACeS Porto Santo,Região Autónoma da Madeira,Região Autónoma da Madeira,3003201,3003201
1111604,Monção,2,M,41,30 - 34 anos,593,Monção,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111604,1111604
1111605,Paredes de Coura,2,M,41,30 - 34 anos,272,Paredes de Coura,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111605,1111605
1111607,Ponte de Lima,2,M,41,30 - 34 anos,1348,Ponte de Lima,Norte,Alto Minho,ULS Alto Minho,Continente,Norte,1111607,1111607
11A0116,São João da Madeira,2,M,41,30 - 34 anos,700,São João da Madeira,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,Continente,Norte,1160116,11A0116
