Código;Disponível no Portal;Código de difusão;Data de entrada em uso;Data do último carregamento
1;Sim;1066;19/10/2015;19/10/2015
4;Não;;;
6;Sim;1068;14/10/2015;14/10/2015
7;Sim;1069;14/10/2015;14/10/2015
8;Sim;1070;14/10/2015;14/10/2015
9;Sim;1071;14/10/2015;14/10/2015
10;Sim;1072;14/10/2015;14/10/2015
11;Sim;1073;19/10/2015;19/10/2015
12;Sim;1074;19/10/2015;19/10/2015
13;Sim;1469;30/03/2021;30/03/2021
14;Sim;1470;30/03/2021;30/03/2021
15;Sim;1473;30/03/2021;30/03/2021
16;Sim;1475;30/03/2021;30/03/2021
17;Não;;;
18;Não;;;
19;Não;;;
20;Não;;;
21;Não;;;
22;Não;;;
23;Não;;;
24;Não;;;
25;Não;;;
26;Sim;594;13/01/2015;13/01/2015
27;Sim;595;13/01/2015;13/01/2015
28;Sim;596;13/01/2015;13/01/2015
29;Sim;597;13/01/2015;13/01/2015
30;Sim;598;13/01/2015;13/01/2015
31;Sim;599;13/01/2015;13/01/2015
32;Sim;600;13/01/2015;13/01/2015
33;Sim;95;26/01/2017;26/01/2017
34;Sim;96;02/06/2015;02/06/2015
35;Sim;601;13/01/2015;13/01/2015
37;Sim;603;13/01/2015;13/01/2015
38;Sim;604;13/01/2015;13/01/2015
39;Sim;605;13/01/2015;13/01/2015
40;Sim;606;13/01/2015;13/01/2015
41;Sim;257;26/01/2017;26/01/2017
42;Sim;97;11/07/2017;11/07/2017
43;Sim;98;13/01/2015;13/01/2015
44;Sim;99;13/01/2015;13/01/2015
45;Sim;1288;13/01/2015;13/01/2015
46;Sim;611;13/01/2015;13/01/2015
52;Sim;1289;13/01/2015;13/01/2015
53;Sim;1236;13/01/2015;13/01/2015
56;Sim;1153;13/01/2015;13/01/2015
89;Não;;;
90;Não;;;
93;Não;;;
94;Não;;;
95;Não;;;
96;Não;;;
98;Não;;;
99;Não;;;
110;Não;;;
113;Não;;;
119;Não;;;
143;Sim;435;08/06/2012;08/06/2012
144;Sim;436;08/06/2012;08/06/2012
145;Sim;437;08/06/2012;08/06/2012
146;Sim;438;08/06/2012;08/06/2012
147;Sim;439;08/06/2012;08/06/2012
148;Sim;440;08/06/2012;08/06/2012
151;Sim;441;25/06/2015;25/06/2015
152;Sim;442;08/06/2012;08/06/2012
153;Sim;443;08/06/2012;08/06/2012
154;Sim;444;08/06/2012;08/06/2012
155;Sim;470;08/06/2012;08/06/2012
156;Sim;471;08/06/2012;08/06/2012
159;Não;;;
162;Não;;;
163;Não;;;
166;Não;;;
172;Sim;870;23/07/2014;23/07/2014
174;Sim;874;23/07/2014;23/07/2014
270;Sim;907;25/11/2013;25/11/2013
271;Sim;908;13/01/2015;13/01/2015
272;Sim;369;13/01/2015;13/01/2015
273;Sim;731;13/01/2015;13/01/2015
274;Sim;732;08/09/2014;08/09/2014
275;Sim;988;13/01/2015;13/01/2015
276;Sim;989;13/01/2015;13/01/2015
279;Sim;70;13/01/2015;13/01/2015
280;Sim;505;13/01/2015;13/01/2015
281;Sim;506;13/01/2015;13/01/2015
282;Sim;507;13/01/2015;13/01/2015
283;Sim;698;13/01/2015;13/01/2015
284;Sim;508;23/11/2016;23/11/2016
285;Sim;909;15/01/2015;15/01/2015
286;Sim;910;13/01/2015;13/01/2015
287;Sim;699;15/01/2015;15/01/2015
288;Sim;700;15/01/2015;15/01/2015
289;Sim;701;15/01/2015;15/01/2015
291;Sim;938;13/01/2015;13/01/2015
295;Sim;890;13/01/2015;13/01/2015
296;Sim;889;13/01/2015;13/01/2015
297;Sim;1119;26/05/2015;26/05/2015
298;Não;;;
299;Não;;;
300;Sim;929;10/07/2015;10/07/2015
301;Sim;891;08/10/2019;08/10/2019
304;Sim;911;26/06/2015;26/06/2015
307;Sim;754;17/10/2009;17/10/2009
308;Sim;755;17/10/2009;17/10/2009
309;Sim;756;17/10/2009;17/10/2009
310;Sim;757;17/10/2009;17/10/2009
311;Sim;758;17/10/2009;17/10/2009
312;Sim;759;17/10/2009;17/10/2009
313;Sim;760;17/10/2009;17/10/2009
314;Sim;761;17/10/2009;17/10/2009
331;Sim;607;02/06/2015;02/06/2015
332;Sim;608;13/01/2015;13/01/2015
333;Sim;609;13/01/2015;13/01/2015
334;Sim;610;13/01/2015;13/01/2015
335;Sim;1290;19/01/2018;19/01/2018
412;Não;;;
418;Não;;;
430;Não;;;
436;Não;;;
442;Não;;;
448;Não;;;
462;Não;;;
468;Não;;;
474;Não;;;
478;Não;;;
479;Não;;;
480;Não;;;
481;Não;;;
482;Não;;;
483;Não;;;
485;Não;;;
486;Não;;;
487;Não;;;
488;Não;;;
536;Sim;1173;16/07/2021;16/07/2021
538;Sim;1172;16/07/2021;16/07/2021
539;Sim;1171;16/07/2021;16/07/2021
542;Sim;1170;16/07/2021;16/07/2021
543;Sim;1169;16/07/2021;16/07/2021
546;Sim;1168;16/07/2021;16/07/2021
547;Sim;1167;16/07/2021;16/07/2021
550;Não;;;
552;Sim;1165;16/07/2021;16/07/2021
554;Sim;1174;16/07/2021;16/07/2021
556;Sim;1175;16/07/2021;16/07/2021
558;Sim;1166;16/07/2021;16/07/2021
560;Sim;1164;16/07/2021;16/07/2021
562;Sim;1176;16/07/2021;16/07/2021
564;Sim;1177;16/07/2021;16/07/2021
566;Sim;1178;16/07/2021;16/07/2021
568;Sim;1179;16/07/2021;16/07/2021
589;Sim;1163;25/10/2021;25/10/2021
595;Sim;1162;18/07/2021;18/07/2021
597;Sim;1161;18/07/2021;18/07/2021
599;Sim;1159;18/07/2021;18/07/2021
600;Sim;1158;18/07/2021;18/07/2021
602;Sim;1157;25/10/2021;25/10/2021
606;Sim;1160;18/07/2021;18/07/2021
608;Sim;1155;18/07/2021;18/07/2021
610;Sim;1156;25/10/2021;25/10/2021
612;Sim;1154;18/07/2021;18/07/2021
615;Sim;1263;18/07/2021;18/07/2021
619;Sim;1215;18/07/2021;18/07/2021
620;Sim;1221;18/07/2021;18/07/2021
622;Sim;1219;18/07/2021;18/07/2021
625;Sim;1217;18/07/2021;18/07/2021
627;Sim;1218;18/07/2021;18/07/2021
629;Sim;1220;18/07/2021;18/07/2021
631;Sim;1216;18/07/2021;18/07/2021
635;Sim;20;19/03/2015;19/03/2015
638;Sim;22;19/03/2015;19/03/2015
647;Não;;;
648;Sim;1145;24/06/2019;24/06/2019
649;Sim;1146;03/05/2019;03/05/2019
652;Sim;1150;30/04/2015;30/04/2015
653;Sim;1151;30/04/2015;30/04/2015
654;Sim;1152;30/04/2015;30/04/2015
655;Sim;220;13/01/2015;13/01/2015
656;Sim;1971;13/01/2015;13/01/2015
657;Sim;1972;13/01/2015;13/01/2015
658;Sim;221;13/01/2015;13/01/2015
670;Sim;142;13/01/2015;13/01/2015
671;Sim;1973;13/01/2015;13/01/2015
672;Sim;1974;13/01/2015;13/01/2015
674;Sim;222;13/01/2015;13/01/2015
675;Sim;1975;13/01/2015;13/01/2015
676;Sim;223;13/01/2015;13/01/2015
678;Não;;;
679;Não;;;
708;Sim;21;17/10/2009;17/10/2009
712;Não;;;
713;Não;;;
714;Não;;;
715;Não;;;
716;Sim;1077;28/10/2014;28/10/2014
717;Sim;1188;16/07/2021;16/07/2021
723;Sim;1187;16/07/2021;16/07/2021
724;Sim;1078;28/10/2014;28/10/2014
726;Sim;1183;16/07/2021;16/07/2021
728;Sim;1186;16/07/2021;16/07/2021
730;Sim;1079;28/10/2014;28/10/2014
731;Sim;1185;16/07/2021;16/07/2021
733;Sim;1184;16/07/2021;16/07/2021
735;Sim;1180;16/07/2021;16/07/2021
737;Sim;1192;16/07/2021;16/07/2021
738;Sim;1075;28/10/2014;28/10/2014
740;Sim;1181;16/07/2021;16/07/2021
742;Sim;1076;28/10/2014;28/10/2014
744;Sim;1194;16/07/2021;16/07/2021
747;Sim;1190;16/07/2021;16/07/2021
748;Sim;1080;28/10/2014;28/10/2014
749;Sim;1081;28/10/2014;28/10/2014
751;Sim;1193;16/07/2021;16/07/2021
754;Sim;1191;18/07/2021;18/07/2021
755;Sim;1182;16/07/2021;16/07/2021
756;Sim;1459;28/10/2014;28/10/2014
757;Sim;1082;28/10/2014;28/10/2014
758;Sim;1083;28/10/2014;28/10/2014
760;Sim;1189;16/07/2021;16/07/2021
762;Sim;1199;16/07/2021;16/07/2021
764;Sim;1195;16/07/2021;16/07/2021
766;Sim;147;18/07/2021;18/07/2021
803;Não;;;
804;Não;;;
805;Não;;;
807;Não;;;
809;Sim;1274;17/10/2009;17/10/2009
815;Sim;1198;16/07/2021;16/07/2021
817;Sim;1197;16/07/2021;16/07/2021
824;Sim;1214;25/10/2021;25/10/2021
826;Sim;1213;18/07/2021;18/07/2021
830;Sim;1212;18/07/2021;18/07/2021
832;Sim;1211;25/10/2021;25/10/2021
833;Sim;1210;18/07/2021;18/07/2021
835;Sim;1209;18/07/2021;18/07/2021
836;Sim;1208;18/07/2021;18/07/2021
838;Sim;1207;18/07/2021;18/07/2021
843;Sim;1204;18/07/2021;18/07/2021
846;Sim;1203;25/10/2021;25/10/2021
849;Sim;1200;18/07/2021;18/07/2021
852;Sim;1201;18/07/2021;18/07/2021
854;Sim;1267;18/07/2021;18/07/2021
855;Sim;1266;18/07/2021;18/07/2021
857;Sim;1268;18/07/2021;18/07/2021
860;Sim;1206;18/07/2021;18/07/2021
862;Sim;991;13/07/2015;13/07/2015
863;Sim;992;13/07/2015;13/07/2015
865;Sim;993;13/07/2015;13/07/2015
866;Sim;995;13/07/2015;13/07/2015
867;Sim;994;13/07/2015;13/07/2015
871;Sim;480;13/01/2015;13/01/2015
872;Sim;481;13/01/2015;13/01/2015
878;Sim;482;13/01/2015;13/01/2015
881;Sim;355;04/03/2014;04/03/2014
882;Sim;356;17/10/2009;17/10/2009
883;Sim;357;17/10/2009;17/10/2009
886;Sim;159;24/04/2013;24/04/2013
887;Sim;157;24/04/2013;24/04/2013
888;Sim;158;24/04/2013;24/04/2013
889;Sim;687;30/01/2014;30/01/2014
893;Sim;692;31/01/2014;31/01/2014
896;Sim;996;13/07/2015;13/07/2015
897;Sim;997;13/07/2015;13/07/2015
898;Sim;998;13/07/2015;13/07/2015
901;Sim;230;15/09/2014;15/09/2014
904;Sim;231;25/07/2014;25/07/2014
907;Sim;232;29/01/2014;29/01/2014
910;Sim;233;29/01/2014;29/01/2014
913;Sim;234;29/01/2014;29/01/2014
917;Sim;235;25/07/2014;25/07/2014
920;Sim;629;15/09/2014;15/09/2014
923;Sim;632;29/01/2014;29/01/2014
926;Sim;630;25/07/2014;25/07/2014
929;Sim;616;29/01/2014;29/01/2014
932;Sim;617;29/01/2014;29/01/2014
934;Sim;618;29/01/2014;29/01/2014
937;Sim;619;29/01/2014;29/01/2014
940;Sim;620;29/01/2014;29/01/2014
943;Sim;239;29/01/2014;29/01/2014
946;Sim;238;29/01/2014;29/01/2014
948;Sim;492;29/01/2014;29/01/2014
950;Sim;491;29/01/2014;29/01/2014
953;Sim;487;29/01/2014;29/01/2014
955;Sim;490;29/01/2014;29/01/2014
957;Sim;493;29/01/2014;29/01/2014
959;Sim;494;29/01/2014;29/01/2014
962;Sim;484;29/01/2014;29/01/2014
964;Sim;495;29/01/2014;29/01/2014
966;Sim;496;29/01/2014;29/01/2014
969;Sim;237;29/01/2014;29/01/2014
972;Sim;485;29/01/2014;29/01/2014
974;Sim;497;29/01/2014;29/01/2014
977;Sim;486;29/01/2014;29/01/2014
979;Sim;498;29/01/2014;29/01/2014
980;Sim;499;29/01/2014;29/01/2014
983;Sim;500;29/01/2014;29/01/2014
985;Sim;501;29/01/2014;29/01/2014
986;Sim;488;29/01/2014;29/01/2014
990;Sim;502;29/01/2014;29/01/2014
993;Sim;489;15/02/2016;15/02/2016
994;Sim;503;15/02/2016;15/02/2016
998;Sim;236;25/07/2014;25/07/2014
1002;Sim;613;29/01/2014;29/01/2014
1003;Sim;614;29/01/2014;29/01/2014
1007;Sim;615;29/01/2014;29/01/2014
1010;Sim;645;29/01/2014;29/01/2014
1017;Sim;646;25/07/2014;25/07/2014
1021;Sim;648;29/01/2014;29/01/2014
1024;Sim;649;29/01/2014;29/01/2014
1027;Sim;631;11/03/2021;11/03/2021
1039;Sim;651;25/07/2014;25/07/2014
1043;Sim;633;29/01/2014;29/01/2014
1048;Sim;634;29/01/2014;29/01/2014
1058;Sim;623;17/10/2009;17/10/2009
1061;Sim;622;29/01/2014;29/01/2014
1065;Sim;624;17/10/2009;17/10/2009
1066;Sim;625;17/10/2009;17/10/2009
1068;Sim;626;29/01/2014;29/01/2014
1071;Sim;627;29/01/2014;29/01/2014
1074;Sim;628;25/07/2014;25/07/2014
1108;Sim;423;16/02/2016;16/02/2016
1109;Sim;424;16/02/2016;16/02/2016
1110;Sim;636;25/09/2014;25/09/2014
1111;Sim;637;25/09/2014;25/09/2014
1112;Sim;638;25/09/2014;25/09/2014
1113;Sim;639;25/09/2014;25/09/2014
1120;Sim;640;25/09/2014;25/09/2014
1121;Sim;641;25/09/2014;25/09/2014
1122;Sim;642;25/09/2014;25/09/2014
1128;Sim;240;15/09/2014;15/09/2014
1129;Sim;242;25/07/2014;25/07/2014
1130;Sim;243;17/10/2009;17/10/2009
1131;Sim;241;17/10/2009;17/10/2009
1132;Sim;244;17/10/2009;17/10/2009
1133;Sim;245;25/07/2014;25/07/2014
1134;Sim;573;15/09/2014;15/09/2014
1135;Sim;574;05/11/2012;05/11/2012
1136;Sim;420;25/07/2014;25/07/2014
1137;Sim;521;17/10/2009;17/10/2009
1138;Sim;522;17/10/2009;17/10/2009
1139;Sim;523;17/10/2009;17/10/2009
1140;Sim;524;17/10/2009;17/10/2009
1141;Sim;525;17/10/2009;17/10/2009
1142;Sim;408;05/11/2012;05/11/2012
1143;Sim;407;05/11/2012;05/11/2012
1144;Sim;249;05/11/2012;05/11/2012
1145;Sim;403;05/11/2012;05/11/2012
1146;Sim;406;05/11/2012;05/11/2012
1147;Sim;248;05/11/2012;05/11/2012
1148;Sim;409;05/11/2012;05/11/2012
1149;Sim;410;05/11/2012;05/11/2012
1151;Sim;400;05/11/2012;05/11/2012
1152;Sim;1115;24/06/2014;24/06/2014
1153;Sim;411;05/11/2012;05/11/2012
1154;Sim;412;05/11/2012;05/11/2012
1155;Sim;247;05/11/2012;05/11/2012
1156;Sim;401;05/11/2012;05/11/2012
1157;Sim;413;05/11/2012;05/11/2012
1158;Sim;402;05/11/2012;05/11/2012
1159;Sim;414;05/11/2012;05/11/2012
1160;Sim;415;05/11/2012;05/11/2012
1161;Sim;416;05/11/2012;05/11/2012
1162;Sim;417;05/11/2012;05/11/2012
1163;Sim;404;05/11/2012;05/11/2012
1164;Sim;418;05/11/2012;05/11/2012
1165;Sim;405;15/02/2016;15/02/2016
1166;Sim;419;15/02/2016;15/02/2016
1167;Sim;246;25/07/2014;25/07/2014
1168;Sim;518;05/11/2012;05/11/2012
1169;Sim;519;05/11/2012;05/11/2012
1170;Sim;520;17/10/2009;17/10/2009
1171;Sim;587;21/09/2010;21/09/2010
1173;Sim;588;25/07/2014;25/07/2014
1174;Sim;590;21/09/2010;21/09/2010
1175;Sim;591;21/09/2010;21/09/2010
1176;Sim;589;21/09/2010;21/09/2010
1177;Sim;504;11/03/2021;11/03/2021
1181;Sim;593;25/07/2014;25/07/2014
1183;Sim;575;05/11/2012;05/11/2012
1185;Sim;576;05/11/2012;05/11/2012
1189;Sim;566;17/10/2009;17/10/2009
1190;Sim;567;17/10/2009;17/10/2009
1191;Sim;568;20/01/2015;20/01/2015
1192;Sim;569;17/10/2009;17/10/2009
1193;Sim;570;05/11/2012;05/11/2012
1194;Sim;571;05/11/2012;05/11/2012
1195;Sim;572;25/07/2014;25/07/2014
1196;Sim;578;17/10/2009;17/10/2009
1197;Sim;579;17/10/2009;17/10/2009
1198;Sim;580;17/10/2009;17/10/2009
1199;Sim;581;17/10/2009;17/10/2009
1200;Sim;582;05/11/2012;05/11/2012
1201;Sim;583;05/11/2012;05/11/2012
1202;Sim;584;05/11/2012;05/11/2012
1205;Sim;1205;18/07/2021;18/07/2021
1208;Sim;370;13/01/2015;13/01/2015
1307;Sim;990;23/01/2017;23/01/2017
1308;Sim;842;23/01/2017;23/01/2017
1310;Sim;23;17/10/2009;17/10/2009
1313;Não;;;
1314;Não;;;
1316;Não;;;
1317;Não;;;
1319;Sim;483;13/01/2015;13/01/2015
1327;Sim;78;02/09/2014;02/09/2014
1328;Sim;81;02/09/2014;02/09/2014
1329;Sim;79;22/03/2019;22/03/2019
1330;Sim;82;04/09/2014;04/09/2014
1331;Sim;80;02/09/2014;02/09/2014
1332;Sim;89;02/09/2014;02/09/2014
1333;Sim;90;02/09/2014;02/09/2014
1334;Sim;91;04/09/2014;04/09/2014
1335;Sim;93;02/09/2014;02/09/2014
1336;Sim;92;02/09/2014;02/09/2014
1337;Sim;75;13/01/2015;13/01/2015
1344;Sim;83;13/01/2015;13/01/2015
1345;Sim;84;13/01/2015;13/01/2015
1350;Sim;77;22/03/2019;22/03/2019
1351;Sim;76;22/03/2019;22/03/2019
1354;Sim;86;13/01/2015;13/01/2015
1355;Sim;88;13/01/2015;13/01/2015
1356;Sim;87;13/01/2015;13/01/2015
1362;Sim;1463;17/10/2009;17/10/2009
1363;Sim;1464;17/10/2009;17/10/2009
1364;Sim;1465;17/10/2009;17/10/2009
1365;Sim;1466;17/10/2009;17/10/2009
1368;Sim;1467;17/10/2009;17/10/2009
1369;Sim;1468;17/10/2009;17/10/2009
1370;Sim;1339;13/01/2015;13/01/2015
1371;Sim;1340;17/10/2009;17/10/2009
1372;Sim;1341;13/01/2015;13/01/2015
1373;Sim;1342;17/10/2009;17/10/2009
1374;Sim;702;13/01/2015;13/01/2015
1375;Sim;703;17/10/2009;17/10/2009
1376;Sim;706;23/12/2021;23/12/2021
1377;Sim;707;17/10/2009;17/10/2009
1378;Sim;712;23/12/2021;23/12/2021
1379;Sim;713;20/03/2019;20/03/2019
1382;Sim;710;20/03/2019;20/03/2019
1383;Sim;711;20/03/2019;20/03/2019
1384;Sim;708;23/12/2021;23/12/2021
1385;Sim;709;20/03/2019;20/03/2019
1386;Sim;704;13/01/2015;13/01/2015
1387;Sim;705;17/10/2009;17/10/2009
1388;Sim;14;19/03/2015;19/03/2015
1389;Sim;15;19/03/2015;19/03/2015
1390;Sim;18;19/03/2015;19/03/2015
1391;Sim;19;17/10/2009;17/10/2009
1392;Sim;16;19/03/2015;19/03/2015
1393;Sim;17;19/03/2015;19/03/2015
1394;Sim;1461;20/05/2015;20/05/2015
1395;Sim;1462;17/10/2009;17/10/2009
1396;Sim;162;17/10/2009;17/10/2009
1397;Sim;165;17/10/2009;17/10/2009
1398;Sim;163;17/10/2009;17/10/2009
1399;Sim;166;17/10/2009;17/10/2009
1400;Sim;164;17/10/2009;17/10/2009
1402;Sim;167;17/10/2009;17/10/2009
1403;Sim;168;17/10/2009;17/10/2009
1404;Sim;169;17/10/2009;17/10/2009
1405;Sim;170;17/10/2009;17/10/2009
1406;Sim;171;17/10/2009;17/10/2009
1407;Sim;172;17/10/2009;17/10/2009
1408;Sim;173;17/10/2009;17/10/2009
1409;Sim;174;17/10/2009;17/10/2009
1410;Sim;175;17/10/2009;17/10/2009
1411;Sim;176;17/10/2009;17/10/2009
1412;Sim;177;17/10/2009;17/10/2009
1413;Sim;178;17/10/2009;17/10/2009
1414;Sim;179;17/10/2009;17/10/2009
1415;Sim;180;17/10/2009;17/10/2009
1416;Sim;181;17/10/2009;17/10/2009
1417;Sim;182;17/10/2009;17/10/2009
1418;Sim;183;17/10/2009;17/10/2009
1419;Sim;185;17/10/2009;17/10/2009
1420;Sim;186;17/10/2009;17/10/2009
1421;Sim;187;17/10/2009;17/10/2009
1422;Sim;188;17/10/2009;17/10/2009
1423;Sim;189;17/10/2009;17/10/2009
1424;Sim;190;17/10/2009;17/10/2009
1425;Sim;191;17/10/2009;17/10/2009
1426;Sim;192;17/10/2009;17/10/2009
1427;Sim;193;17/10/2009;17/10/2009
1428;Sim;194;17/10/2009;17/10/2009
1429;Sim;195;17/10/2009;17/10/2009
1430;Sim;196;17/10/2009;17/10/2009
1432;Sim;197;17/10/2009;17/10/2009
1433;Sim;198;17/10/2009;17/10/2009
1434;Sim;199;17/10/2009;17/10/2009
1437;Sim;200;17/10/2009;17/10/2009
1438;Sim;201;17/10/2009;17/10/2009
1439;Sim;202;17/10/2009;17/10/2009
1440;Sim;203;17/10/2009;17/10/2009
1441;Sim;204;17/10/2009;17/10/2009
1442;Sim;207;17/10/2009;17/10/2009
1443;Sim;205;17/10/2009;17/10/2009
1444;Sim;208;17/10/2009;17/10/2009
1445;Sim;206;17/10/2009;17/10/2009
1446;Sim;209;17/10/2009;17/10/2009
1447;Sim;210;17/10/2009;17/10/2009
1448;Sim;211;17/10/2009;17/10/2009
1449;Sim;212;17/10/2009;17/10/2009
1450;Sim;213;17/10/2009;17/10/2009
1451;Sim;214;17/10/2009;17/10/2009
1452;Sim;215;17/10/2009;17/10/2009
1453;Sim;216;17/10/2009;17/10/2009
1454;Sim;217;17/10/2009;17/10/2009
1455;Sim;218;17/10/2009;17/10/2009
1481;Sim;4752;24/01/2019;24/01/2019
1482;Sim;4753;24/01/2019;24/01/2019
1483;Sim;4754;24/01/2019;24/01/2019
1484;Sim;4755;24/01/2019;24/01/2019
1485;Sim;4756;24/01/2019;24/01/2019
1486;Sim;4757;24/01/2019;24/01/2019
1487;Sim;4758;24/01/2019;24/01/2019
1488;Não;;;
1489;Sim;961;01/03/2019;01/03/2019
1490;Sim;538;28/10/2015;28/10/2015
1491;Sim;544;17/10/2009;17/10/2009
1492;Sim;962;01/03/2019;01/03/2019
1493;Sim;539;28/10/2015;28/10/2015
1494;Sim;545;17/10/2009;17/10/2009
1495;Sim;963;01/03/2019;01/03/2019
1496;Sim;540;28/10/2015;28/10/2015
1497;Sim;546;17/10/2009;17/10/2009
1498;Sim;964;01/03/2019;01/03/2019
1499;Sim;541;28/10/2015;28/10/2015
1500;Sim;547;24/01/2019;24/01/2019
1501;Sim;6996;24/01/2019;24/01/2019
1502;Sim;6999;24/01/2019;24/01/2019
1503;Sim;6997;24/01/2019;24/01/2019
1504;Sim;6998;24/01/2019;24/01/2019
1505;Não;;;
1506;Não;;;
1509;Sim;1333;08/02/2022;08/02/2022
1510;Sim;1336;08/02/2022;08/02/2022
1511;Sim;1334;08/02/2022;08/02/2022
1512;Sim;1337;08/02/2022;08/02/2022
1513;Sim;1335;08/02/2022;08/02/2022
1514;Sim;1338;08/02/2022;08/02/2022
1515;Sim;1327;13/04/2016;13/04/2016
1516;Sim;1330;13/04/2016;13/04/2016
1517;Sim;1328;13/04/2016;13/04/2016
1518;Sim;1331;13/04/2016;13/04/2016
1519;Sim;1329;29/10/2015;29/10/2015
1520;Sim;1332;17/10/2009;17/10/2009
1522;Sim;916;17/10/2009;17/10/2009
1523;Sim;917;17/10/2009;17/10/2009
1525;Sim;549;17/10/2009;17/10/2009
1526;Sim;550;17/10/2009;17/10/2009
1527;Sim;551;17/10/2009;17/10/2009
1528;Sim;918;05/07/2016;05/07/2016
1529;Sim;919;05/07/2016;05/07/2016
1530;Sim;920;17/10/2009;17/10/2009
1531;Sim;921;17/10/2009;17/10/2009
1532;Sim;922;17/10/2009;17/10/2009
1533;Sim;923;17/10/2009;17/10/2009
1534;Sim;924;17/10/2009;17/10/2009
1535;Sim;925;17/10/2009;17/10/2009
1536;Sim;926;17/10/2009;17/10/2009
1537;Sim;841;17/10/2009;17/10/2009
1538;Sim;663;17/10/2009;17/10/2009
1539;Sim;678;17/10/2009;17/10/2009
1540;Sim;679;03/04/2013;03/04/2013
1541;Sim;533;17/10/2009;17/10/2009
1542;Sim;262;14/11/2011;14/11/2011
1543;Sim;680;17/10/2009;17/10/2009
1544;Sim;664;14/11/2011;14/11/2011
1545;Sim;263;14/11/2011;14/11/2011
1546;Sim;665;17/10/2009;17/10/2009
1547;Sim;681;17/10/2009;17/10/2009
1548;Sim;682;17/10/2009;17/10/2009
1549;Sim;666;17/10/2009;17/10/2009
1550;Sim;667;17/10/2009;17/10/2009
1552;Sim;684;17/10/2009;17/10/2009
1554;Sim;534;17/10/2009;17/10/2009
1555;Sim;657;17/10/2009;17/10/2009
1556;Sim;658;17/10/2009;17/10/2009
1557;Sim;659;17/10/2009;17/10/2009
1559;Sim;219;17/10/2009;17/10/2009
1560;Sim;660;17/10/2009;17/10/2009
1561;Sim;661;17/10/2009;17/10/2009
1562;Sim;668;17/10/2009;17/10/2009
1563;Sim;535;17/10/2009;17/10/2009
1565;Sim;536;17/10/2009;17/10/2009
1566;Sim;669;17/10/2009;17/10/2009
1571;Sim;671;17/10/2009;17/10/2009
1573;Sim;673;17/10/2009;17/10/2009
1574;Sim;674;17/10/2009;17/10/2009
1575;Sim;675;17/10/2009;17/10/2009
1576;Sim;714;17/10/2009;17/10/2009
1577;Sim;715;17/10/2009;17/10/2009
1578;Sim;716;17/10/2009;17/10/2009
1579;Sim;717;17/10/2009;17/10/2009
1580;Sim;718;17/10/2009;17/10/2009
1581;Sim;719;17/10/2009;17/10/2009
1582;Sim;720;17/10/2009;17/10/2009
1583;Sim;721;17/10/2009;17/10/2009
1584;Sim;722;17/10/2009;17/10/2009
1585;Sim;723;17/10/2009;17/10/2009
1586;Sim;773;17/10/2009;17/10/2009
1587;Sim;772;17/10/2009;17/10/2009
1589;Sim;775;17/10/2009;17/10/2009
1591;Sim;184;17/10/2009;17/10/2009
1592;Sim;776;17/10/2009;17/10/2009
1593;Sim;777;17/10/2009;17/10/2009
1594;Sim;778;17/10/2009;17/10/2009
1595;Sim;779;17/10/2009;17/10/2009
1596;Sim;780;17/10/2009;17/10/2009
1598;Sim;724;17/10/2009;17/10/2009
1599;Sim;725;17/10/2009;17/10/2009
1605;Sim;260;17/10/2009;17/10/2009
1606;Sim;676;17/10/2009;17/10/2009
1607;Sim;730;17/10/2009;17/10/2009
1608;Sim;1120;17/10/2009;17/10/2009
1609;Sim;1121;17/10/2009;17/10/2009
1610;Sim;835;17/10/2009;17/10/2009
1611;Sim;836;17/10/2009;17/10/2009
1612;Sim;837;17/10/2009;17/10/2009
1613;Sim;833;05/11/2012;05/11/2012
1614;Sim;834;05/11/2012;05/11/2012
1616;Sim;670;05/11/2012;05/11/2012
1618;Sim;43;13/01/2015;13/01/2015
1620;Sim;258;13/01/2015;13/01/2015
1621;Sim;927;17/10/2009;17/10/2009
1623;Sim;9;13/01/2015;13/01/2015
1625;Sim;9618;14/03/2018;14/03/2018
1626;Sim;9619;14/03/2018;14/03/2018
1628;Sim;44;13/01/2015;13/01/2015
1629;Sim;527;13/01/2015;13/01/2015
1631;Sim;45;13/01/2015;13/01/2015
1632;Sim;528;13/01/2015;13/01/2015
1633;Sim;69;13/01/2015;13/01/2015
1634;Sim;1397;18/12/2013;18/12/2013
1635;Sim;1400;18/12/2013;18/12/2013
1636;Sim;1396;18/12/2013;18/12/2013
1637;Sim;1401;18/12/2013;18/12/2013
1641;Sim;259;13/01/2015;13/01/2015
1645;Sim;62;17/10/2009;17/10/2009
1652;Sim;36;17/10/2009;17/10/2009
1659;Sim;68;22/03/2022;22/03/2022
1661;Não;;;
1663;Não;;;
1664;Sim;73;17/10/2009;17/10/2009
1667;Não;;;
1668;Sim;24;17/10/2009;17/10/2009
1670;Sim;27;17/10/2009;17/10/2009
1671;Sim;28;17/10/2009;17/10/2009
1672;Sim;29;17/10/2009;17/10/2009
1673;Sim;30;12/11/2012;12/11/2012
1679;Não;;;
1681;Não;;;
1683;Não;;;
1684;Sim;48;17/10/2009;17/10/2009
1686;Sim;50;17/10/2009;17/10/2009
1687;Sim;51;22/03/2022;22/03/2022
1689;Sim;53;17/10/2009;17/10/2009
