geocod,geodsg,dim_3_t,municip,<1 ano,ars,nuts3,aces2,0 - 4 anos,5 - 9 anos,10 - 14 anos,15 - 19 anos,20 - 24 anos,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 - 80 anos,81 - 84 anos,85 e mais anos,Total
1812,Penedono,H,Penedono,6,Norte,Douro,ACeS Douro Sul,30,42,41,66,75,53,54,50,74,87,93,95,138,109,87,77,60,55,1292
1812,Penedono,M,Penedono,3,Norte,Douro,ACeS Douro Sul,17,45,48,55,72,52,51,68,88,92,89,87,123,120,118,98,106,114,1446
1708,Peso da Régua,H,Peso da Régua,46,Norte,Douro,ACeS Marão e Douro Norte,186,256,302,340,396,323,328,363,475,484,514,583,619,548,425,260,222,163,6833
1708,Peso da Régua,M,Peso da Régua,47,Norte,Douro,ACeS Marão e Douro Norte,206,227,280,354,376,333,320,411,500,564,534,645,673,587,502,411,357,380,7707
1710,Sabrosa,H,Sabrosa,13,Norte,Douro,ACeS Marão e Douro Norte,56,78,115,127,117,141,115,130,148,188,172,224,224,236,224,158,107,88,2661
1710,Sabrosa,M,Sabrosa,13,Norte,Douro,ACeS Marão e Douro Norte,73,88,110,126,129,90,125,132,171,197,164,214,258,233,206,207,175,176,2887
1711,Santa Marta de Penaguião,H,Santa Marta de Penaguião,8,Norte,Douro,ACeS Marão e Douro Norte,68,101,97,150,166,136,118,119,188,204,223,213,265,257,225,164,114,82,2898
1711,Santa Marta de Penaguião,M,Santa Marta de Penaguião,15,Norte,Douro,ACeS Marão e Douro Norte,66,78,111,135,126,122,101,142,208,220,206,253,311,286,236,211,167,208,3202
1815,São João da Pesqueira,H,São João da Pesqueira,21,Norte,Douro,ACeS Douro Sul,91,107,155,178,182,134,166,182,212,260,245,269,284,231,215,149,132,108,3321
1815,São João da Pesqueira,M,São João da Pesqueira,22,Norte,Douro,ACeS Douro Sul,78,104,134,150,171,143,145,197,214,236,231,274,297,262,213,200,197,186,3454
1818,Sernancelhe,M,Sernancelhe,13,Norte,Douro,ACeS Douro Sul,70,83,100,133,135,113,112,131,158,158,202,262,265,209,216,213,173,196,2942
1818,Sernancelhe,H,Sernancelhe,12,Norte,Douro,ACeS Douro Sul,68,86,93,120,148,122,128,133,163,183,182,242,254,220,186,144,152,114,2750
1819,Tabuaço,H,Tabuaço,10,Norte,Douro,ACeS Douro Sul,51,77,98,113,113,109,95,124,133,142,187,197,232,201,177,122,94,100,2375
1819,Tabuaço,M,Tabuaço,15,Norte,Douro,ACeS Douro Sul,62,59,87,110,130,104,101,121,151,171,159,233,256,222,179,151,143,205,2659
1820,Tarouca,H,Tarouca,19,Norte,Douro,ACeS Douro Sul,103,155,184,192,213,157,152,192,222,267,308,291,272,238,209,159,103,91,3527
1820,Tarouca,M,Tarouca,23,Norte,Douro,ACeS Douro Sul,116,150,166,182,206,142,178,220,269,284,276,321,296,239,256,203,140,169,3836
0409,Torre de Moncorvo,H,Torre de Moncorvo,24,Norte,Douro,ULS Nordeste,74,86,96,98,144,124,134,141,178,185,204,244,299,282,295,233,191,192,3224
0409,Torre de Moncorvo,M,Torre de Moncorvo,11,Norte,Douro,ULS Nordeste,77,73,100,121,111,120,130,157,163,168,218,253,316,346,332,325,273,308,3602
0914,Vila Nova de Foz Côa,H,Vila Nova de Foz Côa,22,Centro,Douro,ULS Guarda,62,82,96,113,142,123,133,142,171,198,218,239,294,276,228,199,133,121,2992
0914,Vila Nova de Foz Côa,M,Vila Nova de Foz Côa,14,Centro,Douro,ULS Guarda,65,97,117,124,123,117,111,142,169,199,213,238,279,293,267,263,222,259,3312
1714,Vila Real,H,Vila Real,155,Norte,Douro,ACeS Marão e Douro Norte,717,1045,1180,1326,1310,1161,1152,1350,1758,1827,1855,1835,1672,1566,1247,981,689,550,23376
1714,Vila Real,M,Vila Real,175,Norte,Douro,ACeS Marão e Douro Norte,687,952,1061,1251,1293,1154,1251,1620,1943,2074,2089,2116,1897,1706,1458,1325,959,1184,26195
0401,Alfândega da Fé,H,Alfândega da Fé,11,Norte,Terras de Trás-os-Montes,ULS Nordeste,48,56,62,77,79,89,78,110,121,101,132,170,192,196,161,157,131,118,2089
0401,Alfândega da Fé,M,Alfândega da Fé,9,Norte,Terras de Trás-os-Montes,ULS Nordeste,45,61,61,76,94,91,109,87,110,108,130,182,197,193,175,178,148,181,2235
0402,Bragança,H,Bragança,107,Norte,Terras de Trás-os-Montes,ULS Nordeste,493,619,691,787,1093,856,815,933,1144,1186,1125,1180,1143,1225,1032,853,688,544,16514
0402,Bragança,M,Bragança,116,Norte,Terras de Trás-os-Montes,ULS Nordeste,480,555,683,719,1078,857,809,999,1235,1262,1202,1338,1329,1395,1149,972,882,1008,18068
0405,Macedo de Cavaleiros,H,Macedo de Cavaleiros,40,Norte,Terras de Trás-os-Montes,ULS Nordeste,148,209,257,294,319,269,311,309,402,393,490,562,580,604,546,407,336,297,6773
0405,Macedo de Cavaleiros,M,Macedo de Cavaleiros,28,Norte,Terras de Trás-os-Montes,ULS Nordeste,155,206,243,307,336,256,314,364,407,436,505,539,631,643,593,562,423,530,7478
0406,Miranda do Douro,H,Miranda do Douro,16,Norte,Terras de Trás-os-Montes,ULS Nordeste,62,101,114,117,140,102,105,142,195,195,220,222,273,287,241,212,200,189,3133
0406,Miranda do Douro,M,Miranda do Douro,15,Norte,Terras de Trás-os-Montes,ULS Nordeste,78,83,92,106,123,111,103,147,202,190,206,203,291,286,272,287,249,286,3330
0407,Mirandela,H,Mirandela,57,Norte,Terras de Trás-os-Montes,ULS Nordeste,266,366,401,459,507,490,444,506,641,666,708,753,797,854,705,632,464,407,10123
0407,Mirandela,M,Mirandela,62,Norte,Terras de Trás-os-Montes,ULS Nordeste,265,347,395,496,507,428,480,512,697,749,770,826,920,918,816,731,630,712,11261
0408,Mogadouro,H,Mogadouro,12,Norte,Terras de Trás-os-Montes,ULS Nordeste,90,101,120,135,149,167,169,216,219,252,276,345,360,354,327,242,264,213,4011
0408,Mogadouro,M,Mogadouro,12,Norte,Terras de Trás-os-Montes,ULS Nordeste,85,111,136,136,142,146,178,188,201,218,273,345,377,377,326,364,333,342,4290
0410,Vila Flor,H,Vila Flor,14,Norte,Terras de Trás-os-Montes,ULS Nordeste,79,91,109,134,143,119,93,137,167,195,225,219,238,265,212,213,146,121,2920
0410,Vila Flor,M,Vila Flor,9,Norte,Terras de Trás-os-Montes,ULS Nordeste,72,80,82,111,136,103,107,143,219,199,185,219,278,266,252,257,184,228,3130
0411,Vimioso,H,Vimioso,10,Norte,Terras de Trás-os-Montes,ULS Nordeste,37,49,55,61,81,65,85,79,96,105,121,158,178,224,194,148,145,120,2011
0411,Vimioso,M,Vimioso,9,Norte,Terras de Trás-os-Montes,ULS Nordeste,45,50,41,63,82,70,72,80,94,97,112,143,192,223,186,206,196,177,2138
0412,Vinhais,H,Vinhais,26,Norte,Terras de Trás-os-Montes,ULS Nordeste,53,80,105,113,133,100,119,163,195,230,261,294,343,373,353,329,291,241,3802
0412,Vinhais,M,Vinhais,10,Norte,Terras de Trás-os-Montes,ULS Nordeste,51,91,82,96,113,99,133,153,198,186,221,300,370,393,366,370,346,388,3966
1001,Alcobaça,H,Alcobaça,165,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,767,1049,1251,1480,1567,1453,1364,1514,1813,1940,2034,1985,1848,1782,1552,1297,957,675,26493
1001,Alcobaça,M,Alcobaça,175,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,806,1026,1197,1316,1415,1292,1300,1504,1923,2116,2217,2176,2005,2043,1836,1561,1189,1375,28472
1101,Alenquer,H,Alenquer,192,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,845,1151,1233,1325,1270,1149,1214,1486,1786,1799,1522,1388,1283,1131,1050,767,588,399,21578
1101,Alenquer,M,Alenquer,179,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,812,1061,1190,1182,1181,1133,1270,1532,1800,1965,1639,1519,1348,1211,1216,988,804,834,22864
1102,Arruda dos Vinhos,H,Arruda dos Vinhos,59,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,267,386,468,452,440,303,299,420,597,623,531,449,370,310,324,233,190,114,6835
1102,Arruda dos Vinhos,M,Arruda dos Vinhos,53,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,237,388,435,401,354,290,304,508,611,668,525,483,357,403,335,310,243,252,7157
1005,Bombarral,H,Bombarral,57,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,205,274,303,294,303,328,297,374,429,407,417,458,411,427,444,300,206,178,6112
1005,Bombarral,M,Bombarral,45,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,187,221,283,307,317,300,281,404,437,485,473,479,465,518,436,387,310,299,6634
1104,Cadaval,H,Cadaval,36,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,173,262,311,335,341,270,274,346,440,489,468,436,450,501,441,333,301,210,6417
1104,Cadaval,M,Cadaval,42,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,168,248,295,308,324,264,265,373,435,489,499,459,543,529,487,442,367,418,6955
1006,Caldas da Rainha,H,Caldas da Rainha,156,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,767,1028,1180,1325,1405,1240,1229,1418,1672,1759,1718,1709,1698,1657,1374,1112,866,685,23998
1006,Caldas da Rainha,M,Caldas da Rainha,161,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,714,1026,1134,1293,1332,1200,1191,1595,1863,1993,1941,2052,2020,1810,1651,1430,1191,1315,26912
1108,Lourinhã,H,Lourinhã,104,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,453,624,645,702,661,609,608,809,928,979,867,859,823,902,792,604,430,292,12691
1108,Lourinhã,M,Lourinhã,86,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,426,561,617,629,658,576,646,848,1030,1064,876,971,911,974,833,723,531,589,13549
1011,Nazaré,H,Nazaré,49,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,204,320,333,366,373,355,336,452,524,548,562,482,478,531,488,314,231,139,7085
1011,Nazaré,M,Nazaré,46,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,237,309,366,319,356,326,369,428,586,525,570,570,592,590,553,441,316,297,7796
1012,Óbidos,H,Óbidos,41,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,168,271,259,312,320,271,287,338,420,416,438,410,418,423,403,290,198,146,5829
1012,Óbidos,M,Óbidos,45,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,163,242,278,263,262,227,254,358,399,463,481,451,479,462,414,322,276,254,6093
1014,Peniche,H,Peniche,108,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,468,588,671,697,666,569,660,777,930,916,875,872,866,934,742,655,412,283,12689
1014,Peniche,M,Peniche,85,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,425,557,623,632,629,584,662,787,995,976,931,991,999,1001,930,799,600,534,13740
1112,Sobral de Monte Agraço,H,Sobral de Monte Agraço,29,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,204,254,326,303,285,229,253,334,423,455,389,324,330,277,243,177,142,98,5075
1112,Sobral de Monte Agraço,M,Sobral de Monte Agraço,43,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,194,234,309,301,274,258,267,366,470,470,367,350,330,291,296,244,184,217,5465
1113,Torres Vedras,H,Torres Vedras,350,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,1387,1792,2062,2262,2322,2199,2324,2591,3061,3276,2932,2732,2510,2308,2083,1752,1261,954,40158
1113,Torres Vedras,M,Torres Vedras,303,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,1380,1757,1965,2180,2158,2119,2132,2706,3187,3511,3144,3062,2749,2574,2406,2100,1664,1817,42914
0101,Águeda,H,Águeda,156,Centro,Região de Aveiro,ACeS Baixo Vouga,724,973,1022,1053,1207,1120,1209,1386,1494,1638,1619,1674,1557,1549,1343,1008,740,653,22125
0101,Águeda,M,Águeda,161,Centro,Região de Aveiro,ACeS Baixo Vouga,679,848,993,1136,1136,1130,1193,1379,1665,1804,1788,1840,1677,1729,1535,1233,976,1092,23994
0102,Albergaria-a-Velha,M,Albergaria-a-Velha,84,Centro,Região de Aveiro,ACeS Baixo Vouga,386,483,608,598,674,626,623,791,945,982,982,940,926,816,741,627,473,466,12771
0102,Albergaria-a-Velha,H,Albergaria-a-Velha,84,Centro,Região de Aveiro,ACeS Baixo Vouga,418,500,628,641,715,672,647,765,904,947,929,868,808,736,670,506,358,273,12069
0103,Anadia,H,Anadia,83,Centro,Região de Aveiro,ACeS Baixo Vouga,404,510,568,622,710,636,641,739,849,995,926,971,968,958,903,638,556,474,13151
0103,Anadia,M,Anadia,67,Centro,Região de Aveiro,ACeS Baixo Vouga,366,442,521,607,660,592,610,748,928,1007,1059,1045,1146,1069,1027,893,742,852,14381
0105,Aveiro,H,Aveiro,307,Centro,Região de Aveiro,ACeS Baixo Vouga,1393,1794,1924,1920,2277,2320,2459,2706,3131,2983,2737,2609,2520,2249,1849,1426,951,887,38442
0105,Aveiro,M,Aveiro,315,Centro,Região de Aveiro,ACeS Baixo Vouga,1277,1609,1872,1977,2235,2407,2397,2830,3295,3383,3110,3104,3051,2542,2332,1821,1363,1592,42512
0108,Estarreja,H,Estarreja,95,Centro,Região de Aveiro,ACeS Baixo Vouga,437,563,620,698,695,747,697,828,870,894,964,990,841,755,711,524,433,328,12690
0108,Estarreja,M,Estarreja,102,Centro,Região de Aveiro,ACeS Baixo Vouga,407,518,553,620,696,655,666,780,857,974,1011,1031,1010,856,852,708,590,637,13523
0110,Ílhavo,H,Ílhavo,156,Centro,Região de Aveiro,ACeS Baixo Vouga,662,846,999,1014,1055,984,1056,1230,1396,1437,1466,1400,1255,1134,1009,700,510,326,18635
0110,Ílhavo,M,Ílhavo,153,Centro,Região de Aveiro,ACeS Baixo Vouga,689,833,939,974,1003,1003,1088,1401,1492,1651,1612,1556,1440,1301,1119,908,732,706,20600
0112,Murtosa,H,Murtosa,34,Centro,Região de Aveiro,ACeS Baixo Vouga,191,229,261,301,254,278,256,326,373,388,376,367,302,308,270,230,174,129,5047
0112,Murtosa,M,Murtosa,42,Centro,Região de Aveiro,ACeS Baixo Vouga,167,232,247,263,257,275,282,331,358,380,373,379,371,333,351,290,238,260,5429
0114,Oliveira do Bairro,H,Oliveira do Bairro,93,Centro,Região de Aveiro,ACeS Baixo Vouga,444,525,586,594,619,585,549,716,852,939,818,682,624,636,582,448,366,315,10973
0114,Oliveira do Bairro,M,Oliveira do Bairro,96,Centro,Região de Aveiro,ACeS Baixo Vouga,376,517,584,576,622,616,604,765,949,999,852,803,699,768,685,607,480,561,12159
0115,Ovar,H,Ovar,203,Centro,Região de Aveiro,ACeS Baixo Vouga,917,1099,1263,1448,1612,1460,1414,1651,1956,2145,2175,1985,1847,1613,1402,960,685,496,26331
0115,Ovar,M,Ovar,189,Centro,Região de Aveiro,ACeS Baixo Vouga,795,1110,1236,1366,1554,1468,1475,1706,2132,2336,2289,2234,2088,1886,1583,1204,1014,957,28622
0117,Sever do Vouga,H,Sever do Vouga,32,Centro,Região de Aveiro,ACeS Baixo Vouga,138,193,210,279,320,248,227,296,369,382,358,419,448,390,342,274,235,187,5347
0117,Sever do Vouga,M,Sever do Vouga,26,Centro,Região de Aveiro,ACeS Baixo Vouga,138,193,194,251,251,244,224,292,367,411,442,425,427,447,368,344,300,372,5716
0118,Vagos,H,Vagos,94,Centro,Região de Aveiro,ACeS Baixo Vouga,402,508,558,553,630,597,611,721,796,825,805,758,703,676,611,484,361,297,10990
0118,Vagos,M,Vagos,106,Centro,Região de Aveiro,ACeS Baixo Vouga,375,499,514,592,560,588,661,760,811,851,821,866,813,739,700,637,499,504,11896
0601,Arganil,H,Arganil,27,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,157,180,194,205,234,228,232,297,326,316,391,414,481,385,391,335,290,207,5290
0601,Arganil,M,Arganil,23,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,142,194,198,221,219,216,230,298,312,338,387,450,473,453,400,408,371,442,5775
0602,Cantanhede,H,Cantanhede,118,Centro,Região de Coimbra,ACeS Baixo Mondego,484,662,760,762,847,710,747,902,1133,1215,1108,1105,1129,1220,1092,936,686,532,16148
0602,Cantanhede,M,Cantanhede,119,Centro,Região de Coimbra,ACeS Baixo Mondego,470,591,670,747,820,682,767,1010,1235,1227,1197,1249,1376,1297,1285,1204,1052,1066,18064
0603,Coimbra,H,Coimbra,475,Centro,Região de Coimbra,ACeS Baixo Mondego,2160,2806,3017,3291,3597,3928,3616,4223,4886,4845,4627,4750,4471,4257,3879,2800,2080,1743,65451
0603,Coimbra,M,Coimbra,461,Centro,Região de Coimbra,ACeS Baixo Mondego,2072,2649,2880,3102,3895,3879,3765,4625,5243,5472,5440,5714,5393,5226,5021,3801,3147,3580,75365
0604,Condeixa-a-Nova,H,Condeixa-a-Nova,48,Centro,Região de Coimbra,ACeS Baixo Mondego,285,369,468,453,427,321,394,502,647,674,619,591,454,418,395,284,266,199,7814
0604,Condeixa-a-Nova,M,Condeixa-a-Nova,67,Centro,Região de Coimbra,ACeS Baixo Mondego,255,370,421,404,400,339,428,579,732,776,723,606,567,532,506,423,358,432,8918
0605,Figueira da Foz,H,Figueira da Foz,168,Centro,Região de Coimbra,ACeS Baixo Mondego,839,1104,1308,1468,1411,1264,1271,1570,1925,2145,1997,2065,2133,2012,1890,1416,1013,884,27883
0605,Figueira da Foz,M,Figueira da Foz,166,Centro,Região de Coimbra,ACeS Baixo Mondego,795,1038,1172,1379,1361,1190,1264,1651,2169,2304,2242,2414,2467,2306,2156,1757,1579,1658,31068
0606,Góis,H,Góis,7,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,33,50,53,76,94,58,74,80,114,127,115,136,152,150,143,111,108,87,1768
0606,Góis,M,Góis,11,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,40,64,58,72,72,65,64,72,116,132,113,158,167,165,145,162,152,215,2043
0607,Lousã,H,Lousã,60,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,274,394,460,452,478,363,396,469,662,681,661,590,542,480,446,363,244,181,8196
0607,Lousã,M,Lousã,73,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,233,342,421,423,420,398,420,508,719,805,663,635,576,534,500,421,351,368,8810
0111,Mealhada,H,Mealhada,53,Centro,Região de Coimbra,ACeS Baixo Mondego,275,362,463,495,521,482,461,523,730,706,651,724,672,558,533,398,342,306,9255
0111,Mealhada,M,Mealhada,56,Centro,Região de Coimbra,ACeS Baixo Mondego,264,342,406,451,438,432,443,579,752,774,782,739,744,713,623,526,500,529,10093
0608,Mira,H,Mira,37,Centro,Região de Coimbra,ACeS Baixo Mondego,195,223,270,279,296,251,296,332,389,399,378,383,442,421,383,350,236,196,5756
0608,Mira,M,Mira,41,Centro,Região de Coimbra,ACeS Baixo Mondego,154,233,245,218,263,257,279,340,392,463,436,459,434,483,497,477,337,349,6357
0609,Miranda do Corvo,H,Miranda do Corvo,35,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,161,205,251,331,317,278,259,325,361,413,491,503,438,395,349,267,221,156,5756
0609,Miranda do Corvo,M,Miranda do Corvo,27,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,156,203,250,273,325,229,263,287,427,488,487,551,436,400,388,363,321,372,6246
0610,Montemor-o-Velho,H,Montemor-o-Velho,87,Centro,Região de Coimbra,ACeS Baixo Mondego,409,522,547,576,558,554,611,750,903,921,888,895,811,745,645,547,452,376,11797
0610,Montemor-o-Velho,M,Montemor-o-Velho,81,Centro,Região de Coimbra,ACeS Baixo Mondego,389,470,502,532,533,529,636,841,910,944,934,936,904,827,797,721,590,698,12774
1808,Mortágua,H,Mortágua,19,Centro,Região de Coimbra,ACeS Baixo Mondego,116,125,156,166,196,187,202,258,300,277,278,288,313,383,309,309,224,153,4259
1808,Mortágua,M,Mortágua,28,Centro,Região de Coimbra,ACeS Baixo Mondego,107,145,152,153,189,182,171,236,283,261,295,335,408,406,394,363,289,307,4704
0611,Oliveira do Hospital,H,Oliveira do Hospital,51,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,312,361,384,440,565,435,443,484,636,648,705,731,727,649,582,455,368,324,9300
0611,Oliveira do Hospital,M,Oliveira do Hospital,71,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,247,315,373,413,499,418,403,561,649,726,697,816,795,725,651,561,560,633,10113
0612,Pampilhosa da Serra,H,Pampilhosa da Serra,6,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,34,40,57,52,60,54,73,88,90,101,132,144,193,189,181,175,134,100,1903
0612,Pampilhosa da Serra,M,Pampilhosa da Serra,6,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,25,55,47,56,54,50,69,91,91,92,109,153,188,207,202,213,188,283,2179
0613,Penacova,H,Penacova,27,Centro,Região de Coimbra,ACeS Baixo Mondego,129,218,251,290,294,269,225,289,405,497,467,512,530,470,465,370,242,217,6167
0613,Penacova,M,Penacova,22,Centro,Região de Coimbra,ACeS Baixo Mondego,135,219,217,298,322,237,255,292,431,526,514,518,515,527,584,480,380,474,6946
0614,Penela,H,Penela,15,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,56,85,121,103,137,128,129,143,171,178,210,185,201,175,183,149,130,98,2597
0614,Penela,M,Penela,22,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,74,82,113,113,101,100,106,130,171,214,192,209,212,215,188,173,207,221,2843
0615,Soure,M,Soure,49,Centro,Região de Coimbra,ACeS Baixo Mondego,191,274,330,355,352,330,321,403,603,648,569,654,685,705,712,672,561,680,9094
0615,Soure,H,Soure,49,Centro,Região de Coimbra,ACeS Baixo Mondego,225,298,345,380,408,329,335,424,525,636,567,605,593,601,620,515,374,338,8167
0616,Tábua,H,Tábua,38,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,157,198,236,256,235,233,267,270,351,394,372,401,429,383,352,301,212,201,5286
0616,Tábua,M,Tábua,34,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,155,212,213,289,280,239,262,294,387,379,402,439,415,407,379,391,302,395,5874
0617,Vila Nova de Poiares,M,Vila Nova de Poiares,9,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,89,131,163,147,192,139,152,205,284,294,273,268,265,235,196,191,163,212,3608
0617,Vila Nova de Poiares,H,Vila Nova de Poiares,13,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,90,105,155,175,183,172,154,187,226,231,256,259,231,231,188,158,108,73,3195
1002,Alvaiázere,H,Alvaiázere,7,Centro,Região de Leiria,ACeS Pinhal Interior Norte,68,93,124,119,142,107,127,117,183,181,191,242,255,228,260,175,133,156,2908
1002,Alvaiázere,M,Alvaiázere,8,Centro,Região de Leiria,ACeS Pinhal Interior Norte,55,101,100,118,139,112,119,116,171,207,207,254,263,285,269,247,246,313,3330
1003,Ansião,H,Ansião,27,Centro,Região de Leiria,ACeS Pinhal Interior Norte,155,194,223,274,302,236,241,261,346,374,436,423,432,414,362,332,270,221,5523
1003,Ansião,M,Ansião,33,Centro,Região de Leiria,ACeS Pinhal Interior Norte,122,173,247,265,270,227,246,273,349,420,419,447,454,431,470,414,400,459,6119
1004,Batalha,H,Batalha,59,Centro,Região de Leiria,ACeS Pinhal Litoral,282,394,398,415,400,397,402,477,557,550,512,540,505,484,414,310,262,175,7533
1004,Batalha,M,Batalha,56,Centro,Região de Leiria,ACeS Pinhal Litoral,256,342,406,380,428,376,402,526,568,642,576,550,583,503,447,362,317,304,8024
1007,Castanheira de Pêra,M,Castanheira de Pêra,8,Centro,Região de Leiria,ACeS Pinhal Interior Norte,20,30,41,46,53,43,43,59,58,86,102,113,116,130,116,112,110,112,1398
1007,Castanheira de Pêra,H,Castanheira de Pêra,4,Centro,Região de Leiria,ACeS Pinhal Interior Norte,24,22,51,67,56,54,62,36,59,73,87,114,105,125,114,81,66,47,1247
1008,Figueiró dos Vinhos,H,Figueiró dos Vinhos,10,Centro,Região de Leiria,ACeS Pinhal Interior Norte,67,83,108,101,114,97,108,97,158,178,167,207,227,227,192,166,96,101,2504
1008,Figueiró dos Vinhos,M,Figueiró dos Vinhos,7,Centro,Região de Leiria,ACeS Pinhal Interior Norte,62,61,90,94,91,96,105,112,149,175,180,216,263,236,255,200,192,193,2777
1009,Leiria,H,Leiria,520,Centro,Região de Leiria,ACeS Pinhal Litoral,2177,2951,3094,3447,3715,3590,3626,3963,4589,4745,4521,4324,4024,3693,3139,2462,1898,1380,61858
1009,Leiria,M,Leiria,462,Centro,Região de Leiria,ACeS Pinhal Litoral,2158,2655,2960,3162,3508,3421,3624,4190,5079,5130,5008,4852,4473,4059,3799,3132,2457,2616,66745
1010,Marinha Grande,H,Marinha Grande,153,Centro,Região de Leiria,ACeS Pinhal Litoral,624,806,955,1053,1025,1069,1000,1179,1480,1483,1414,1290,1203,1132,1131,835,547,462,18841
1010,Marinha Grande,M,Marinha Grande,140,Centro,Região de Leiria,ACeS Pinhal Litoral,660,793,920,1001,989,937,973,1221,1571,1654,1512,1441,1386,1315,1286,903,764,717,20183
1013,Pedrógão Grande,H,Pedrógão Grande,6,Centro,Região de Leiria,ACeS Pinhal Interior Norte,31,50,53,80,72,77,60,83,72,105,116,138,158,168,108,91,72,71,1611
1013,Pedrógão Grande,M,Pedrógão Grande,5,Centro,Região de Leiria,ACeS Pinhal Interior Norte,34,44,46,75,70,50,69,80,82,100,116,153,161,167,114,131,132,150,1779
1015,Pombal,H,Pombal,184,Centro,Região de Leiria,ACeS Pinhal Litoral,717,1012,1167,1206,1344,1169,1156,1354,1633,1759,1709,1757,1767,1727,1528,1299,1010,873,24371
1015,Pombal,M,Pombal,132,Centro,Região de Leiria,ACeS Pinhal Litoral,730,920,1083,1242,1295,1041,1176,1438,1855,1860,1808,1876,1953,1906,1852,1700,1450,1482,26799
1016,Porto de Mós,H,Porto de Mós,79,Centro,Região de Leiria,ACeS Pinhal Litoral,373,476,555,641,693,592,518,652,839,875,870,798,796,684,619,497,374,341,11272
1016,Porto de Mós,M,Porto de Mós,78,Centro,Região de Leiria,ACeS Pinhal Litoral,341,461,513,550,642,556,511,676,861,900,847,864,851,774,710,603,565,627,11930
0901,Aguiar da Beira,H,Aguiar da Beira,15,Centro,Viseu Dão Lafões,ACeS Dão Lafões,50,68,83,99,125,98,93,92,149,136,160,214,210,214,199,174,138,139,2456
0901,Aguiar da Beira,M,Aguiar da Beira,10,Centro,Viseu Dão Lafões,ACeS Dão Lafões,40,70,99,93,97,104,89,117,140,161,165,210,232,255,240,199,193,261,2775
1802,Carregal do Sal,H,Carregal do Sal,23,Centro,Viseu Dão Lafões,ACeS Dão Lafões,119,167,196,231,191,194,178,250,270,281,286,310,309,343,290,258,179,159,4234
1802,Carregal do Sal,M,Carregal do Sal,29,Centro,Viseu Dão Lafões,ACeS Dão Lafões,133,155,183,229,212,199,189,248,301,298,300,327,368,359,405,301,288,280,4804
1803,Castro Daire,H,Castro Daire,33,Centro,Viseu Dão Lafões,ACeS Dão Lafões,154,226,260,344,328,292,269,304,401,454,484,560,530,502,480,385,291,239,6536
1803,Castro Daire,M,Castro Daire,25,Centro,Viseu Dão Lafões,ACeS Dão Lafões,139,191,303,325,327,278,257,318,458,448,466,563,554,577,571,489,418,493,7200
1806,Mangualde,H,Mangualde,52,Centro,Viseu Dão Lafões,ACeS Dão Lafões,235,351,372,494,474,412,403,521,591,587,606,587,657,647,621,461,383,282,8736
