geocod,geodsg,dim_3_t,municip,<1 ano,ars,nuts3,aces2,0 - 4 anos,5 - 9 anos,10 - 14 anos,15 - 19 anos,20 - 24 anos,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 - 80 anos,81 - 84 anos,85 e mais anos,Total
0310,Terras de Bouro,M,Terras de Bouro,15,Norte,Cávado,ACeS Gerês/Cabreira,64,91,141,148,157,144,128,180,189,226,245,274,252,226,247,169,179,209,3284
0313,Vila Verde,H,Vila Verde,183,Norte,Cávado,ACeS Gerês/Cabreira,755,1070,1175,1369,1346,1228,1231,1474,1716,1737,1604,1559,1432,1230,1092,840,644,538,22223
0313,Vila Verde,M,Vila Verde,162,Norte,Cávado,ACeS Gerês/Cabreira,759,914,1110,1279,1375,1233,1254,1596,1874,1903,1700,1702,1566,1409,1268,1066,906,1145,24221
0304,Cabeceiras de Basto,H,Cabeceiras de Basto,49,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,224,338,381,478,463,436,390,448,504,577,576,562,587,482,344,269,226,225,7559
0304,Cabeceiras de Basto,M,Cabeceiras de Basto,49,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,198,303,375,418,467,415,404,488,575,585,529,618,597,485,370,356,342,425,7999
0307,Fafe,M,Fafe,156,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,650,856,1014,1237,1375,1310,1308,1521,1816,1981,1946,1904,1915,1821,1485,1173,968,974,25410
0307,Fafe,H,Fafe,159,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,760,960,1128,1277,1403,1229,1288,1393,1742,1826,1746,1711,1700,1635,1245,863,560,462,23087
0308,Guimarães,H,Guimarães,634,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,2605,3225,3667,4141,4826,4585,4479,5015,5610,6116,6002,5897,5339,4801,3658,2348,1662,1211,75821
0308,Guimarães,M,Guimarães,541,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,2500,2994,3419,3850,4549,4342,4472,5170,6024,6612,6541,6511,5837,5458,4219,3150,2439,2381,81009
1705,Mondim de Basto,H,Mondim de Basto,13,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,74,128,144,177,183,139,140,137,186,215,252,248,272,236,173,156,132,94,3099
1705,Mondim de Basto,M,Mondim de Basto,11,Norte,Ave,ACeS Guimarães/Vizela/Terras de Basto,75,84,123,182,161,144,128,175,206,228,248,302,242,254,197,201,170,180,3311
0309,Póvoa de Lanhoso,H,Póvoa de Lanhoso,82,Norte,Ave,ACeS Gerês/Cabreira,313,451,553,632,661,544,532,626,686,835,748,799,820,709,550,390,273,246,10450
0309,Póvoa de Lanhoso,M,Póvoa de Lanhoso,65,Norte,Ave,ACeS Gerês/Cabreira,296,412,487,621,597,546,587,687,803,846,883,925,862,743,576,487,412,490,11325
